bloc,n_items,retest_humain_moyen,r2_demographies_moyen,r2_voisins_moyen,methode,exactitude,ic_bas,ic_haut,n_personnes
Probability matching vs. maximizing - Problem 1,10,0.733624,-0.026093,0.006158,"Gemini-Flash-2.5, persona texte",0.769380,0.756199,0.782171,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,B0 mode,0.361840,0.344023,0.380952,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,B1 argmax,0.334305,0.316812,0.351474,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,B2 argmax,0.366051,0.347911,0.385164,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona texte",0.289925,0.274052,0.305483,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona texte, temperature par defaut",0.285066,0.269185,0.301911,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona texte, raisonnement",0.278264,0.261743,0.293821,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona texte, questions repetees",0.274700,0.259799,0.288638,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona JSON",0.295393,0.270986,0.317751,1000
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, persona JSON, sortie predite",0.118886,0.106560,0.131519,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, resume de persona",0.248137,0.232912,0.263686,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, resume plus persona JSON",0.264658,0.249757,0.279559,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, affine sur 500 exemples",0.189384,0.171975,0.207643,1558
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1-mini, demographies seules",0.271137,0.256236,0.286046,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1, persona JSON",0.289602,0.272757,0.305151,2058
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"GPT-4.1, persona JSON, sortie predite",0.317367,0.300424,0.333659,2050
Linda -no conjunction,3,0.402980,-0.072292,-0.010012,"Gemini-Flash-2.5, persona texte",0.281827,0.265954,0.299320,2058
tous les items,108,0.686102,-0.030508,-0.001271,B0 mode,0.521584,0.516985,0.526022,2058
tous les items,108,0.686102,-0.030508,-0.001271,B1 argmax,0.518434,0.514897,0.522132,2058
tous les items,108,0.686102,-0.030508,-0.001271,B2 argmax,0.530079,0.526455,0.533664,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona texte",0.552971,0.549506,0.556476,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona texte, temperature par defaut",0.547756,0.544415,0.551150,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona texte, raisonnement",0.543506,0.540547,0.546772,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona texte, questions repetees",0.548860,0.545439,0.552281,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona JSON",0.543860,0.539106,0.548810,1000
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, persona JSON, sortie predite",0.462476,0.456967,0.467976,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, resume de persona",0.520901,0.517572,0.524444,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, resume plus persona JSON",0.474173,0.470531,0.477943,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, affine sur 500 exemples",0.461928,0.457226,0.466627,1558
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1-mini, demographies seules",0.499588,0.496027,0.503066,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1, persona JSON",0.573820,0.570193,0.577413,2058
tous les items,108,0.686102,-0.030508,-0.001271,"GPT-4.1, persona JSON, sortie predite",0.564637,0.561129,0.568144,2050
tous les items,108,0.686102,-0.030508,-0.001271,"Gemini-Flash-2.5, persona texte",0.550473,0.547229,0.553964,2058
