contraste,condition,personnes,items,exactitude,part_hors_nomenclature,ratio inter (S_ideo),ratio intra (S_ideo),items retenus (S_ideo),ratio inter (S_gra),ratio intra (S_gra),items retenus (S_gra),groupe sur personne,lift personne,lift segment,rappel des rares,fausses raretes,chute permutation S_ideo,chute relative S_ideo,segments exploitables S_ideo,chute permutation S_gra,chute relative S_gra,segments exploitables S_gra
PLACEBO,C3 bis,150,58,0.6249425287356322,0.0,0.7615322023669981,0.6685077101956746,58,0.8199809184590108,0.6692074349008656,58,0.4362470897931986,0.10529061426770459,0.04593272405682436,0.21954484605087016,1004,0.09314712643678158,0.14904910796395066,6,0.08003448275862057,0.12806694868493637,5
PLACEBO,C3,150,58,0.6249425287356322,0.0,0.7615322023669981,0.6685077101956746,58,0.8199809184590108,0.6692074349008656,58,0.4362470897931986,0.10529061426770459,0.04593272405682436,0.21954484605087016,1004,0.09314712643678158,0.14904910796395066,6,0.08003448275862057,0.12806694868493637,5
REFERENCE,C2,150,58,0.5656321839080459,0.0,8.513722134054543,0.2536807548210057,58,0.7786563281969088,0.6774852884341935,58,4.446269385962122,0.07175094066619137,0.3190240108980713,0.1285140562248996,808,-0.001956321839080455,-0.003458646616541345,6,0.02972873563218381,0.05255842308473871,5
REFERENCE,C3,150,58,0.6249425287356322,0.0,0.7615322023669981,0.6685077101956746,58,0.8199809184590108,0.6692074349008656,58,0.4362470897931986,0.10529061426770459,0.04593272405682436,0.21954484605087016,1004,0.09314712643678158,0.14904910796395066,6,0.08003448275862057,0.12806694868493637,5
