item,n_personnes,n_changeurs,auc_alea_moyenne,auc_alea_p2_5,auc_alea_p97_5
natspac/y,4255,1683,0.49917639596957597,0.48265977864825177,0.5154505731082668
natenvir/y,2211,749,0.4997805144661646,0.47266928179661344,0.5250939693417032
natheal/y,4511,1707,0.5004097282984304,0.482673592917307,0.5175402722029874
natcity/y,3922,1805,0.5012226469014194,0.4818807974489589,0.5168464429228106
natdrug/y,4325,1733,0.5000414787744082,0.4799539107413819,0.5164533288096714
nateduc/y,4603,1200,0.49908934763444024,0.48016584631207754,0.5169457035458909
natrace/y,3866,1427,0.5003402258269254,0.4786339306981017,0.518224524221416
natarms/y,4460,1973,0.49937657573054495,0.4788977441948003,0.5186425112562008
nataid/y,4416,1433,0.5001591233786058,0.48135195744014875,0.5172103539035694
natfare/y,4468,1658,0.500001019536465,0.48387072384942625,0.5149080646407582
natroad,4516,1758,0.500695083121518,0.48422416410302105,0.5172506591642391
natsoc,4383,1411,0.49951837990867753,0.48189007514501037,0.5196957094469239
natmass,4279,1637,0.49925942333721934,0.4797362353449309,0.5161437497369914
natpark,4534,1616,0.5001900153282121,0.4816521004824951,0.5177867539902551
natchld,4157,1628,0.4998141363621791,0.48349392137203523,0.5162698386675255
natsci,4225,1859,0.4995923091473843,0.4826473481002384,0.5156190418593696
uswary,1382,387,0.5010261514289795,0.46087257995403375,0.5334653240362016
prayer,2895,723,0.5010492429742046,0.47679058124399815,0.5254168959140475
courts,4098,1283,0.5002416876520256,0.47972881470908685,0.518760232525622
discaffw,1523,783,0.5001242535639087,0.4683896827862345,0.5326491146318733
discaffm,1459,843,0.5001634160619927,0.46780851858698835,0.5310396639244505
fehire,1571,846,0.49903351267628593,0.47103998532648567,0.5280688839977176
fechld,3065,1504,0.499329268864067,0.4770390851813486,0.5231707758597189
fepresch,3037,1365,0.4997808529190108,0.47812112229875386,0.5190258644863908
fefam,3040,1405,0.49993637184803075,0.4826488730723606,0.5180448159152001
fepol,2863,528,0.49801312779832585,0.4739788138342742,0.52261310914282
wrkstat,4678,1803,0.49957018688659,0.484741324845065,0.5146921314717018
evwork,1225,58,0.5012420589191265,0.4353629258635464,0.5651308985610023
partfull,2893,535,0.5005339865084462,0.47055444579201444,0.5252882412625938
conarmy,3105,1251,0.501198876928662,0.4817697729626439,0.5203466676496991
conbus,3073,1178,0.4995603679596472,0.4796317155771376,0.5216971433179084
conclerg,3059,1188,0.49996301874976384,0.4800518659785095,0.5203011317522274
coneduc,3142,1290,0.49886756617610123,0.4799725103387078,0.5175654645302795
confed,3092,1598,0.49961686964797025,0.47964115535986246,0.5206040788100252
confinan,3135,1490,0.5001559821301075,0.4772052079720936,0.5208174149854145
conjudge,3065,1330,0.49888535676366713,0.4814620268249875,0.5191926827154341
conlabor,2950,1126,0.49938665143653976,0.4780203780849771,0.5215113977633916
conlegis,3107,1257,0.4994176460470017,0.47982476509922806,0.5184775312305145
conmedic,3131,1360,0.49997921579699073,0.48069962965423324,0.5195347323712094
conpress,3114,1274,0.5015203932325438,0.4838454819636885,0.5197738528940005
consci,2975,1138,0.4994802454525364,0.478259856704549,0.5209443431398906
contv,3120,1301,0.5016206060462646,0.4781673736826115,0.5233073450920952
joblose,1509,672,0.4979570336946009,0.4682087653609831,0.5289736765375206
jobfind,1503,683,0.5000859550762419,0.4724459879298647,0.5291034889119023
happy,4663,1950,0.5000283251580708,0.48495506440972713,0.5161288903380683
hapmar,1985,561,0.4986617684612149,0.4718534694265858,0.522114058212662
satjob,2972,1333,0.5003963040790704,0.47817684286843526,0.5207848408105687
spdeg*,1982,297,0.4994322253194657,0.4612018803265094,0.5361214019522625
unemp,3164,730,0.49999546662014155,0.47570278643869385,0.5266577509258112
spkath/y,3052,543,0.5004138471667742,0.4743030981652056,0.5256449525722133
colath,2956,750,0.49866198549410695,0.4731076760350559,0.5216207162284678
spkrac/y,3023,851,0.5016634259770218,0.4780476008076296,0.5230829346040732
colrac,2969,959,0.4992514461062778,0.4811327356958689,0.520265266472642
librac/y,2988,794,0.4990987729300657,0.4783761500910429,0.5190756103777419
spkcom/y,2995,571,0.4991778760844561,0.47390226818215975,0.5228130978596984
colcom/y,2871,974,0.499070051708144,0.47599353079919765,0.5259852366050795
libcom/y,2983,644,0.5001476648989986,0.4783808311137902,0.5221218190605423
spkhomo/y,3012,354,0.49991603537768936,0.46736289126100505,0.5267595320384469
colhomo,2989,353,0.5009395566722694,0.47064998366483685,0.529969247980673
libhomo/y,3020,506,0.49977072268812434,0.4740538950258002,0.5268171362897419
cappun,4268,786,0.4997790508949699,0.47977130294221243,0.518264268583029
polhitok/y,2512,518,0.5000991536385218,0.47262397714378657,0.5292850075322493
polabuse/y,3061,341,0.5003100849577368,0.4686301912627221,0.5286146390374331
polattak/y,3087,427,0.49963031114084977,0.468628523885827,0.5265626375658115
grass,2799,518,0.5019447881525917,0.47598120447747805,0.5264336367744961
gunlaw,3013,627,0.4986542844958162,0.473239096751251,0.5261689333445632
owngun,2661,368,0.4988976314966153,0.47255772530764706,0.5284469273213371
class,4627,1431,0.5000074396367227,0.48184787675719737,0.5183026269297138
satfin,4657,2065,0.49975763197620543,0.48242773443338416,0.5163806917541027
finalter,4661,2474,0.5005921325729055,0.4833270910010982,0.5182574171474787
finrela,4619,2044,0.5005073727509357,0.48595869986510365,0.5180904280584424
racdif1,2897,724,0.500257863965849,0.4774311585175166,0.5246192281973899
racdif2,3008,310,0.4997164267438245,0.46396951744422393,0.5337485353547431
racdif3,2975,859,0.5002228131581322,0.4777914294548327,0.5244964635539192
racdif4,2884,826,0.499666305470649,0.4795852922628754,0.5219023617748726
wlthwhts,2744,1467,0.4998750506443239,0.47739502946311946,0.5229169502481906
wlthblks,2720,1583,0.49987022681069915,0.47772213953111087,0.52224059390923
racwork,1438,609,0.4993188521196924,0.4671625952489893,0.5239356476337051
getahead,3064,1125,0.4996673565984757,0.47766236891868663,0.5194627241991864
aged,3120,1365,0.4995097231353642,0.4815873328950252,0.5238079688592508
parsol,3115,1620,0.4992498885172798,0.47850082579792724,0.5183175193030266
kidssol,3038,1729,0.4994114973924792,0.47841461943629127,0.5199297275038097
spanking,3033,1415,0.5004680428221379,0.4817081573464601,0.5183209323555232
divlaw,2827,1028,0.500574367947606,0.48101401448708,0.5212611226946229
sexeduc,3027,232,0.4994018490531121,0.46254545524643764,0.5382986089692184
pillok,2556,1403,0.500756531506331,0.47908177805087476,0.520954199865361
xmarsex,3016,722,0.5011201810335043,0.4778980666172383,0.5235741287038088
homosex,2845,700,0.5004662703962705,0.4792687479187479,0.5224150849150849
discaff,2916,1340,0.5013298190203803,0.47987867215319346,0.5203683044170013
abdefect,2857,402,0.5018098661478757,0.4742867890689121,0.5289944371827219
abnomore,2887,553,0.5023345474013367,0.4756011457330972,0.5291429198994037
abhlth,2871,270,0.5024493072465007,0.4671726330328791,0.5377542113432157
