colonne,n_personnes,longueur_moyenne_caracteres,longueur_moyenne_bas,longueur_moyenne_haut,longueur_mediane_caracteres,hypothese,jeu,n_items,n_paires,v_cramer_moyen,v_cramer_moyen_bas,v_cramer_moyen_haut,v_cramer_median,items_effectifs,items_effectifs_bas,items_effectifs_haut,ratio_brut_items,ratio_effectif_items,verdict_h2,config_x,config_y,top1_N2058,top1_N2058_bas,top1_N2058_haut,top1_N1052,top1_N1052_bas,top1_N1052_haut,sens,verdict_h3
wave1_3_persona_text,294.0,95229.28911564626,95170.42891156462,95285.9350340136,95174.0,H1_persona,,,,,,,,,,,,,,,,,,,,,,,
wave1_3_persona_json,294.0,121455.05102040817,121388.6625,121516.47397959183,121410.0,H1_persona,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,H2_dependance,"Twin (60 items communs, humains v4)",60.0,1770.0,0.08341810587901033,0.08803313449054188,0.0957386580957266,0.07766208962111826,10.132279874307219,9.024482306907688,9.68686548206179,2.95,0.8928834078209765,fortement soutenue,,,,,,,,,,
,,,,,,H2_dependance,"Park/Stanford (177 items GSS, humains v1)",177.0,15576.0,0.10548077477282221,0.11678356466823356,0.12278476431191362,0.08750375079104566,9.046944583167326,7.828353484191072,8.211968156899143,2.95,0.8928834078209765,fortement soutenue,,,,,,,,,,
,,,,,,H3_bassin,,60.0,,,,,,,,,,,,JSON Persona - GPT4.1,Text Persona - GPT4.1-mini,0.37305636540330417,0.35417759961127304,0.39281523323615153,0.4405465779467681,0.43400843631178715,0.44684190826996195,top1(N=1052) >= top1(N=2058),"H3 rejetee comme explication (le bassin plus petit ne fait pas baisser le top-1, donc ne peut pas expliquer un top-1 plus bas cote Park)"
,,,,,,H3_bassin,,60.0,,,,,,,,,,,,Text Persona (Default Temperature) - GPT4.1-mini,Text Persona - GPT4.1-mini,0.8347667638483964,0.8199939261418853,0.8502915451895044,0.8692395437262357,0.864871316539924,0.8735011288022813,top1(N=1052) >= top1(N=2058),"H3 rejetee comme explication (le bassin plus petit ne fait pas baisser le top-1, donc ne peut pas expliquer un top-1 plus bas cote Park)"
