controle,attendu,obtenu,passe
"marginale conservee, 4ans, panel",0.0,0.0,True
"marginale conservee, 4ans, segment",0.0,0.0,True
"marginale conservee, 2ans, panel",0.0,0.0,True
"marginale conservee, 2ans, segment",0.0,0.0,True
