condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
agents enquete,political_ideology,dilatation,70 items ordinaux,entropie,0.80,1.6176,1.5046,1.7181,0.9450,0.9350,0.9560,0.9745,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748,non
agents enquete,political_ideology,dilatation,70 items ordinaux,gini_simpson,0.80,1.8870,1.7550,2.0176,0.9303,0.9199,0.9417,0.9721,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748,non
agents enquete,political_ideology,dilatation,70 items ordinaux,variance_ordinale,0.80,1.6737,1.5571,1.7939,0.9663,0.9484,0.9853,1.0290,0.6259,0.6220,0.6297,-0.0251,-0.0266,-0.0236,1.0069,0.4865,0.0748,non
agents enquete,political_ideology,informee,149 items,entropie,0.60,0.8498,0.7730,0.9241,0.8582,0.8512,0.8668,0.8578,0.6410,0.6373,0.6446,-0.0100,-0.0112,-0.0087,0.8577,0.5545,0.0553,non
agents enquete,political_ideology,informee,149 items,gini_simpson,0.60,0.9076,0.8205,0.9945,0.8765,0.8681,0.8857,0.8781,0.6410,0.6373,0.6446,-0.0100,-0.0112,-0.0087,0.8577,0.5545,0.0553,non
agents enquete,political_ideology,informee,70 items ordinaux,entropie,0.60,1.0012,0.9166,1.0785,0.8507,0.8424,0.8604,0.8573,0.6410,0.6373,0.6446,-0.0100,-0.0112,-0.0087,0.8577,0.5545,0.0553,oui
agents enquete,political_ideology,informee,70 items ordinaux,gini_simpson,0.60,1.0955,0.9956,1.1884,0.8660,0.8569,0.8770,0.8760,0.6410,0.6373,0.6446,-0.0100,-0.0112,-0.0087,0.8577,0.5545,0.0553,oui
agents enquete,political_ideology,informee,70 items ordinaux,variance_ordinale,0.60,0.9660,0.8764,1.0559,0.8700,0.8531,0.8874,0.8785,0.6410,0.6373,0.6446,-0.0100,-0.0112,-0.0087,0.8577,0.5545,0.0553,oui
agents enquete,political_ideology,naive,149 items,entropie,0.60,0.8498,0.8052,0.8944,0.8582,0.8522,0.8646,0.8578,0.6286,0.6250,0.6321,-0.0224,-0.0239,-0.0209,0.8577,0.5545,0.0553,non
agents enquete,political_ideology,naive,149 items,gini_simpson,0.60,0.9076,0.8533,0.9550,0.8765,0.8700,0.8834,0.8781,0.6286,0.6250,0.6321,-0.0224,-0.0239,-0.0209,0.8577,0.5545,0.0553,non
agents enquete,political_ideology,naive,70 items ordinaux,entropie,0.60,1.0012,0.9306,1.0758,0.8507,0.8433,0.8586,0.8573,0.6286,0.6250,0.6321,-0.0224,-0.0239,-0.0209,0.8577,0.5545,0.0553,oui
agents enquete,political_ideology,naive,70 items ordinaux,gini_simpson,0.60,1.0955,1.0124,1.1845,0.8660,0.8586,0.8744,0.8760,0.6286,0.6250,0.6321,-0.0224,-0.0239,-0.0209,0.8577,0.5545,0.0553,non
agents enquete,political_ideology,naive,70 items ordinaux,variance_ordinale,0.60,0.9660,0.8909,1.0437,0.8700,0.8550,0.8854,0.8785,0.6286,0.6250,0.6321,-0.0224,-0.0239,-0.0209,0.8577,0.5545,0.0553,oui
agents enquete,profil croise,dilatation,149 items,entropie,0.80,1.0658,0.9909,1.1459,0.9954,0.9847,1.0062,0.9991,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695,oui
agents enquete,profil croise,dilatation,149 items,gini_simpson,0.80,1.3370,1.2434,1.4225,0.9855,0.9735,0.9975,1.0045,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695,non
agents enquete,profil croise,dilatation,70 items ordinaux,entropie,0.80,1.3069,1.2135,1.3987,0.9517,0.9407,0.9629,0.9682,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695,non
agents enquete,profil croise,dilatation,70 items ordinaux,gini_simpson,0.80,1.6536,1.5436,1.7726,0.9348,0.9233,0.9461,0.9665,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695,non
agents enquete,profil croise,dilatation,70 items ordinaux,variance_ordinale,0.80,1.4817,1.3733,1.5960,0.9707,0.9524,0.9902,1.0192,0.6270,0.6232,0.6307,-0.0240,-0.0257,-0.0224,0.9991,0.4903,0.0695,non
agents enquete,profil croise,informee,149 items,entropie,0.60,0.8777,0.8076,0.9436,0.8583,0.8506,0.8674,0.8593,0.6419,0.6381,0.6455,-0.0091,-0.0103,-0.0079,0.8592,0.5533,0.0500,non
agents enquete,profil croise,informee,149 items,gini_simpson,0.60,0.9767,0.8855,1.0535,0.8749,0.8653,0.8846,0.8804,0.6419,0.6381,0.6455,-0.0091,-0.0103,-0.0079,0.8592,0.5533,0.0500,oui
agents enquete,profil croise,informee,70 items ordinaux,entropie,0.60,1.0555,0.9688,1.1311,0.8489,0.8393,0.8583,0.8586,0.6419,0.6381,0.6455,-0.0091,-0.0103,-0.0079,0.8592,0.5533,0.0500,oui
agents enquete,profil croise,informee,70 items ordinaux,gini_simpson,0.60,1.2158,1.1159,1.3170,0.8622,0.8517,0.8727,0.8778,0.6419,0.6381,0.6455,-0.0091,-0.0103,-0.0079,0.8592,0.5533,0.0500,non
agents enquete,profil croise,informee,70 items ordinaux,variance_ordinale,0.60,1.0658,0.9636,1.1609,0.8621,0.8455,0.8788,0.8814,0.6419,0.6381,0.6455,-0.0091,-0.0103,-0.0079,0.8592,0.5533,0.0500,oui
agents enquete,profil croise,naive,149 items,entropie,0.60,0.8777,0.8344,0.9220,0.8583,0.8514,0.8648,0.8593,0.6304,0.6268,0.6339,-0.0206,-0.0218,-0.0194,0.8592,0.5533,0.0500,non
agents enquete,profil croise,naive,149 items,gini_simpson,0.60,0.9767,0.9222,1.0282,0.8749,0.8675,0.8817,0.8804,0.6304,0.6268,0.6339,-0.0206,-0.0218,-0.0194,0.8592,0.5533,0.0500,oui
agents enquete,profil croise,naive,70 items ordinaux,entropie,0.60,1.0555,0.9983,1.1249,0.8489,0.8408,0.8570,0.8586,0.6304,0.6268,0.6339,-0.0206,-0.0218,-0.0194,0.8592,0.5533,0.0500,oui
agents enquete,profil croise,naive,70 items ordinaux,gini_simpson,0.60,1.2158,1.1392,1.2942,0.8622,0.8541,0.8710,0.8778,0.6304,0.6268,0.6339,-0.0206,-0.0218,-0.0194,0.8592,0.5533,0.0500,non
agents enquete,profil croise,naive,70 items ordinaux,variance_ordinale,0.60,1.0658,0.9954,1.1440,0.8621,0.8470,0.8774,0.8814,0.6304,0.6268,0.6339,-0.0206,-0.0218,-0.0194,0.8592,0.5533,0.0500,oui
agents entretien (v3),political_ideology,dilatation,149 items,entropie,0.80,1.4390,1.3121,1.5757,1.0111,0.9988,1.0236,1.0308,0.6194,0.6153,0.6232,-0.0371,-0.0391,-0.0353,1.0309,0.4804,0.0852,non
agents entretien (v3),political_ideology,dilatation,149 items,gini_simpson,0.80,1.6882,1.5368,1.8434,0.9892,0.9749,1.0034,1.0241,0.6194,0.6153,0.6232,-0.0371,-0.0391,-0.0353,1.0309,0.4804,0.0852,non
agents entretien (v3),political_ideology,dilatation,70 items ordinaux,entropie,0.80,1.7288,1.5722,1.8848,0.9662,0.9534,0.9775,0.9997,0.6194,0.6153,0.6232,-0.0371,-0.0391,-0.0353,1.0309,0.4804,0.0852,non
agents entretien (v3),political_ideology,dilatation,70 items ordinaux,gini_simpson,0.80,2.0491,1.8583,2.2597,0.9450,0.9318,0.9580,0.9932,0.6194,0.6153,0.6232,-0.0371,-0.0391,-0.0353,1.0309,0.4804,0.0852,non
agents entretien (v3),political_ideology,dilatation,70 items ordinaux,variance_ordinale,0.80,1.9873,1.7880,2.1846,1.0112,0.9865,1.0353,1.0978,0.6194,0.6153,0.6232,-0.0371,-0.0391,-0.0353,1.0309,0.4804,0.0852,non
agents entretien (v3),political_ideology,informee,149 items,entropie,0.60,0.9330,0.8349,1.0319,0.8616,0.8521,0.8707,0.8649,0.6423,0.6384,0.6459,-0.0142,-0.0158,-0.0128,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,informee,149 items,gini_simpson,0.60,1.0157,0.8982,1.1371,0.8591,0.8484,0.8699,0.8669,0.6423,0.6384,0.6459,-0.0142,-0.0158,-0.0128,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,informee,70 items ordinaux,entropie,0.60,1.0584,0.9577,1.1813,0.8821,0.8726,0.8907,0.8898,0.6423,0.6384,0.6459,-0.0142,-0.0158,-0.0128,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,informee,70 items ordinaux,gini_simpson,0.60,1.2076,1.0780,1.3493,0.8863,0.8756,0.8962,0.9004,0.6423,0.6384,0.6459,-0.0142,-0.0158,-0.0128,0.8648,0.5602,0.0586,non
agents entretien (v3),political_ideology,informee,70 items ordinaux,variance_ordinale,0.60,1.1608,1.0362,1.2955,0.9309,0.9119,0.9521,0.9513,0.6423,0.6384,0.6459,-0.0142,-0.0158,-0.0128,0.8648,0.5602,0.0586,non
agents entretien (v3),political_ideology,naive,149 items,entropie,0.60,0.9330,0.8674,1.0082,0.8616,0.8546,0.8692,0.8649,0.6328,0.6293,0.6361,-0.0237,-0.0253,-0.0223,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,naive,149 items,gini_simpson,0.60,1.0157,0.9369,1.1011,0.8591,0.8516,0.8670,0.8669,0.6328,0.6293,0.6361,-0.0237,-0.0253,-0.0223,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,naive,70 items ordinaux,entropie,0.60,1.0584,0.9728,1.1565,0.8821,0.8742,0.8899,0.8898,0.6328,0.6293,0.6361,-0.0237,-0.0253,-0.0223,0.8648,0.5602,0.0586,oui
agents entretien (v3),political_ideology,naive,70 items ordinaux,gini_simpson,0.60,1.2076,1.0981,1.3368,0.8863,0.8781,0.8946,0.9004,0.6328,0.6293,0.6361,-0.0237,-0.0253,-0.0223,0.8648,0.5602,0.0586,non
agents entretien (v3),political_ideology,naive,70 items ordinaux,variance_ordinale,0.60,1.1608,1.0462,1.2800,0.9309,0.9122,0.9502,0.9513,0.6328,0.6293,0.6361,-0.0237,-0.0253,-0.0223,0.8648,0.5602,0.0586,non
agents entretien (v3),profil croise,dilatation,149 items,entropie,0.80,1.2696,1.1614,1.3778,1.0088,0.9947,1.0202,1.0224,0.6211,0.6169,0.6250,-0.0354,-0.0374,-0.0334,1.0225,0.4848,0.0806,non
agents entretien (v3),profil croise,dilatation,149 items,gini_simpson,0.80,1.5629,1.4287,1.6907,0.9841,0.9696,0.9970,1.0154,0.6211,0.6169,0.6250,-0.0354,-0.0374,-0.0334,1.0225,0.4848,0.0806,non
agents entretien (v3),profil croise,dilatation,70 items ordinaux,entropie,0.80,1.5992,1.4677,1.7287,0.9642,0.9505,0.9758,0.9937,0.6211,0.6169,0.6250,-0.0354,-0.0374,-0.0334,1.0225,0.4848,0.0806,non
agents entretien (v3),profil croise,dilatation,70 items ordinaux,gini_simpson,0.80,2.0128,1.8543,2.1777,0.9405,0.9265,0.9526,0.9878,0.6211,0.6169,0.6250,-0.0354,-0.0374,-0.0334,1.0225,0.4848,0.0806,non
agents entretien (v3),profil croise,dilatation,70 items ordinaux,variance_ordinale,0.80,1.9090,1.7471,2.0866,1.0030,0.9766,1.0287,1.0890,0.6211,0.6169,0.6250,-0.0354,-0.0374,-0.0334,1.0225,0.4848,0.0806,non
agents entretien (v3),profil croise,informee,149 items,entropie,0.60,0.9008,0.8127,0.9889,0.8635,0.8538,0.8727,0.8654,0.6415,0.6375,0.6451,-0.0150,-0.0165,-0.0135,0.8653,0.5594,0.0608,non
agents entretien (v3),profil croise,informee,149 items,gini_simpson,0.60,1.0167,0.9079,1.1269,0.8600,0.8496,0.8697,0.8685,0.6415,0.6375,0.6451,-0.0150,-0.0165,-0.0135,0.8653,0.5594,0.0608,oui
agents entretien (v3),profil croise,informee,70 items ordinaux,entropie,0.60,1.0655,0.9702,1.1633,0.8817,0.8703,0.8916,0.8903,0.6415,0.6375,0.6451,-0.0150,-0.0165,-0.0135,0.8653,0.5594,0.0608,oui
agents entretien (v3),profil croise,informee,70 items ordinaux,gini_simpson,0.60,1.2738,1.1467,1.3997,0.8843,0.8729,0.8943,0.9015,0.6415,0.6375,0.6451,-0.0150,-0.0165,-0.0135,0.8653,0.5594,0.0608,non
agents entretien (v3),profil croise,informee,70 items ordinaux,variance_ordinale,0.60,1.1935,1.0664,1.3282,0.9277,0.9068,0.9491,0.9530,0.6415,0.6375,0.6451,-0.0150,-0.0165,-0.0135,0.8653,0.5594,0.0608,non
agents entretien (v3),profil croise,naive,149 items,entropie,0.60,0.9008,0.8431,0.9632,0.8635,0.8556,0.8712,0.8654,0.6324,0.6289,0.6357,-0.0242,-0.0255,-0.0228,0.8653,0.5594,0.0608,non
agents entretien (v3),profil croise,naive,149 items,gini_simpson,0.60,1.0167,0.9453,1.0917,0.8600,0.8513,0.8684,0.8685,0.6324,0.6289,0.6357,-0.0242,-0.0255,-0.0228,0.8653,0.5594,0.0608,oui
agents entretien (v3),profil croise,naive,70 items ordinaux,entropie,0.60,1.0655,0.9873,1.1469,0.8817,0.8732,0.8898,0.8903,0.6324,0.6289,0.6357,-0.0242,-0.0255,-0.0228,0.8653,0.5594,0.0608,oui
agents entretien (v3),profil croise,naive,70 items ordinaux,gini_simpson,0.60,1.2738,1.1707,1.3766,0.8843,0.8756,0.8926,0.9015,0.6324,0.6289,0.6357,-0.0242,-0.0255,-0.0228,0.8653,0.5594,0.0608,non
agents entretien (v3),profil croise,naive,70 items ordinaux,variance_ordinale,0.60,1.1935,1.0927,1.2989,0.9277,0.9076,0.9466,0.9530,0.6324,0.6289,0.6357,-0.0242,-0.0255,-0.0228,0.8653,0.5594,0.0608,non
