condition,axe_transport,variante,jeu_items,mesure,lambda_median,ratio_inter,inter_ic_bas,inter_ic_haut,ratio_intra,intra_ic_bas,intra_ic_haut,ratio_total,exactitude,exact_ic_bas,exact_ic_haut,delta_exactitude,delta_ic_bas,delta_ic_haut,diversite_conservee,accord_paires,part_changee,un_dans_ic_inter
agents enquete,aucun,aucune,149 items,gini_simpson,1.00,2.1714,2.0793,2.2654,0.8042,0.7960,0.8128,0.8783,0.6510,0.6471,0.6548,0.0000,0.0000,0.0000,0.8582,0.5544,0.0000,non
agents enquete,aucun,aucune,70 items ordinaux,entropie,1.00,2.5473,2.4341,2.6630,0.7750,0.7656,0.7843,0.8575,0.6510,0.6471,0.6548,0.0000,0.0000,0.0000,0.8582,0.5544,0.0000,non
agents enquete,aucun,aucune,70 items ordinaux,gini_simpson,1.00,2.6746,2.5411,2.8232,0.7930,0.7836,0.8025,0.8761,0.6510,0.6471,0.6548,0.0000,0.0000,0.0000,0.8582,0.5544,0.0000,non
agents enquete,aucun,aucune,70 items ordinaux,variance_ordinale,1.00,2.3588,2.2410,2.4855,0.7231,0.7101,0.7376,0.8783,0.6510,0.6471,0.6548,0.0000,0.0000,0.0000,0.8582,0.5544,0.0000,non
agents entretien (v3),aucun,aucune,149 items,entropie,1.00,2.7881,2.6242,2.9534,0.7720,0.7620,0.7816,0.8649,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,149 items,gini_simpson,1.00,2.8215,2.6540,3.0240,0.7642,0.7538,0.7744,0.8669,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,entropie,1.00,3.1641,2.9625,3.3803,0.7854,0.7729,0.7961,0.8898,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,gini_simpson,1.00,3.3542,3.1211,3.6177,0.7883,0.7752,0.7999,0.9004,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,variance_ordinale,1.00,3.2180,2.9570,3.4777,0.7307,0.7109,0.7499,0.9513,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,149 items,entropie,1.00,2.5293,2.4029,2.6645,0.7736,0.7637,0.7839,0.8649,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,149 items,gini_simpson,1.00,2.6149,2.4683,2.7724,0.7668,0.7565,0.7779,0.8669,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,entropie,1.00,3.0088,2.8534,3.1838,0.7863,0.7744,0.7979,0.8898,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,gini_simpson,1.00,3.2950,3.1112,3.5049,0.7897,0.7772,0.8012,0.9004,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents entretien (v3),aucun,aucune,70 items ordinaux,variance_ordinale,1.00,3.0782,2.8661,3.2908,0.7284,0.7080,0.7476,0.9513,0.6565,0.6526,0.6602,0.0000,0.0000,0.0000,0.8648,0.5602,0.0000,non
agents demographiques (v8),aucun,aucune,149 items,entropie,1.00,8.3786,7.7309,9.0289,0.4364,0.4243,0.4492,0.8022,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,149 items,gini_simpson,1.00,8.1184,7.4722,8.8207,0.4424,0.4315,0.4550,0.8256,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,entropie,1.00,9.8836,9.0402,10.6915,0.4149,0.3995,0.4293,0.8304,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,gini_simpson,1.00,10.1762,9.2665,11.1111,0.4224,0.4084,0.4364,0.8485,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,variance_ordinale,1.00,7.7079,6.9208,8.4875,0.2961,0.2792,0.3127,0.9535,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,149 items,entropie,1.00,6.6375,6.2424,7.0082,0.4821,0.4697,0.4946,0.8022,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,149 items,gini_simpson,1.00,6.5305,6.1280,6.9539,0.4989,0.4857,0.5107,0.8256,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,entropie,1.00,7.9929,7.5083,8.4471,0.4806,0.4660,0.4944,0.8304,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,gini_simpson,1.00,8.3559,7.7949,8.9035,0.5016,0.4871,0.5162,0.8485,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents demographiques (v8),aucun,aucune,70 items ordinaux,variance_ordinale,1.00,6.8050,6.2867,7.3467,0.3402,0.3233,0.3588,0.9535,0.5592,0.5544,0.5642,0.0000,0.0000,0.0000,0.8021,0.5811,0.0000,non
agents composite,political_ideology,dilatation,149 items,entropie,0.80,1.1338,1.0434,1.2281,1.0285,1.0184,1.0372,1.0334,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714,non
agents composite,political_ideology,dilatation,149 items,gini_simpson,0.80,1.3296,1.2325,1.4264,1.0202,1.0086,1.0299,1.0357,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714,non
agents composite,political_ideology,dilatation,70 items ordinaux,entropie,0.80,1.3519,1.2518,1.4613,0.9854,0.9757,0.9944,1.0015,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714,non
agents composite,political_ideology,dilatation,70 items ordinaux,gini_simpson,0.80,1.5963,1.4738,1.7334,0.9699,0.9596,0.9791,0.9972,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714,non
agents composite,political_ideology,dilatation,70 items ordinaux,variance_ordinale,0.80,1.4817,1.3507,1.6039,1.0051,0.9845,1.0259,1.0473,0.6533,0.6489,0.6575,-0.0307,-0.0324,-0.0290,1.0334,0.4745,0.0714,non
agents composite,political_ideology,informee,149 items,entropie,0.70,0.9871,0.9043,1.0681,0.8885,0.8804,0.8955,0.8930,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390,oui
agents composite,political_ideology,informee,149 items,gini_simpson,0.70,1.0532,0.9677,1.1448,0.9009,0.8917,0.9091,0.9085,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390,oui
agents composite,political_ideology,informee,70 items ordinaux,entropie,0.70,1.1480,1.0563,1.2447,0.8800,0.8709,0.8873,0.8917,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390,non
agents composite,political_ideology,informee,70 items ordinaux,gini_simpson,0.70,1.2565,1.1448,1.3726,0.8947,0.8854,0.9032,0.9105,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390,non
agents composite,political_ideology,informee,70 items ordinaux,variance_ordinale,0.70,1.1539,1.0470,1.2585,0.8717,0.8553,0.8884,0.8967,0.6750,0.6710,0.6791,-0.0090,-0.0101,-0.0079,0.8929,0.5391,0.0390,non
