jeu,k_items,n_pool,a_moyen,c_moyen,phi,phi_origine,top1_modele,top1_observe
Twin-2K-500,60,2058,0.5903871072238419,0.43187238845744236,1.2228662039862757,mesure ici,0.05251601304176105,0.2064139941690962
Stanford GSS,60,1052,0.7121597817447531,0.4989003740367999,1.2228662039862757,transporte de Twin,0.35350456426159266,0.34
Stanford GSS,177,1052,0.7121597817447531,0.4989003740367999,1.2228662039862757,transporte de Twin,0.9834139545597328,0.6555133079847909
