configuration,cible,n_attaques,n_pool,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top10_hasard,top1_segment,top1_segment_bas,top1_segment_haut,rang_segment_median,taille_segment_mediane
"B<->C (attaque symetrique, moyenne des deux sens)",B<->C,142,142,0.017605633802816902,0.0035211267605633804,0.03626760563380282,0.10862676056338028,0.07112235915492958,0.15035651408450704,61.537499999999994,0.007042253521126761,0.07042253521126761,0.2549295774647887,0.19876760563380283,0.3133846830985916,3.3125,21.0
"Demographics Only - GPT4.1-mini (pool=200, recalcule)",humains vague 4,200,200,0.092,0.054737499999999994,0.13400624999999997,0.28850000000000003,0.2262375,0.34976874999999996,29.200000000000003,0.005,0.05,0.38925000000000004,0.3265,0.45775,2.0,12.0
