perimetre,condition,controle,hypothese,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
1052,agents v8,"conception seule, MR141",K2 dispersion,0.041667,-0.546762,0.524041,17,0.882512
1052,agents v8,M1 attitudes seules,K1 distance,0.335294,-0.346481,0.740967,16,0.210879
1052,agents v8,M1 attitudes seules,K2 dispersion,0.205882,-0.382829,0.743367,16,0.436856
1052,agents v8,M1 sans les items de depense,K1 distance,,,,5,
1052,agents v8,M1 sans les items de depense,K2 dispersion,,,,5,
1052,humains vague 2,"conception seule, MR141",K1 distance,0.234212,-0.248470,0.687752,17,0.359164
1052,humains vague 2,"conception seule, MR141",K2 dispersion,-0.250000,-0.688576,0.287424,17,0.322768
1052,humains vague 2,M1 attitudes seules,K1 distance,0.275405,-0.319413,0.767594,16,0.292471
1052,humains vague 2,M1 attitudes seules,K2 dispersion,0.041176,-0.434535,0.518612,16,0.883512
1052,humains vague 2,M1 sans les items de depense,K1 distance,,,,5,
1052,humains vague 2,M1 sans les items de depense,K2 dispersion,,,,5,
150,B0 mode,"conception seule, MR141",K1 distance,-0.026977,-0.571796,0.513054,17,0.915308
150,B0 mode,"conception seule, MR141",K2 dispersion,,,,17,
150,B0 mode,M1 attitudes seules,K1 distance,-0.275812,-0.818528,0.338969,16,0.291371
150,B0 mode,M1 attitudes seules,K2 dispersion,0.109932,-0.494504,0.581893,16,0.688831
150,B0 mode,M1 sans les items de depense,K1 distance,,,,5,
150,B0 mode,M1 sans les items de depense,K2 dispersion,,,,5,
150,B0 tirage,"conception seule, MR141",K1 distance,-0.310926,-0.745157,0.276144,17,0.223378
150,B0 tirage,"conception seule, MR141",K2 dispersion,0.098039,-0.435775,0.594484,17,0.707229
150,B0 tirage,M1 attitudes seules,K1 distance,-0.293729,-0.782751,0.292011,16,0.263274
150,B0 tirage,M1 attitudes seules,K2 dispersion,0.288235,-0.313077,0.740967,16,0.285471
150,B0 tirage,M1 sans les items de depense,K1 distance,,,,5,
150,B0 tirage,M1 sans les items de depense,K2 dispersion,,,,5,
150,B1 argmax,"conception seule, MR141",K1 distance,-0.186275,-0.567646,0.306035,17,0.475352
150,B1 argmax,"conception seule, MR141",K2 dispersion,0.215686,-0.273481,0.646456,17,0.410159
150,B1 argmax,M1 attitudes seules,K1 distance,-0.191458,-0.700869,0.369233,16,0.471053
150,B1 argmax,M1 attitudes seules,K2 dispersion,0.250000,-0.293609,0.698345,16,0.345965
150,B1 argmax,M1 sans les items de depense,K1 distance,,,,5,
150,B1 argmax,M1 sans les items de depense,K2 dispersion,,,,5,
150,B2 argmax,"conception seule, MR141",K1 distance,-0.251689,-0.693452,0.333428,17,0.328967
150,B2 argmax,"conception seule, MR141",K2 dispersion,0.214592,-0.295011,0.673681,17,0.405959
150,B2 argmax,M1 attitudes seules,K1 distance,-0.088693,-0.606548,0.531393,16,0.741226
150,B2 argmax,M1 attitudes seules,K2 dispersion,0.141176,-0.422527,0.575960,16,0.601240
150,B2 argmax,M1 sans les items de depense,K1 distance,,,,5,
150,B2 argmax,M1 sans les items de depense,K2 dispersion,,,,5,
150,B3 foret,"conception seule, MR141",K1 distance,-0.131208,-0.553316,0.392841,17,0.611139
150,B3 foret,"conception seule, MR141",K2 dispersion,0.150828,-0.350224,0.599770,17,0.560044
150,B3 foret,M1 attitudes seules,K1 distance,-0.036846,-0.654737,0.572733,16,0.895410
150,B3 foret,M1 attitudes seules,K2 dispersion,0.070588,-0.491756,0.599436,16,0.798220
150,B3 foret,M1 sans les items de depense,K1 distance,,,,5,
150,B3 foret,M1 sans les items de depense,K2 dispersion,,,,5,
150,C2,"conception seule, MR141",K1 distance,0.071078,-0.501891,0.593582,17,0.782022
150,C2,"conception seule, MR141",K2 dispersion,0.349903,-0.116145,0.678679,17,0.163884
150,C2,M1 attitudes seules,K1 distance,0.016188,-0.453760,0.479639,16,0.950905
150,C2,M1 attitudes seules,K2 dispersion,0.041176,-0.475904,0.558218,16,0.883912
150,C2,M1 sans les items de depense,K1 distance,,,,5,
150,C2,M1 sans les items de depense,K2 dispersion,,,,5,
150,C3,"conception seule, MR141",K1 distance,0.311275,-0.205592,0.706948,17,0.221378
150,C3,"conception seule, MR141",K2 dispersion,0.123850,-0.371454,0.563388,17,0.635836
150,C3,M1 attitudes seules,K1 distance,0.341176,-0.200595,0.788063,16,0.200480
150,C3,M1 attitudes seules,K2 dispersion,-0.197059,-0.639427,0.438530,16,0.472353
150,C3,M1 sans les items de depense,K1 distance,,,,5,
150,C3,M1 sans les items de depense,K2 dispersion,,,,5,
150,agents composite,"conception seule, MR141",K1 distance,-0.149510,-0.600012,0.440316,17,0.573643
150,agents composite,"conception seule, MR141",K2 dispersion,0.240196,-0.291597,0.651438,17,0.350865
150,agents composite,M1 attitudes seules,K1 distance,0.036901,-0.519959,0.616786,16,0.893911
150,agents composite,M1 attitudes seules,K2 dispersion,0.035294,-0.511981,0.551271,16,0.901410
150,agents composite,M1 sans les items de depense,K1 distance,,,,5,
150,agents composite,M1 sans les items de depense,K2 dispersion,,,,5,
150,agents demographiques (v6),"conception seule, MR141",K1 distance,-0.200980,-0.648860,0.289693,17,0.431657
150,agents demographiques (v6),"conception seule, MR141",K2 dispersion,0.100490,-0.427536,0.520499,17,0.696630
150,agents demographiques (v6),M1 attitudes seules,K1 distance,-0.129794,-0.588893,0.443460,16,0.627337
150,agents demographiques (v6),M1 attitudes seules,K2 dispersion,-0.114706,-0.598835,0.423854,16,0.671733
150,agents demographiques (v6),M1 sans les items de depense,K1 distance,,,,5,
150,agents demographiques (v6),M1 sans les items de depense,K2 dispersion,,,,5,
150,agents enquete,"conception seule, MR141",K1 distance,-0.546569,-0.865357,-0.068282,17,0.026097
150,agents enquete,"conception seule, MR141",K2 dispersion,0.186275,-0.442385,0.677884,17,0.467353
150,agents enquete,M1 attitudes seules,K1 distance,0.064706,-0.421822,0.539646,16,0.807719
150,agents enquete,M1 attitudes seules,K2 dispersion,0.202941,-0.340417,0.690942,16,0.456154
150,agents enquete,M1 sans les items de depense,K1 distance,,,,5,
150,agents enquete,M1 sans les items de depense,K2 dispersion,,,,5,
150,agents entretien (v3),"conception seule, MR141",K1 distance,0.155733,-0.318572,0.614597,17,0.554145
150,agents entretien (v3),"conception seule, MR141",K2 dispersion,0.176471,-0.288751,0.559243,17,0.498350
150,agents entretien (v3),M1 attitudes seules,K1 distance,-0.168267,-0.665179,0.433076,16,0.537846
150,agents entretien (v3),M1 attitudes seules,K2 dispersion,0.264706,-0.383980,0.731778,16,0.318768
150,agents entretien (v3),M1 sans les items de depense,K1 distance,,,,5,
150,agents entretien (v3),M1 sans les items de depense,K2 dispersion,,,,5,
150,agents v7,"conception seule, MR141",K1 distance,-0.117791,-0.595478,0.427189,17,0.654935
150,agents v7,"conception seule, MR141",K2 dispersion,0.392157,-0.184456,0.793288,17,0.115888
150,agents v7,M1 attitudes seules,K1 distance,0.182487,-0.339286,0.657808,16,0.490651
150,agents v7,M1 attitudes seules,K2 dispersion,-0.070588,-0.605425,0.584858,16,0.801820
150,agents v7,M1 sans les items de depense,K1 distance,,,,5,
150,agents v7,M1 sans les items de depense,K2 dispersion,,,,5,
150,agents v8,"conception seule, MR141",K1 distance,0.107976,-0.425014,0.548964,17,0.679332
150,agents v8,"conception seule, MR141",K2 dispersion,0.095588,-0.464210,0.621730,17,0.721828
