config_x,config_y,n_personnes,plancher_paire,accord_meme_segment_paire,accord_vrai_paire,n_pool,top1_mode_segment,top1_mode_segment_bas,top1_mode_segment_haut,hasard_pool,taille_segment_mediane,plancher_bas,plancher_haut,accord_meme_segment_bas,accord_meme_segment_haut,accord_vrai_bas,accord_vrai_haut,apport_segment,apport_segment_bas,apport_segment_haut,apport_individuel,apport_individuel_bas,apport_individuel_haut,top1_individuel_publie,seuil_destructeur,A2_refutee
JSON Persona - GPT4.1,Text Persona (Default Temperature) - GPT4.1-mini,2058,0.48290601955067736,0.5171076162860483,0.6760204081632653,2058.0,0.0011904761904761906,0.0008017492711370263,0.0016277939747327502,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
JSON Persona - GPT4.1,Text Persona (Reasoning) - GPT4.1-mini,2058,0.456420427281499,0.4952246659581605,0.6667962423064463,2058.0,0.00036443148688046647,0.00017006802721088437,0.0006073858114674441,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
JSON Persona - GPT4.1,Text Persona (Repeating Questions) - GPT4.1-mini,2058,0.49528636326628256,0.5322728659506955,0.6985260770975057,2058.0,0.0008260447035957241,0.0005344995140913509,0.0011418853255587952,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
JSON Persona - GPT4.1,Text Persona - GPT4.1-mini,2058,0.4923737342241108,0.5269836167717349,0.6970440557175251,2058.0,0.0006802721088435374,0.00038872691933916425,0.0010204081632653062,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
JSON Persona - GPT4.1,Text Persona - Gemini-Flash2.5,2058,0.4230411408955554,0.4542042652602078,0.6358033689666343,2058.0,0.00034013605442176874,0.00014577259475218661,0.0005830903790087465,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Default Temperature) - GPT4.1-mini,JSON Persona - GPT4.1,2058,0.4829060195506774,0.5171076162860484,0.6760204081632653,2058.0,0.0007531584062196307,0.00048590864917395527,0.001044703595724004,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,0.43720827567548076,0.4765460578698083,0.6431324910916747,2058.0,0.0002186588921282799,9.718172983479106e-05,0.00038872691933916425,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,0.50660995212725,0.5491128446283041,0.7572238419177195,2058.0,0.0007288629737609329,0.0004616132167152575,0.001044703595724004,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,0.5373658278738492,0.5808972687969062,0.832207644962747,2058.0,0.0007774538386783285,0.0005102040816326531,0.0010689990281827018,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Default Temperature) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,0.40145449364318725,0.43827378070943623,0.5628360868156786,2058.0,0.0004616132167152575,0.00017006802721088434,0.0008503401360544217,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Reasoning) - GPT4.1-mini,JSON Persona - GPT4.1,2058,0.456420427281499,0.49522466595816045,0.6667962423064463,2058.0,0.0004373177842565597,0.00017006802721088437,0.0007774538386783284,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Reasoning) - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,0.43720827567548076,0.4765460578698083,0.6431324910916747,2058.0,0.0009475218658892128,0.0005344995140913509,0.0015063168124392616,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Reasoning) - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,0.4516239396191377,0.4950078419040093,0.6745383867832847,2058.0,0.0005344995140913509,0.00029154518950437323,0.0008260447035957241,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Reasoning) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,0.44532057214857607,0.4851587825578317,0.6596047942986719,2058.0,0.0010204081632653062,0.0006802721088435374,0.0014091350826044703,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Reasoning) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,0.44455495696901354,0.4802902615415291,0.643666990605766,2058.0,0.0008503401360544217,0.0005102040816326531,0.001239067055393586,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Repeating Questions) - GPT4.1-mini,JSON Persona - GPT4.1,2058,0.49528636326628256,0.5322728659506955,0.6985260770975057,2058.0,0.0007774538386783286,0.0005102040816326531,0.0010932944606413995,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,0.50660995212725,0.5491128446283041,0.7572238419177195,2058.0,0.0009475218658892129,0.000631681243926142,0.0012876579203109817,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,0.4516239396191377,0.4950078419040093,0.6745383867832847,2058.0,0.00021865889212827988,9.718172983479106e-05,0.00036443148688046647,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,0.5177745320875301,0.5613560264554049,0.7853012633624878,2058.0,0.0009961127308066085,0.0006802721088435375,0.001336248785228377,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,0.40354262917288125,0.4403979982983436,0.5749190152251377,2058.0,0.0010689990281827018,0.0006073858114674441,0.0016034985422740526,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona - GPT4.1-mini,JSON Persona - GPT4.1,2058,0.4923737342241108,0.526983616771735,0.6970440557175251,2058.0,0.00046161321671525754,0.00024295432458697764,0.0007045675413022353,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
Text Persona - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,0.5373658278738492,0.5808972687969062,0.832207644962747,2058.0,0.0010204081632653062,0.0007045675413022352,0.0014091350826044703,0.00048590864917395527,82.0,,,,,,,,,,,,,,,
