temoin,jeu,candidat,attaque,mesure,valeur,ic_bas,ic_haut,tirages_min,tirages_max,tirages_ecart_type,k_items,n_tirages_items,n_attaques,n_pool,baseline_top1,note,top1_k12,top1_k60,tirage_items,candidat_top1,baseline_ic_bas,baseline_ic_haut,hasard,top1_naif,top1_fort,twin_top1,twin_baseline_top1,twin_rapport,argyle_top1,argyle_baseline_top1,argyle_rapport,contraste_twin_sur_argyle
T1 items apparies,Twin-2K-500,Demographics Only - GPT4.1-mini,naif (Hamming),top1,0.012513767411726596,0.010009556203433754,0.015329122125040489,0.005247813411078717,0.0206997084548105,0.00363071159132393,40.0,30.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,Demographics Only - GPT4.1-mini,naif (Hamming),top10,0.06524457402008421,0.05805304502753482,0.0726986556527373,,,,40.0,30.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),rapport_top1_sur_baseline_demo,8.813875226507896,,,,,,40.0,30.0,,2058.0,0.012513767411726596,"rapport de deux moyennes, sans IC (les deux estimateurs partagent les memes personnes)",,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),top1,0.20719144800777453,0.19040208940719147,0.22383685617103982,0.20719144800777453,0.20719144800777453,,60.0,1.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),top10,0.42655490767735665,0.406389091350826,0.4470402089407191,,,,60.0,1.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,Demographics Only - GPT4.1-mini,naif (Hamming),top1,0.021209912536443148,0.015524173955296403,0.027308673469387753,0.021209912536443148,0.021209912536443148,,60.0,1.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,Demographics Only - GPT4.1-mini,naif (Hamming),top10,0.09402332361516035,0.08172922740524782,0.10658527696793003,,,,60.0,1.0,2058.0,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),rapport_top1_sur_baseline_demo,9.768613974799543,,,,,,60.0,1.0,,2058.0,0.021209912536443148,"rapport de deux moyennes, sans IC (les deux estimateurs partagent les memes personnes)",,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),facteur_12_vers_60_items,16.992561105207226,,,,,,,,,2058.0,,,0.012193067703271785,0.20719144800777453,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,Demographics Only - GPT4.1-mini,naif (Hamming),facteur_12_vers_60_items,7.406674208144796,,,,,,,,,2058.0,,,0.002863621639131843,0.021209912536443148,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.019241982507288626,0.03024842079689018,,,,12.0,,,2058.0,0.008066083576287658,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,0.0,0.024635568513119536,0.00502854713313897,0.011419460641399414,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.01394557823129252,0.02351919339164237,,,,12.0,,,2058.0,0.005369290573372206,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,1.0,0.018610301263362487,0.0028911564625850343,0.008114674441205054,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,0.0,0.0015063168124392614,0.005563654033041788,,,,12.0,,,2058.0,0.0010204081632653062,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,2.0,0.003352769679300291,0.00021865889212827985,0.002332361516034986,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.00784681729834791,0.015184645286686104,,,,12.0,,,2058.0,0.002356656948493683,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,3.0,0.011491739552964042,0.0009475218658892128,0.004082240038872689,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.01175838192419825,0.020262390670553937,,,,12.0,,,2058.0,0.006948493683187561,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,4.0,0.015792031098153546,0.004251700680272109,0.010107507288629735,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_part_de_tirages_qui_passent,0.8,,,,,,12.0,5.0,,2058.0,,,,,,,,,,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.02361516034985423,0.03612913022351796,,,,20.0,,,2058.0,0.005466472303206998,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,0.0,0.02978620019436346,0.003036929057337221,0.008284742468415937,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.05279336734693878,0.07208515549076773,,,,30.0,,,2058.0,0.0050048590864917395,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,0.0,0.06212342079689019,0.0024532312925170064,0.007799441205053447,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.06656887755102041,0.08814625850340135,,,,40.0,,,2058.0,0.00857628765792031,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,0.0,0.077089407191448,0.005101433430515063,0.01239067055393586,0.00048590864917395527,,,,,,,,,
T1 items apparies,Twin-2K-500,JSON Persona - GPT4.1,naif (Hamming),controle_interpretabilite_passe,1.0,0.1903304178814383,0.2236898688046647,,,,60.0,,,2058.0,0.02152575315840622,"fonction canonique du depot, baseline recalculee par elle sur le meme bassin et les memes items",,,0.0,0.20682701652089408,0.01586491739552964,0.02789237123420796,0.00048590864917395527,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),top1,0.0013733705772811919,0.0004655493482309126,0.002700186219739292,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),top10,0.009962756052141529,0.006819716014897579,0.01361731843575419,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),auc_monde_ouvert,0.00045330375317735263,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),top1,0.001047486033519553,0.0003957169459962756,0.0018389199255121043,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),top10,0.011545623836126628,0.007960311918063316,0.015457402234636866,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),auc_monde_ouvert,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),top1,0.0010009310986964619,0.00011638733705772812,0.0022811918063314713,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),top10,0.009194599627560522,0.006191806331471136,0.012430749534450648,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),auc_monde_ouvert,0.0006169395808842144,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),tpr_a_fpr_0_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),tpr_a_fpr_1pct,0.0,,,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif (Hamming),top1,0.0007681564245810055,9.31098696461825e-05,0.001908752327746741,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
T2 attaquant fort Argyle,Argyle 2023,"B-demo (demographies seules, ce bassin)",naif (Hamming),top10,0.00728584729981378,0.004818435754189945,0.009962756052141527,,,,,,2148.0,2148.0,,,,,,,,,0.0004655493482309125,,,,,,,,,
