condition_llm,definition_raretes,personnes,famille,hypothese,adversaire,quantite,difference_llm_moins_adversaire,ic_bas,ic_haut,p_bootstrap,signe_attendu,p_holm,p_bh
C3F gpt-oss-20b,population,150,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",-0.093750,-0.189396,0.013162,0.112000,positif,,
C3F gpt-oss-20b,population,150,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",0.010417,-0.072732,0.096498,0.922000,positif,,
C3F gpt-oss-20b,population,150,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.156250,0.086535,0.230000,0.000250,positif,,
C3F gpt-oss-20b,population,150,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.031250,-0.052632,0.113644,0.543000,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.543687,-0.583871,-0.497730,0.000250,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.346480,-0.530400,-0.161077,0.001000,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",-0.078623,-0.136401,-0.030045,0.002000,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.172921,-0.269590,-0.081125,0.000250,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.259746,-0.400850,-0.121916,0.000500,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",-0.286957,-0.959936,0.062795,0.656176,positif,,
C3F gpt-oss-20b,population,150,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",-0.051368,-0.096862,-0.010314,0.011000,positif,,
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.136181,-0.150922,-0.121724,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.068144,-0.082761,-0.053445,0.000250,bilateral,,
C3F gpt-oss-20b,population,150,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.097333,-0.112414,-0.082529,0.000250,bilateral,,
