cle_modele,identite,n_items,part_items_camps_identiques,tv_camps_decrit_moyen,part_distributions_repetees_entre_items
q4,journaliste,147,0.14285714285714285,0.18885853061224486,
q4,adversaire,148,0.25,0.16293744256756754,
q4nogab,journaliste,147,0.1836734693877551,0.2124767380952381,
q4nogab,adversaire,144,0.0763888888888889,0.29071037499999997,
q4base,journaliste,143,0.44755244755244755,0.12832167832167832,
q4base,adversaire,144,0.20833333333333334,0.24632724305555553,
q4hyb,journaliste,142,0.5,0.08016302816901405,
q4hyb,adversaire,142,0.44366197183098594,0.09839452816901406,
q4,les deux,876,,,0.5878995433789954
q4nogab,les deux,875,,,0.5211428571428571
q4base,les deux,876,,,0.6084474885844748
q4hyb,les deux,860,,,0.6569767441860465
