perimetre,definition,tranche,rang,condition,exactitude
1052,rarete,ensemble,3,B2 argmax,0.671709
1052,rarete,ensemble,4,agents entretien (v3),0.656493
1052,rarete,ensemble,5,agents enquete,0.650988
1052,rarete,ensemble,6,B3 foret,0.633979
1052,rarete,ensemble,7,B1 argmax,0.620856
1052,rarete,ensemble,8,B0 mode,0.593386
1052,rarete,ensemble,9,agents demographiques (v6),0.581787
1052,rarete,ensemble,10,agents v7,0.564014
1052,rarete,ensemble,11,agents v8,0.559146
1052,rarete,ensemble,12,B0 tirage,0.491828
1052,rarete,ensemble,13,B0 uniforme,0.353229
1052,rarete,haut,1,B0 mode,1.000000
1052,rarete,haut,2,B2 argmax,1.000000
1052,rarete,haut,3,B3 foret,1.000000
1052,rarete,haut,4,B1 argmax,0.999839
1052,rarete,haut,5,agents demographiques (v6),0.993890
1052,rarete,haut,6,B0 tirage,0.987940
1052,rarete,haut,7,agents v8,0.987458
1052,rarete,haut,8,humains vague 2,0.984724
1052,rarete,haut,9,agents composite,0.979740
1052,rarete,haut,10,agents entretien (v3),0.959801
1052,rarete,haut,11,agents v7,0.939701
1052,rarete,haut,12,agents enquete,0.874096
1052,rarete,haut,13,B0 uniforme,0.393632
1052,rarete,milieu,1,humains vague 2,0.790470
1052,rarete,milieu,2,agents composite,0.676903
1052,rarete,milieu,3,B2 argmax,0.665688
1052,rarete,milieu,4,agents entretien (v3),0.648842
1052,rarete,milieu,5,agents enquete,0.647868
1052,rarete,milieu,6,B3 foret,0.625908
1052,rarete,milieu,7,B1 argmax,0.611898
1052,rarete,milieu,8,B0 mode,0.583212
1052,rarete,milieu,9,agents demographiques (v6),0.568590
1052,rarete,milieu,10,agents v7,0.554271
1052,rarete,milieu,11,agents v8,0.546987
1052,rarete,milieu,12,B0 tirage,0.476377
1052,rarete,milieu,13,B0 uniforme,0.353463
150,ordinale,bas,1,humains vague 2,0.816276
150,ordinale,bas,2,agents enquete,0.698446
150,ordinale,bas,3,agents composite,0.683894
150,ordinale,bas,4,agents entretien (v3),0.669977
150,ordinale,bas,5,B2 argmax,0.653142
150,ordinale,bas,6,B1 argmax,0.646336
150,ordinale,bas,7,B3 foret,0.636470
150,ordinale,bas,8,agents v8,0.624621
150,ordinale,bas,9,C3,0.619656
150,ordinale,bas,10,agents v7,0.614701
150,ordinale,bas,11,agents demographiques (v6),0.602978
150,ordinale,bas,12,C2,0.577275
150,ordinale,bas,13,B0 mode,0.570836
150,ordinale,bas,14,B0 tirage,0.553880
150,ordinale,bas,15,B0 uniforme,0.533680
150,ordinale,ensemble,1,humains vague 2,0.866640
150,ordinale,ensemble,2,agents composite,0.792426
150,ordinale,ensemble,3,B2 argmax,0.789941
150,ordinale,ensemble,4,B3 foret,0.769526
150,ordinale,ensemble,5,agents entretien (v3),0.769269
150,ordinale,ensemble,6,agents enquete,0.765443
150,ordinale,ensemble,7,B1 argmax,0.760947
150,ordinale,ensemble,8,B0 mode,0.750923
150,ordinale,ensemble,9,agents demographiques (v6),0.733977
150,ordinale,ensemble,10,agents v7,0.724953
150,ordinale,ensemble,11,agents v8,0.720121
150,ordinale,ensemble,12,C3,0.716478
150,ordinale,ensemble,13,C2,0.706741
150,ordinale,ensemble,14,B0 tirage,0.672083
150,ordinale,ensemble,15,B0 uniforme,0.587817
150,ordinale,haut,1,humains vague 2,0.799004
150,ordinale,haut,2,agents composite,0.729247
150,ordinale,haut,3,agents entretien (v3),0.726152
150,ordinale,haut,4,agents enquete,0.667100
150,ordinale,haut,5,agents v8,0.614413
150,ordinale,haut,6,B2 argmax,0.604607
150,ordinale,haut,7,C3,0.602166
150,ordinale,haut,8,C2,0.574376
150,ordinale,haut,9,B1 argmax,0.569722
150,ordinale,haut,10,B3 foret,0.547242
150,ordinale,haut,11,agents v7,0.527323
150,ordinale,haut,12,agents demographiques (v6),0.522300
150,ordinale,haut,13,B0 uniforme,0.511305
150,ordinale,haut,14,B0 mode,0.464055
150,ordinale,haut,15,B0 tirage,0.461444
150,ordinale,milieu,1,humains vague 2,0.873684
150,ordinale,milieu,2,B2 argmax,0.809173
150,ordinale,milieu,3,agents composite,0.802677
150,ordinale,milieu,4,B3 foret,0.790740
150,ordinale,milieu,5,B1 argmax,0.779206
150,ordinale,milieu,6,B0 mode,0.778801
150,ordinale,milieu,7,agents entretien (v3),0.777771
150,ordinale,milieu,8,agents enquete,0.775314
150,ordinale,milieu,9,agents demographiques (v6),0.754436
150,ordinale,milieu,10,agents v7,0.743334
150,ordinale,milieu,11,agents v8,0.732134
150,ordinale,milieu,12,C3,0.729083
150,ordinale,milieu,13,C2,0.722373
150,ordinale,milieu,14,B0 tirage,0.691715
150,ordinale,milieu,15,B0 uniforme,0.595616
150,ordinale extremes,bas,1,humains vague 2,0.859037
150,ordinale extremes,bas,2,B2 argmax,0.776183
150,ordinale extremes,bas,3,B1 argmax,0.754533
150,ordinale extremes,bas,4,agents enquete,0.753630
150,ordinale extremes,bas,5,B3 foret,0.753470
150,ordinale extremes,bas,6,agents composite,0.750131
150,ordinale extremes,bas,7,agents entretien (v3),0.723242
150,ordinale extremes,bas,8,B0 mode,0.718715
150,ordinale extremes,bas,9,agents v7,0.706659
150,ordinale extremes,bas,10,C3,0.697830
150,ordinale extremes,bas,11,agents demographiques (v6),0.673040
150,ordinale extremes,bas,12,agents v8,0.665462
150,ordinale extremes,bas,13,B0 tirage,0.632170
150,ordinale extremes,bas,14,C2,0.615653
150,ordinale extremes,bas,15,B0 uniforme,0.504134
150,ordinale extremes,ensemble,1,humains vague 2,0.866640
