variable,regle_choc,mois_choc,cible,predicteur,description,n_menages,taux_de_base,auc,auc_permutee,chute,chute_ic_bas,chute_ic_haut,p_permutation_normal,p_permutation_empirique,p_holm,retenu_holm
infl1,"primaire, saut de moyenne",2025-06,Y_rev,V,volatilite passee du menage seule,1037,0.4995178399228543,0.6644032554437179,0.5243091667224615,0.1400940887212564,0.0928855505116297,0.1826355304937297,8.81425364349485e-17,0.0049751243781094,1.1899242418718048e-14,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,N,"ecart au niveau moyen avant le choc, seul",1037,0.4995178399228543,0.568337536545629,0.5149600508849064,0.0533774856607226,0.0051813787033004,0.1007173029232107,0.000632927320524,0.0049751243781094,0.038608566551964,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1037,0.4995178399228543,0.334880710603254,0.4929124634543709,-0.1580317528511169,-0.2050059161146806,-0.0967722403685471,7.241794033448559e-19,0.0049751243781094,1.0138511646827982e-16,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,D,demographies seules,1037,0.4995178399228543,0.5528842219593665,0.5851307366408522,-0.0322465146814857,-0.0577551391175968,-0.0096462365435981,0.0008439677086258,0.0049751243781094,0.0481061593916706,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,H,historique du menage,1037,0.4995178399228543,0.8086868867215689,0.52198784974074,0.2866990369808289,0.2381839890466299,0.3252495212385554,3.7597391544033624e-66,0.0049751243781094,7.933049615791095e-64,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,HD,historique et demographies,1037,0.4995178399228543,0.8029176988714561,0.5349666346776174,0.2679510641938387,0.2275861904191025,0.3051151628379649,1.7113864581881768e-50,0.0049751243781094,3.4227729163763535e-48,True
infl1,"primaire, saut de moyenne",2025-06,Y_rev,T0b,temoin constant,1037,0.4995178399228543,0.5,0.5,0.0,0.0,0.0,1.0,1.0,,False
infl1,"primaire, saut de moyenne",2025-06,Y_dir,V,volatilite passee du menage seule,1037,0.3866923818707811,0.4879134710393826,0.5067868653837105,-0.0188733943443278,-0.0695400404865586,0.0264533920297087,0.2909235528196121,0.3333333333333333,1.0,False
infl1,"primaire, saut de moyenne",2025-06,Y_dir,N,"ecart au niveau moyen avant le choc, seul",1037,0.3866923818707811,0.5537688796875735,0.5119155629009238,0.0418533167866497,-0.0020456011861161,0.0878506006871157,0.017755678316261,0.0099502487562189,0.674715776017918,False
infl1,"primaire, saut de moyenne",2025-06,Y_dir,L,"niveau d'avant le choc seul, signe, retour a la moyenne",1037,0.3866923818707811,0.6522843833811697,0.5022986264684202,0.1499857569127495,0.0950943038816914,0.1951287868349098,1.9829843916695986e-15,0.0049751243781094,2.538220021337086e-13,True
infl1,"primaire, saut de moyenne",2025-06,Y_dir,D,demographies seules,1037,0.3866923818707811,0.5383926190812277,0.5641123115952257,-0.0257196925139979,-0.059463298836219,0.0109126387430268,0.0485229786869095,0.044776119402985,1.0,False
infl1,"primaire, saut de moyenne",2025-06,Y_dir,H,historique du menage,1037,0.3866923818707811,0.6300777145187346,0.5062830247494472,0.1237946897692874,0.0751565291839939,0.1749105901895817,2.538367003012063e-10,0.0049751243781094,2.7668200332831486e-08,True
infl1,"primaire, saut de moyenne",2025-06,Y_dir,HD,historique et demographies,1037,0.3866923818707811,0.63658071801628,0.5163793738923133,0.1202013441239667,0.0703425470533298,0.1578163139084927,2.7421362654292834e-12,0.0049751243781094,3.2082994305522614e-10,True
