item,panel,variables_gss,vagues_trouvees,colonnes
owngun,2010-2014,owngun,3,owngun_1;owngun_2;owngun_3
hunt1,2010-2014,hunt1,0,;;
class,2010-2014,class,3,class_1;class_2;class_3
satfin,2010-2014,satfin,3,satfin_1;satfin_2;satfin_3
finalter,2010-2014,finalter,3,finalter_1;finalter_2;finalter_3
finrela,2010-2014,finrela,3,finrela_1;finrela_2;finrela_3
racdif1,2010-2014,racdif1,3,racdif1_1;racdif1_2;racdif1_3
racdif2,2010-2014,racdif2,3,racdif2_1;racdif2_2;racdif2_3
racdif3,2010-2014,racdif3,3,racdif3_1;racdif3_2;racdif3_3
racdif4,2010-2014,racdif4,3,racdif4_1;racdif4_2;racdif4_3
wlthwhts,2010-2014,wlthwhts,3,wlthwhts_1;wlthwhts_2;wlthwhts_3
wlthblks,2010-2014,wlthblks,3,wlthblks_1;wlthblks_2;wlthblks_3
wlthhsps,2010-2014,wlthhsps,3,wlthhsps_1;wlthhsps_2;wlthhsps_3
racwork,2010-2014,racwork,3,racwork_1;racwork_2;racwork_3
letin1a,2010-2014,letin1a,3,letin1a_1;letin1a_2;letin1a_3
getahead,2010-2014,getahead,3,getahead_1;getahead_2;getahead_3
aged,2010-2014,aged,3,aged_1;aged_2;aged_3
parsol,2010-2014,parsol,3,parsol_1;parsol_2;parsol_3
kidssol,2010-2014,kidssol,3,kidssol_1;kidssol_2;kidssol_3
spanking,2010-2014,spanking,3,spanking_1;spanking_2;spanking_3
divlaw,2010-2014,divlaw,3,divlaw_1;divlaw_2;divlaw_3
sexeduc,2010-2014,sexeduc,3,sexeduc_1;sexeduc_2;sexeduc_3
pillok,2010-2014,pillok,3,pillok_1;pillok_2;pillok_3
xmarsex,2010-2014,xmarsex,3,xmarsex_1;xmarsex_2;xmarsex_3
homosex,2010-2014,homosex,3,homosex_1;homosex_2;homosex_3
marhomo,2010-2014,marhomo,3,marhomo_1;marhomo_2;marhomo_3
discaff,2010-2014,discaff,3,discaff_1;discaff_2;discaff_3
abdefect,2010-2014,abdefect,3,abdefect_1;abdefect_2;abdefect_3
abnomore,2010-2014,abnomore,3,abnomore_1;abnomore_2;abnomore_3
abhlth,2010-2014,abhlth,3,abhlth_1;abhlth_2;abhlth_3
abpoor,2010-2014,abpoor,3,abpoor_1;abpoor_2;abpoor_3
abrape,2010-2014,abrape,3,abrape_1;abrape_2;abrape_3
absingle,2010-2014,absingle,3,absingle_1;absingle_2;absingle_3
abany,2010-2014,abany,3,abany_1;abany_2;abany_3
letdie1,2010-2014,letdie1,3,letdie1_1;letdie1_2;letdie1_3
suicide1,2010-2014,suicide1,3,suicide1_1;suicide1_2;suicide1_3
suicide2,2010-2014,suicide2,3,suicide2_1;suicide2_2;suicide2_3
suicide3,2010-2014,suicide3,3,suicide3_1;suicide3_2;suicide3_3
suicide4,2010-2014,suicide4,3,suicide4_1;suicide4_2;suicide4_3
pornlaw,2010-2014,pornlaw,3,pornlaw_1;pornlaw_2;pornlaw_3
fair,2010-2014,fair,3,fair_1;fair_2;fair_3
helpful,2010-2014,helpful,3,helpful_1;helpful_2;helpful_3
trust,2010-2014,trust,3,trust_1;trust_2;trust_3
tax,2010-2014,tax,3,tax_1;tax_2;tax_3
vote16,2010-2014,vote16,0,;;
pres16,2010-2014,pres16,0,;;
if16who,2010-2014,if16who,0,;;
news,2010-2014,news,3,news_1;news_2;news_3
jew,2010-2014,jew,3,jew_1;jew_2;jew_3
relig16*,2010-2014,relig16,3,relig16_1;relig16_2;relig16_3
jew16*,2010-2014,jew16,3,jew16_1;jew16_2;jew16_3
attend,2010-2014,attend,3,attend_1;attend_2;attend_3
pray,2010-2014,pray,3,pray_1;pray_2;pray_3
postlife,2010-2014,postlife,3,postlife_1;postlife_2;postlife_3
bible,2010-2014,bible,3,bible_1;bible_2;bible_3
reborn,2010-2014,reborn,3,reborn_1;reborn_2;reborn_3
savesoul,2010-2014,savesoul,3,savesoul_1;savesoul_2;savesoul_3
granborn,2010-2014,granborn,3,granborn_1;granborn_2;granborn_3
uscitzn*,2010-2014,uscitzn,3,uscitzn_1;uscitzn_2;uscitzn_3
fucitzn,2010-2014,fucitzn,3,fucitzn_1;fucitzn_2;fucitzn_3
mnthsusa,2010-2014,mnthsusa,0,;;
income,2010-2014,income,3,income_1;income_2;income_3
othlang,2010-2014,othlang,3,othlang_1;othlang_2;othlang_3
health,2010-2014,health,3,health_1;health_2;health_3
compuse*,2010-2014,compuse,3,compuse_1;compuse_2;compuse_3
webmob,2010-2014,webmob,3,webmob_1;webmob_2;webmob_3
xmovie,2010-2014,xmovie,3,xmovie_1;xmovie_2;xmovie_3
usewww*,2010-2014,usewww,3,usewww_1;usewww_2;usewww_3
life,2010-2014,life,3,life_1;life_2;life_3
richwork,2010-2014,richwork,3,richwork_1;richwork_2;richwork_3
natspac/y,2016-2020,natspac+natspacy,3,natspac_1a|natspacy_1a;natspac_1b|natspacy_1b;natspac_2|natspacy_2
natenvir/y,2016-2020,natenvir+natenviry,3,natenvir_1a;natenvir_1b;natenvir_2
natheal/y,2016-2020,natheal+nathealy,3,natheal_1a|nathealy_1a;natheal_1b|nathealy_1b;natheal_2|nathealy_2
natcity/y,2016-2020,natcity+natcityy,3,natcity_1a|natcityy_1a;natcity_1b|natcityy_1b;natcity_2|natcityy_2
natdrug/y,2016-2020,natdrug+natdrugy,3,natdrug_1a|natdrugy_1a;natdrug_1b|natdrugy_1b;natdrug_2|natdrugy_2
nateduc/y,2016-2020,nateduc+nateducy,3,nateduc_1a|nateducy_1a;nateduc_1b|nateducy_1b;nateduc_2|nateducy_2
natrace/y,2016-2020,natrace+natracey,3,natrace_1a|natracey_1a;natrace_1b|natracey_1b;natrace_2|natracey_2
natarms/y,2016-2020,natarms+natarmsy,3,natarms_1a|natarmsy_1a;natarms_1b|natarmsy_1b;natarms_2|natarmsy_2
nataid/y,2016-2020,nataid+nataidy,3,nataid_1a|nataidy_1a;nataid_1b|nataidy_1b;nataid_2|nataidy_2
natfare/y,2016-2020,natfare+natfarey,3,natfare_1a|natfarey_1a;natfare_1b|natfarey_1b;natfare_2|natfarey_2
natroad,2016-2020,natroad,3,natroad_1a;natroad_1b;natroad_2
natsoc,2016-2020,natsoc,3,natsoc_1a;natsoc_1b;natsoc_2
natmass,2016-2020,natmass,3,natmass_1a;natmass_1b;natmass_2
natpark,2016-2020,natpark,3,natpark_1a;natpark_1b;natpark_2
natchld,2016-2020,natchld,3,natchld_1a;natchld_1b;natchld_2
natsci,2016-2020,natsci,3,natsci_1a;natsci_1b;natsci_2
natenrgy,2016-2020,natenrgy,3,natenrgy_1a;natenrgy_1b;natenrgy_2
uswary,2016-2020,uswary,3,uswary_1a;uswary_1b;uswary_2
prayer,2016-2020,prayer,3,prayer_1a;prayer_1b;prayer_2
courts,2016-2020,courts,3,courts_1a;courts_1b;courts_2
discaffw,2016-2020,discaffw,3,discaffw_1a;discaffw_1b;discaffw_2
discaffm,2016-2020,discaffm,3,discaffm_1a;discaffm_1b;discaffm_2
fehire,2016-2020,fehire,3,fehire_1a;fehire_1b;fehire_2
fechld,2016-2020,fechld,3,fechld_1a;fechld_1b;fechld_2
fepresch,2016-2020,fepresch,3,fepresch_1a;fepresch_1b;fepresch_2
fefam,2016-2020,fefam,3,fefam_1a;fefam_1b;fefam_2
fepol,2016-2020,fepol,3,fepol_1a;fepol_1b;fepol_2
mobile16,2016-2020,mobile16,3,mobile16_1a;mobile16_1b;mobile16_2
incom16,2016-2020,incom16,3,incom16_1a;incom16_1b;incom16_2
dwelown16,2016-2020,dwelown16,3,dwelown16_1a;dwelown16_1b;dwelown16_2
divorced,2016-2020,divorced,0,;;
posslq/y,2016-2020,posslq+posslqy,3,posslq_1a|posslqy_1a;posslq_1b|posslqy_1b;posslq_2|posslqy_2
wrkstat,2016-2020,wrkstat,3,wrkstat_1a;wrkstat_1b;wrkstat_2
evwork,2016-2020,evwork,3,evwork_1a;evwork_1b;evwork_2
wrkgovt1,2016-2020,wrkgovt1,0,;;
wrkgovt2,2016-2020,wrkgovt2,0,;;
partfull,2016-2020,partfull,3,partfull_1a;partfull_1b;partfull_2
wksub1,2016-2020,wksub1,3,wksub1_1a;wksub1_1b;wksub1_2
wksup1,2016-2020,wksup1,3,wksup1_1a;wksup1_1b;wksup1_2
conarmy,2016-2020,conarmy,3,conarmy_1a;conarmy_1b;conarmy_2
conbus,2016-2020,conbus,3,conbus_1a;conbus_1b;conbus_2
conclerg,2016-2020,conclerg,3,conclerg_1a;conclerg_1b;conclerg_2
coneduc,2016-2020,coneduc,3,coneduc_1a;coneduc_1b;coneduc_2
confed,2016-2020,confed,3,confed_1a;confed_1b;confed_2
confinan,2016-2020,confinan,3,confinan_1a;confinan_1b;confinan_2
conjudge,2016-2020,conjudge,3,conjudge_1a;conjudge_1b;conjudge_2
conlabor,2016-2020,conlabor,3,conlabor_1a;conlabor_1b;conlabor_2
conlegis,2016-2020,conlegis,3,conlegis_1a;conlegis_1b;conlegis_2
conmedic,2016-2020,conmedic,3,conmedic_1a;conmedic_1b;conmedic_2
conpress,2016-2020,conpress,3,conpress_1a;conpress_1b;conpress_2
consci,2016-2020,consci,3,consci_1a;consci_1b;consci_2
contv,2016-2020,contv,3,contv_1a;contv_1b;contv_2
joblose,2016-2020,joblose,3,joblose_1a;joblose_1b;joblose_2
jobfind,2016-2020,jobfind,3,jobfind_1a;jobfind_1b;jobfind_2
happy,2016-2020,happy,3,happy_1a;happy_1b;happy_2
hapmar,2016-2020,hapmar,3,hapmar_1a;hapmar_1b;hapmar_2
satjob,2016-2020,satjob,3,satjob_1a;satjob_1b;satjob_2
spdeg*,2016-2020,spdeg,3,spdeg_1a;spdeg_1b;spdeg_2
spjew,2016-2020,spjew,3,spjew_1a;spjew_1b;spjew_2
spfund,2016-2020,spfund,3,spfund_1a;spfund_1b;spfund_2
unemp,2016-2020,unemp,3,unemp_1a;unemp_1b;unemp_2
union1,2016-2020,union1,3,union1_1a;union1_1b;union1_2
spkath/y,2016-2020,spkath+spkathy,3,spkath_1a|spkathy_1a;spkath_1b|spkathy_1b;spkath_2|spkathy_2
colath,2016-2020,colath,3,colath_1a;colath_1b;colath_2
spkrac/y,2016-2020,spkrac+spkracy,3,spkrac_1a|spkracy_1a;spkrac_1b|spkracy_1b;spkrac_2|spkracy_2
colrac,2016-2020,colrac,3,colrac_1a;colrac_1b;colrac_2
librac/y,2016-2020,librac+libracy,3,librac_1a|libracy_1a;librac_1b|libracy_1b;librac_2|libracy_2
spkcom/y,2016-2020,spkcom+spkcomy,3,spkcom_1a|spkcomy_1a;spkcom_1b|spkcomy_1b;spkcom_2|spkcomy_2
colcom/y,2016-2020,colcom+colcomy,3,colcom_1a|colcomy_1a;colcom_1b|colcomy_1b;colcom_2|colcomy_2
libcom/y,2016-2020,libcom+libcomy,3,libcom_1a|libcomy_1a;libcom_1b|libcomy_1b;libcom_2|libcomy_2
spkhomo/y,2016-2020,spkhomo+spkhomoy,3,spkhomo_1a|spkhomoy_1a;spkhomo_1b|spkhomoy_1b;spkhomo_2|spkhomoy_2
colhomo,2016-2020,colhomo,3,colhomo_1a;colhomo_1b;colhomo_2
libhomo/y,2016-2020,libhomo+libhomoy,3,libhomo_1a|libhomoy_1a;libhomo_1b|libhomoy_1b;libhomo_2|libhomoy_2
cappun,2016-2020,cappun,3,cappun_1a;cappun_1b;cappun_2
polhitok/y,2016-2020,polhitok+polhitoky,3,polhitok_1a|polhitoky_1a;polhitok_1b|polhitoky_1b;polhitok_2|polhitoky_2
polabuse/y,2016-2020,polabuse+polabusey,3,polabuse_1a|polabusey_1a;polabuse_1b|polabusey_1b;polabuse_2|polabusey_2
polattak/y,2016-2020,polattak+polattaky,3,polattak_1a|polattaky_1a;polattak_1b|polattaky_1b;polattak_2|polattaky_2
grass,2016-2020,grass,3,grass_1a;grass_1b;grass_2
gunlaw,2016-2020,gunlaw,3,gunlaw_1a;gunlaw_1b;gunlaw_2
owngun,2016-2020,owngun,3,owngun_1a;owngun_1b;owngun_2
hunt1,2016-2020,hunt1,3,hunt1_1a;hunt1_1b;hunt1_2
class,2016-2020,class,3,class_1a;class_1b;class_2
satfin,2016-2020,satfin,3,satfin_1a;satfin_1b;satfin_2
finalter,2016-2020,finalter,3,finalter_1a;finalter_1b;finalter_2
finrela,2016-2020,finrela,3,finrela_1a;finrela_1b;finrela_2
racdif1,2016-2020,racdif1,3,racdif1_1a;racdif1_1b;racdif1_2
racdif2,2016-2020,racdif2,3,racdif2_1a;racdif2_1b;racdif2_2
racdif3,2016-2020,racdif3,3,racdif3_1a;racdif3_1b;racdif3_2
racdif4,2016-2020,racdif4,3,racdif4_1a;racdif4_1b;racdif4_2
wlthwhts,2016-2020,wlthwhts,3,wlthwhts_1a;wlthwhts_1b;wlthwhts_2
wlthblks,2016-2020,wlthblks,3,wlthblks_1a;wlthblks_1b;wlthblks_2
wlthhsps,2016-2020,wlthhsps,3,wlthhsps_1a;wlthhsps_1b;wlthhsps_2
racwork,2016-2020,racwork,3,racwork_1a;racwork_1b;racwork_2
letin1a,2016-2020,letin1a,3,letin1a_1a;letin1a_1b;letin1a_2
getahead,2016-2020,getahead,3,getahead_1a;getahead_1b;getahead_2
aged,2016-2020,aged,3,aged_1a;aged_1b;aged_2
parsol,2016-2020,parsol,3,parsol_1a;parsol_1b;parsol_2
kidssol,2016-2020,kidssol,3,kidssol_1a;kidssol_1b;kidssol_2
spanking,2016-2020,spanking,3,spanking_1a;spanking_1b;spanking_2
divlaw,2016-2020,divlaw,3,divlaw_1a;divlaw_1b;divlaw_2
sexeduc,2016-2020,sexeduc,3,sexeduc_1a;sexeduc_1b;sexeduc_2
pillok,2016-2020,pillok,3,pillok_1a;pillok_1b;pillok_2
xmarsex,2016-2020,xmarsex,3,xmarsex_1a;xmarsex_1b;xmarsex_2
homosex,2016-2020,homosex,3,homosex_1a;homosex_1b;homosex_2
marhomo,2016-2020,marhomo,3,marhomo_1a;marhomo_1b;marhomo_2
discaff,2016-2020,discaff,3,discaff_1a;discaff_1b;discaff_2
abdefect,2016-2020,abdefect,3,abdefect_1a;abdefect_1b;abdefect_2
abnomore,2016-2020,abnomore,3,abnomore_1a;abnomore_1b;abnomore_2
abhlth,2016-2020,abhlth,3,abhlth_1a;abhlth_1b;abhlth_2
abpoor,2016-2020,abpoor,3,abpoor_1a;abpoor_1b;abpoor_2
abrape,2016-2020,abrape,3,abrape_1a;abrape_1b;abrape_2
absingle,2016-2020,absingle,3,absingle_1a;absingle_1b;absingle_2
abany,2016-2020,abany,3,abany_1a;abany_1b;abany_2
letdie1,2016-2020,letdie1,3,letdie1_1a;letdie1_1b;letdie1_2
suicide1,2016-2020,suicide1,3,suicide1_1a;suicide1_1b;suicide1_2
suicide2,2016-2020,suicide2,3,suicide2_1a;suicide2_1b;suicide2_2
suicide3,2016-2020,suicide3,3,suicide3_1a;suicide3_1b;suicide3_2
suicide4,2016-2020,suicide4,3,suicide4_1a;suicide4_1b;suicide4_2
pornlaw,2016-2020,pornlaw,3,pornlaw_1a;pornlaw_1b;pornlaw_2
fair,2016-2020,fair,3,fair_1a;fair_1b;fair_2
helpful,2016-2020,helpful,3,helpful_1a;helpful_1b;helpful_2
trust,2016-2020,trust,3,trust_1a;trust_1b;trust_2
tax,2016-2020,tax,3,tax_1a;tax_1b;tax_2
vote16,2016-2020,vote16,3,vote16_1a;vote16_1b;vote16_2
pres16,2016-2020,pres16,3,pres16_1a;pres16_1b;pres16_2
if16who,2016-2020,if16who,3,if16who_1a;if16who_1b;if16who_2
news,2016-2020,news,3,news_1a;news_1b;news_2
jew,2016-2020,jew,3,jew_1a;jew_1b;jew_2
relig16*,2016-2020,relig16,3,relig16_1a;relig16_1b;relig16_2
jew16*,2016-2020,jew16,3,jew16_1a;jew16_1b;jew16_2
attend,2016-2020,attend,3,attend_1a;attend_1b;attend_2
pray,2016-2020,pray,3,pray_1a;pray_1b;pray_2
postlife,2016-2020,postlife,3,postlife_1a;postlife_1b;postlife_2
bible,2016-2020,bible,3,bible_1a;bible_1b;bible_2
reborn,2016-2020,reborn,3,reborn_1a;reborn_1b;reborn_2
savesoul,2016-2020,savesoul,3,savesoul_1a;savesoul_1b;savesoul_2
granborn,2016-2020,granborn,3,granborn_1a;granborn_1b;granborn_2
uscitzn*,2016-2020,uscitzn,3,uscitzn_1a;uscitzn_1b;uscitzn_2
fucitzn,2016-2020,fucitzn,3,fucitzn_1a;fucitzn_1b;fucitzn_2
mnthsusa,2016-2020,mnthsusa,3,mnthsusa_1a;mnthsusa_1b;mnthsusa_2
income,2016-2020,income,3,income_1a;income_1b;income_2
othlang,2016-2020,othlang,3,othlang_1a;othlang_1b;othlang_2
health,2016-2020,health,3,health_1a;health_1b;health_2
compuse*,2016-2020,compuse,3,compuse_1a;compuse_1b;compuse_2
webmob,2016-2020,webmob,3,webmob_1a;webmob_1b;webmob_2
xmovie,2016-2020,xmovie,3,xmovie_1a;xmovie_1b;xmovie_2
usewww*,2016-2020,usewww,3,usewww_1a;usewww_1b;usewww_2
life,2016-2020,life,3,life_1a;life_1b;life_2
richwork,2016-2020,richwork,3,richwork_1a;richwork_1b;richwork_2
