item,panel,variables_gss,vagues_trouvees,colonnes
colcom/y,2008-2012,colcom+colcomy,3,colcom_1;colcom_2;colcom_3
libcom/y,2008-2012,libcom+libcomy,3,libcom_1;libcom_2;libcom_3
spkhomo/y,2008-2012,spkhomo+spkhomoy,3,spkhomo_1;spkhomo_2;spkhomo_3
colhomo,2008-2012,colhomo,3,colhomo_1;colhomo_2;colhomo_3
libhomo/y,2008-2012,libhomo+libhomoy,3,libhomo_1;libhomo_2;libhomo_3
cappun,2008-2012,cappun,3,cappun_1;cappun_2;cappun_3
polhitok/y,2008-2012,polhitok+polhitoky,3,polhitok_1;polhitok_2;polhitok_3
polabuse/y,2008-2012,polabuse+polabusey,3,polabuse_1;polabuse_2;polabuse_3
polattak/y,2008-2012,polattak+polattaky,3,polattak_1;polattak_2;polattak_3
grass,2008-2012,grass,3,grass_1;grass_2;grass_3
gunlaw,2008-2012,gunlaw,3,gunlaw_1;gunlaw_2;gunlaw_3
owngun,2008-2012,owngun,3,owngun_1;owngun_2;owngun_3
hunt1,2008-2012,hunt1,0,;;
class,2008-2012,class,3,class_1;class_2;class_3
satfin,2008-2012,satfin,3,satfin_1;satfin_2;satfin_3
finalter,2008-2012,finalter,3,finalter_1;finalter_2;finalter_3
finrela,2008-2012,finrela,3,finrela_1;finrela_2;finrela_3
racdif1,2008-2012,racdif1,3,racdif1_1;racdif1_2;racdif1_3
racdif2,2008-2012,racdif2,3,racdif2_1;racdif2_2;racdif2_3
racdif3,2008-2012,racdif3,3,racdif3_1;racdif3_2;racdif3_3
racdif4,2008-2012,racdif4,3,racdif4_1;racdif4_2;racdif4_3
wlthwhts,2008-2012,wlthwhts,3,wlthwhts_1;wlthwhts_2;wlthwhts_3
wlthblks,2008-2012,wlthblks,3,wlthblks_1;wlthblks_2;wlthblks_3
wlthhsps,2008-2012,wlthhsps,3,wlthhsps_1;wlthhsps_2;wlthhsps_3
racwork,2008-2012,racwork,3,racwork_1;racwork_2;racwork_3
letin1a,2008-2012,letin1a,3,letin1a_1;letin1a_2;letin1a_3
getahead,2008-2012,getahead,3,getahead_1;getahead_2;getahead_3
