condition,n_items,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,ecrasement_gauche,ecrasement_centre,ecrasement_droite,ecrasement_droite_moins_gauche,p_holm
humains vague 1,149,0.461627,0.505369,0.504603,1.093097,1.011588,1.160039,0.000500,1.000000,1.000000,1.000000,0.000000,0.007496
agents composite,149,0.381797,0.453181,0.441723,1.156960,1.050066,1.253317,0.001000,0.827068,0.896733,0.875388,0.048320,0.007996
agents entretien (v3),149,0.333769,0.430269,0.411091,1.231664,1.105615,1.356979,0.000500,0.723028,0.851396,0.814683,0.091655,0.007496
agents enquete,149,0.341392,0.436162,0.441720,1.293880,1.161009,1.425848,0.000500,0.739540,0.863056,0.875381,0.135841,0.007496
agents demographiques (v6),149,0.289933,0.320135,0.348102,1.200629,1.070993,1.329217,0.003498,0.628068,0.633467,0.689853,0.061785,0.020990
agents v7,149,0.289851,0.318789,0.334510,1.154073,0.965381,1.348369,0.116442,0.627891,0.630804,0.662916,0.035026,0.232884
agents v8,149,0.233805,0.260972,0.305428,1.306334,1.094261,1.517473,0.000500,0.506482,0.516399,0.605284,0.098802,0.007496
C2,149,0.231188,0.144627,0.316122,1.367382,1.211262,1.517613,0.000500,0.500811,0.286182,0.626477,0.125666,0.007496
C3,149,0.308632,0.342336,0.356157,1.153985,1.030434,1.262167,0.009495,0.668575,0.677398,0.705816,0.037241,0.047476
B0 mode,149,0.018997,0.020012,0.019924,1.048798,0.821038,1.312464,0.692654,0.041152,0.039599,0.039484,-0.001668,0.692654
B0 tirage,149,0.500593,0.505525,0.510511,1.019814,0.987135,1.034724,0.072464,1.084410,1.000308,1.011709,-0.072701,0.217391
B1 argmax,149,0.293814,0.332594,0.347582,1.183001,1.076324,1.284688,0.000500,0.636475,0.658122,0.688824,0.052348,0.007496
B2 argmax,149,0.229181,0.290794,0.296526,1.293850,1.137172,1.487267,0.000500,0.496464,0.575409,0.587642,0.091178,0.007496
B3 foret,149,0.193418,0.208440,0.226434,1.170699,1.056952,1.276289,0.001999,0.418992,0.412451,0.448737,0.029745,0.013993
humains vague 2,149,0.465307,0.506576,0.495989,1.065940,0.986897,1.131263,0.045477,1.007973,1.002388,0.982930,-0.025043,0.181909
