contraste,personnes,segmentation,cases non vides,cases >= 10 personnes,cases >= 5 personnes,taille max,personnes dans les cases >= 10,tailles
H1,94,S_ideo,7,4,7,27,76,27 25 14 10 7 6 5
H1,94,S_gra,30,1,8,11,11,11 7 7 6 6 5 5 5 4 4 3 3 3 3 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1
H2,130,S_ideo,7,5,7,39,114,39 33 18 13 11 9 7
H2,130,S_gra,34,3,13,15,35,15 10 10 8 8 7 7 6 5 5 5 5 5 3 3 3 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1
