perimetre,condition,pente,pente_ic_bas,pente_ic_haut,ordonnee,ratio_a_derive_nulle,r2,spearman,gs_gauche,gs_droite,n_items,n_items_offerts,n_items_perdus_log,n_items_gauche_unanime,n_items_droite_unanime,pente_difference,r2_difference,ecart_pente_vs_humains,ecart_ic_bas,ecart_ic_haut,p,p_holm
150 personnes,humains vague 1,-2.161294,-3.037456,-1.458995,-0.010731,0.989327,0.561194,-0.788610,0.422783,0.501522,79,79,0,0,0,-0.660658,0.582572,,,,,
150 personnes,agents composite,-3.394827,-4.400188,-2.510628,0.016318,1.016452,0.530230,-0.777774,0.325503,0.441685,76,79,3,1,2,-0.877841,0.536732,-1.233533,-1.941667,-0.426220,0.002000,0.024000
150 personnes,agents entretien (v3),-4.187765,-4.921381,-2.689090,0.103901,1.109490,0.608250,-0.777288,0.268243,0.394285,70,79,9,7,5,-0.701583,0.448097,-2.026472,-2.591922,-0.555642,0.004000,0.044000
150 personnes,agents enquete,-3.569625,-4.366171,-2.394487,0.089362,1.093476,0.426148,-0.685821,0.276876,0.436966,76,79,3,2,2,-0.752732,0.384374,-1.408331,-2.032177,-0.180610,0.023000,0.220000
150 personnes,agents demographiques (v6),-1.057382,-1.986651,-0.196766,0.236073,1.266267,0.211629,-0.524725,0.249535,0.341978,67,79,12,10,10,-0.151377,0.116293,1.103912,0.172082,2.189155,0.022000,0.220000
150 personnes,agents v7,-2.565346,-3.273744,-1.143127,-0.059812,0.941941,0.537713,-0.775941,0.227070,0.309874,69,79,10,8,5,-0.351411,0.381364,-0.404053,-1.112254,1.225435,0.941000,1.000000
150 personnes,agents v8,-6.268202,-7.352230,-2.827820,-0.039749,0.961030,0.407116,-0.685363,0.197457,0.312376,53,79,26,20,9,-0.846917,0.404763,-4.106909,-5.184261,-0.423256,0.027000,0.220000
150 personnes,C2,-2.732885,-3.306750,-1.359768,-0.055660,0.945861,0.199107,-0.519320,0.199453,0.336274,46,79,33,31,10,-0.423437,0.182635,-0.571592,-1.416052,1.133499,0.889000,1.000000
150 personnes,C3,-1.887043,-2.854421,-0.961951,0.031967,1.032484,0.402720,-0.596886,0.280639,0.360532,71,79,8,8,7,-0.281056,0.217795,0.274250,-0.492347,1.250367,0.377000,1.000000
150 personnes,B0 mode,0.042346,-0.463656,0.548401,0.051695,1.053054,0.033939,0.000000,0.025628,0.026787,6,79,73,73,73,0.001486,0.010640,2.203639,1.407623,3.209454,0.000500,0.006997
150 personnes,B0 tirage,-0.002727,-0.422290,0.352323,0.021802,1.022041,0.000012,0.054985,0.483702,0.487702,78,79,1,0,1,0.040519,0.019347,2.158567,1.391968,3.081066,0.000500,0.006997
150 personnes,B1 argmax,-3.733946,-4.196669,-2.541554,0.017493,1.017647,0.582307,-0.716590,0.233779,0.321381,60,79,19,14,8,-0.643669,0.434841,-1.572653,-2.154712,-0.050296,0.037000,0.259000
150 personnes,B2 argmax,-3.496835,-3.989513,-2.120295,-0.033747,0.966816,0.432225,-0.704457,0.208825,0.300284,63,79,16,15,6,-0.486690,0.241432,-1.335541,-1.671748,0.114989,0.077000,0.385000
150 personnes,B3 foret,-1.307272,-2.072345,0.588935,0.233480,1.262988,0.042614,-0.136767,0.143596,0.206075,34,79,45,34,22,-0.385068,0.194491,0.854021,-0.036680,3.047740,0.062000,0.372000
150 personnes,humains vague 2,-2.000200,-3.015315,-1.414026,-0.016400,0.983734,0.464097,-0.724025,0.418934,0.491039,79,79,0,0,0,-0.619537,0.489472,0.161094,-0.580893,0.747774,0.844000,1.000000
