perimetre,condition,partition,tercile,fausses_raretes,valeur_personne,temoin_personne,lift_personne,valeur_groupe,temoin_groupe,lift_groupe,rapport_groupe_sur_personne
1052,agents v8,D_logit regression,T3 deductible,2500,0.040954,0.036052,0.135982,0.182754,0.091156,1.004848,7.389588
1052,agents v8,D_logit regression,ensemble,5467,0.039725,0.036087,0.100792,0.149629,0.085857,0.742779,7.369400
150,C2,D_seg segment,T1 non deductible,289,0.035537,0.033051,0.075223,0.094835,0.088443,0.072275,0.960813
150,C2,D_seg segment,T2 intermediaire,121,0.027697,0.032747,-0.154209,0.144143,0.133444,0.080182,
150,C2,D_seg segment,T3 deductible,282,0.036012,0.033008,0.091017,0.144345,0.094846,0.521887,5.733934
150,C2,D_seg segment,ensemble,808,0.035348,0.032981,0.071751,0.130313,0.098795,0.319024,4.446269
150,C2,D_logit regression,T1 non deductible,286,0.033618,0.033052,0.017131,0.094497,0.088275,0.070485,4.114530
150,C2,D_logit regression,T2 intermediaire,240,0.034234,0.032863,0.041726,0.140889,0.116278,0.211661,5.072622
150,C2,D_logit regression,T3 deductible,282,0.038049,0.033010,0.152657,0.157637,0.094586,0.666596,4.366632
150,C2,D_logit regression,ensemble,808,0.035348,0.032981,0.071751,0.130313,0.098795,0.319024,4.446269
150,C3,D_seg segment,T1 non deductible,413,0.038954,0.033027,0.179433,0.084070,0.091945,-0.085648,-0.477325
150,C3,D_seg segment,T2 intermediaire,248,0.028880,0.032994,-0.124695,0.098460,0.096909,0.016013,
150,C3,D_seg segment,T3 deductible,249,0.036199,0.033074,0.094495,0.106751,0.085114,0.254213,2.690219
150,C3,D_seg segment,ensemble,1004,0.036503,0.033025,0.105291,0.096481,0.092244,0.045933,0.436247
150,C3,D_logit regression,T1 non deductible,471,0.036452,0.033038,0.103347,0.083443,0.090418,-0.077140,-0.746424
150,C3,D_logit regression,T2 intermediaire,332,0.035575,0.032997,0.078112,0.099801,0.096406,0.035221,0.450909
150,C3,D_logit regression,T3 deductible,201,0.038154,0.033043,0.154676,0.121551,0.089652,0.355817,2.300405
150,C3,D_logit regression,ensemble,1004,0.036503,0.033025,0.105291,0.096481,0.092244,0.045933,0.436247
1052,B0 tirage,D_seg segment,T1 non deductible,2121,0.035125,0.035915,-0.021992,0.096881,0.111420,-0.130486,
1052,B0 tirage,D_seg segment,T2 intermediaire,1486,0.033261,0.035954,-0.074912,0.100118,0.105573,-0.051673,
1052,B0 tirage,D_seg segment,T3 deductible,953,0.036591,0.035936,0.018234,0.131832,0.108256,0.217775,11.943151
1052,B0 tirage,D_seg segment,ensemble,5043,0.035189,0.035931,-0.020636,0.106958,0.109060,-0.019270,
1052,B0 tirage,D_logit regression,T1 non deductible,2618,0.034852,0.035908,-0.029389,0.098481,0.112486,-0.124512,
1052,B0 tirage,D_logit regression,T2 intermediaire,1551,0.035452,0.035956,-0.014016,0.105063,0.105280,-0.002069,
1052,B0 tirage,D_logit regression,T3 deductible,874,0.035732,0.035955,-0.006197,0.135716,0.105502,0.286380,
1052,B0 tirage,D_logit regression,ensemble,5043,0.035189,0.035931,-0.020636,0.106958,0.109060,-0.019270,
1052,B1 argmax,D_seg segment,T1 non deductible,139,0.041999,0.035731,0.175424,0.164472,0.138646,0.186268,1.061820
1052,B1 argmax,D_seg segment,T2 intermediaire,177,0.035196,0.035688,-0.013766,0.160226,0.145056,0.104580,
1052,B1 argmax,D_seg segment,T3 deductible,562,0.038701,0.035834,0.080018,0.195488,0.123415,0.583988,7.298196
1052,B1 argmax,D_seg segment,ensemble,1021,0.039224,0.035811,0.095299,0.190610,0.126799,0.503242,5.280655
1052,B1 argmax,D_logit regression,T3 deductible,1021,0.039224,0.035811,0.095299,0.190610,0.126799,0.503242,5.280655
1052,B1 argmax,D_logit regression,ensemble,1021,0.039224,0.035811,0.095299,0.190610,0.126799,0.503242,5.280655
1052,B2 argmax,D_seg segment,T2 intermediaire,27,0.044044,0.035662,0.235055,0.148723,0.148887,-0.001106,-0.004705
1052,B2 argmax,D_seg segment,T3 deductible,84,0.056306,0.035767,0.574251,0.241791,0.133284,0.814111,1.417692
1052,B2 argmax,D_seg segment,ensemble,152,0.055343,0.035720,0.549378,0.226383,0.140303,0.613533,1.116778
1052,B2 argmax,D_logit regression,T2 intermediaire,40,0.054392,0.035754,0.521269,0.194048,0.135171,0.435573,0.835601
1052,B2 argmax,D_logit regression,T3 deductible,97,0.057398,0.035725,0.606661,0.253938,0.139538,0.819848,1.351412
1052,B2 argmax,D_logit regression,ensemble,152,0.055343,0.035720,0.549378,0.226383,0.140303,0.613533,1.116778
1052,B3 foret,D_seg segment,T3 deductible,52,0.038202,0.035642,0.071821,0.248331,0.151817,0.635727,8.851499
1052,B3 foret,D_seg segment,ensemble,95,0.039118,0.035589,0.099164,0.289127,0.159646,0.811055,8.178912
1052,B3 foret,D_logit regression,T3 deductible,92,0.039219,0.035613,0.101251,0.289537,0.156121,0.854569,8.440095
1052,B3 foret,D_logit regression,ensemble,95,0.039118,0.035589,0.099164,0.289127,0.159646,0.811055,8.178912
1052,humains vague 2,D_seg segment,T1 non deductible,888,0.045159,0.035996,0.254547,0.091364,0.099340,-0.080288,-0.315414
1052,humains vague 2,D_seg segment,T2 intermediaire,669,0.038480,0.035970,0.069791,0.105109,0.103274,0.017766,0.254565
1052,humains vague 2,D_seg segment,T3 deductible,621,0.046405,0.036012,0.288599,0.139895,0.097021,0.441901,1.531196
1052,humains vague 2,D_seg segment,ensemble,2442,0.044669,0.035999,0.240825,0.112288,0.098920,0.135148,0.561188
1052,humains vague 2,D_logit regression,T1 non deductible,969,0.044243,0.036002,0.228899,0.091196,0.098470,-0.073872,-0.322728
1052,humains vague 2,D_logit regression,T2 intermediaire,785,0.045016,0.036022,0.249697,0.104877,0.095577,0.097305,0.389694
1052,humains vague 2,D_logit regression,T3 deductible,688,0.044872,0.035969,0.247500,0.150453,0.103368,0.455514,1.840460
1052,humains vague 2,D_logit regression,ensemble,2442,0.044669,0.035999,0.240825,0.112288,0.098920,0.135148,0.561188
150,humains vague 2,D_seg segment,T1 non deductible,133,0.044249,0.032957,0.342616,0.096366,0.102306,-0.058060,-0.169460
150,humains vague 2,D_seg segment,T2 intermediaire,82,0.034031,0.032874,0.035191,0.113974,0.114634,-0.005757,-0.163581
150,humains vague 2,D_seg segment,T3 deductible,129,0.040331,0.032915,0.225295,0.137961,0.108527,0.271212,1.203808
150,humains vague 2,D_seg segment,ensemble,389,0.042243,0.032936,0.282579,0.117358,0.105501,0.112382,0.397702
150,humains vague 2,D_logit regression,T1 non deductible,121,0.042383,0.032994,0.284568,0.095383,0.096860,-0.015244,-0.053568
150,humains vague 2,D_logit regression,T2 intermediaire,144,0.040447,0.032832,0.231933,0.125824,0.120880,0.040901,0.176348
150,humains vague 2,D_logit regression,T3 deductible,124,0.044191,0.032999,0.339153,0.128969,0.096075,0.342379,1.009512
150,humains vague 2,D_logit regression,ensemble,389,0.042243,0.032936,0.282579,0.117358,0.105501,0.112382,0.397702
