camp,var_pc1,var_pc2,n_axes_50,n_axes_80,meilleur_k,silhouette
centre,0.087360,0.067875,14.000000,36.000000,2.000000,0.048894
droite,0.101385,0.071146,13.270000,35.970000,2.000000,0.059224
gauche,0.113465,0.080421,13.360000,35.780000,2.000000,0.078494
