A,B,C,C5,patrons,q5,conc_nul,polarisation,se_nul_A,se_nul_B,se_nul_C,se_nul_polarisation,marginale1,marginale2,marginale3,source,taux,tirage,taille,taux_realise
-0.03704761601726713,0.033749000447061646,0.04521666666666666,0.12377944444444446,253.9168333333333,0.08024679080097016,0.04221966666666667,0.4511735763298975,0.0012824579398779822,0.00012054176270223573,0.0,0.0,33.51555555555555,52.67444444444445,38.85333333333333,tous,0.0,-1,300,0.0
-0.049712051524512156,0.03724073182241189,0.03582433333333334,0.11311600000000001,395.1875,0.07324951983099498,0.03174566666666667,0.4505124928414748,0.0012019547747392657,7.875276616957222e-05,0.0,0.0,33.66,52.781333333333336,38.64333333333333,tous,0.0,-1,500,0.0
-0.06038207690877984,0.040111112436874666,0.030492222222222226,0.10709066666666667,553.3281666666666,0.0694871436427864,0.025930503703703707,0.4499781195827245,0.0011564007226502729,5.793221230841184e-05,0.0,0.0,33.66888888888889,52.733777777777775,38.64222222222222,tous,0.0,-1,750,0.0
-0.06844238663096402,0.04218978089686372,0.02723384030418251,0.10361216730038023,725.65,0.06697316667282195,0.022354245880861847,0.45045309673791467,0.0005722269660996387,2.2291344883479892e-05,0.0,0.0,33.65019011406844,52.75665399239544,38.68821292775665,tous,0.0,-1,1052,0.0
-0.0462877455755288,0.0371283388645988,0.0471666666666666,0.1246666666666666,251.3,0.083480933878868,0.0433888888888888,0.4787280009165405,,,,,35.333333333333336,52.33333333333333,36.333333333333336,agents v8,0.05,0,300,0.0366666666666666
-0.0700657239593705,0.0433769251760692,0.0380152304609218,0.1150374749498998,389.1,0.0794173270612891,0.0325010955243821,0.4852485085967095,,,,,34.8,50.4,36.4,agents v8,0.05,0,500,0.05
-0.0772041122659946,0.044449910501531,0.0348229787072008,0.1108404551285255,543.05,0.0738550010184849,0.0266462493147924,0.4895982634060213,,,,,33.2,52.26666666666666,36.53333333333333,agents v8,0.05,0,750,0.0546666666666666
-0.0790546047269763,0.0458790517379085,0.0306763130515887,0.1074548561793613,711.9,0.0707465650369648,0.0230872184059115,0.4854092665700158,,,,,33.365019011406844,52.946768060836504,38.21292775665399,agents v8,0.05,0,1052,0.0503802281368821
-0.0500050294221194,0.038100178473453,0.0465284280936454,0.1236856187290969,251.85,0.0847187880051588,0.0419465254552211,0.5037041767528381,,,,,35.0,52.666666666666664,42.0,agents v8,0.05,1,300,0.0533333333333333
-0.0662619114631496,0.0430179707430575,0.0408314629258517,0.1165096192384769,387.05,0.0790883726086015,0.0321991182364729,0.4919825016985277,,,,,36.2,53.6,38.2,agents v8,0.05,1,500,0.06
