configuration,ancrage,ecart_modele,ecart_humain,amplification,ic_bas,ic_haut,p_brute,materiel
demographics_only__gpt41_mini,ideologie,18.42782055983376,7.522349695286991,2.4497426078688442,1.2889643966544402,4.063876614313169,0.03515625,oui
demographics_only__gpt41_mini,parti,17.92065131837859,6.684824216187853,2.680796194308633,1.3579328318719255,4.5826848790858525,0.03515625,oui
json_persona__gpt41,ideologie,25.508044772731246,7.522349695286991,3.3909676904163213,1.9557779838132792,5.530784695525025,0.0078125,oui
json_persona__gpt41,parti,25.810843718570993,6.684824216187853,3.8611103125296706,2.2123762920744996,6.400055529753324,0.0078125,oui
json_persona__gpt41_mini,ideologie,19.207427789979697,7.522349695286991,2.5533813991675776,1.5318216415959367,3.986916812823936,0.017578125,oui
json_persona__gpt41_mini,parti,19.366002101392173,6.684824216187853,2.8970099250322545,1.6610827148904328,4.687517144459778,0.009765625,oui
json_persona_predicted_output__gpt41,ideologie,14.820154867256639,7.522349695286991,1.9701496829563736,1.278248726181035,3.021586710592496,0.021484375,oui
json_persona_predicted_output__gpt41,parti,15.451478169222156,6.684824216187853,2.311426249893771,1.4878166536586435,3.634573745907773,0.009765625,oui
llm_finetuning_500_training_samples__gpt41_mini,ideologie,8.510907330409523,7.522349695286991,1.131416070133232,0.8457934633589304,1.5974612195239943,0.45703125,oui
llm_finetuning_500_training_samples__gpt41_mini,parti,8.397323249628794,6.684824216187853,1.2561771226974052,0.9225286753791316,1.8006992837527795,0.193359375,oui
persona_summary__gpt41_mini,ideologie,37.05351074790019,7.522349695286991,4.925789447294039,2.9829426386552247,7.777682158059707,0.0078125,oui
persona_summary__gpt41_mini,parti,37.163886702523065,6.684824216187853,5.5594411312308925,3.2333636171410847,9.142360183254395,0.0078125,oui
persona_summary__json_persona__gpt41_mini,ideologie,30.386803918487082,7.522349695286991,4.039536202036108,2.1080290421946675,6.706855489796401,0.013671875,oui
persona_summary__json_persona__gpt41_mini,parti,29.63307293716385,6.684824216187853,4.43288738474303,2.253333719400226,7.587052776606105,0.013671875,oui
text_persona__gemini_flash25,ideologie,15.234070232420066,7.522349695286991,2.0251744268103797,1.603475366668431,2.816331227919223,0.001953125,oui
text_persona__gemini_flash25,parti,14.900623770169222,6.684824216187853,2.229022527486382,1.7505593895420317,3.1259054472256382,0.001953125,oui
text_persona__gpt41_mini,ideologie,36.29767754553233,7.522349695286991,4.825311108346115,2.769302148978166,7.677823389064156,0.005859375,oui
text_persona__gpt41_mini,parti,36.07429992566357,6.684824216187853,5.396447050665397,3.0613008225204155,8.715494250090018,0.005859375,oui
text_persona_default_temperature__gpt41_mini,ideologie,35.18712133572633,7.522349695286991,4.677676891008173,2.711097137884639,7.375131810230445,0.005859375,oui
text_persona_default_temperature__gpt41_mini,parti,35.08611111111111,6.684824216187853,5.2486213513508995,3.0200846374318067,8.416831693368284,0.005859375,oui
text_persona_reasoning__gpt41_mini,ideologie,22.728919884340687,7.522349695286991,3.021518648432568,1.9200302994688225,4.616128692893374,0.0078125,oui
text_persona_reasoning__gpt41_mini,parti,22.577148805610342,6.684824216187853,3.3773735965918017,2.0769196531652847,5.226381676396432,0.0078125,oui
text_persona_repeating_questions__gpt41_mini,ideologie,26.23036827492273,7.522349695286991,3.486991344121764,2.2883799701247627,5.258794549005472,0.005859375,oui
text_persona_repeating_questions__gpt41_mini,parti,26.360966592330225,6.684824216187853,3.94340460419213,2.5577571196613595,6.045112539217996,0.00390625,oui
