comparaison,ecart_apparie_pts,ic_bas,ic_haut,t,conclusion
gss_v6_vs_gss_v8,1.8454,1.4053,2.2854,8.2193,distinguables
gss_v7_vs_gss_v8,-0.0722,-0.5178,0.3733,-0.3178,indistinguables
gss_v6_vs_gss_v7,1.9176,1.5289,2.3064,9.6680,distinguables
accord_agents demographiques (v6)_vs_agents demographiques (v8),0.6081,,,,
accord_agents persona (v7)_vs_agents demographiques (v8),0.6288,,,,
accord_agents demographiques (v6)_vs_humains vague 1,0.6089,,,,
accord_agents demographiques (v8)_vs_humains vague 1,0.5706,,,,
modalites_par_item_humains vague 1,3.6158,,,,
modalites_par_item_agents demographiques (v6),3.1469,,,,
modalites_par_item_agents persona (v7),3.3616,,,,
modalites_par_item_agents demographiques (v8),3.0734,,,,
