item,parti_decrit,groupe,parti_repondant,position,n_repondants,perception_moyenne,perception_moyenne_ponderee,perception_ic_bas,perception_ic_haut,realite_ahler_sood,exageration_points,exageration_ratio,erreur_relative_moyenne,erreur_relative_ic_bas,erreur_relative_ic_haut
rep_rich,Republican,$250K+ Income,Independant,independant,180,38.855555555555554,38.105695693122456,34.55513888888889,43.08347222222223,2.2,36.65555555555555,17.66161616161616,16.661616161616163,14.837878787878783,18.583585858585856
rep_rich,Republican,$250K+ Income,Republicain,endogroupe,336,30.738095238095237,33.28724814289765,28.208333333333332,33.30706845238095,2.2,28.538095238095238,13.97186147186147,12.97186147186147,11.85163014069264,14.13673566017316
rep_rich,Republican,$250K+ Income,tous,tous,1000,37.88,38.24762803336622,36.050925,39.6912,2.2,35.68,17.21818181818182,16.218181818181815,15.40769318181818,17.055056818181818
rep_old,Republican,Age 65+,Democrate,exogroupe,438,42.842465753424655,44.16430524507254,40.59583333333333,45.2718607305936,21.3,21.542465753424654,2.0113833687053826,1.011383368705383,0.8965474735781507,1.121896906553476
rep_old,Republican,Age 65+,Independant,independant,180,35.38333333333333,34.84458691538029,32.18333333333333,38.511250000000004,21.3,14.083333333333332,1.6611893583724568,0.6611893583724568,0.5135237350026082,0.814834376630151
rep_old,Republican,Age 65+,Republicain,endogroupe,336,38.57440476190476,38.31735187173227,36.39248511904762,40.68816964285714,21.3,17.27440476190476,1.8110049183992845,0.8110049183992846,0.708151687905209,0.9163627598926893
rep_old,Republican,Age 65+,tous,tous,1000,39.342,39.14321872683236,37.858975,40.814125,21.3,18.041999999999998,1.8470422535211266,0.8470422535211267,0.781544600938967,0.9135704225352113
rep_south,Republican,Southern,Democrate,exogroupe,438,43.343607305936075,44.36050658268641,41.0226598173516,45.729480593607306,35.7,7.643607305936072,1.2141066472251,0.2141066472251,0.1478430413261194,0.28640577235460385
rep_south,Republican,Southern,Independant,independant,180,37.544444444444444,37.25490541550578,34.04388888888889,41.172361111111115,35.7,1.8444444444444414,1.0516651104886399,0.051665110488639816,-0.04933084344849059,0.15220199190787412
rep_south,Republican,Southern,Republicain,endogroupe,336,39.99404761904762,39.70084863337875,37.66941964285714,42.14590773809524,35.7,4.294047619047618,1.1202814459116979,0.12028144591169793,0.0590840502867813,0.1812266573295984
rep_south,Republican,Southern,tous,tous,1000,40.4815,40.39410833492351,39.044225000000004,41.97251249999999,35.7,4.781499999999994,1.1339355742296917,0.13393557422969177,0.09305252100840326,0.17588515406162455
