item,parti_decrit,groupe,parti_repondant,position,n_repondants,perception_moyenne,perception_moyenne_ponderee,perception_ic_bas,perception_ic_haut,realite_ahler_sood,exageration_points,exageration_ratio,erreur_relative_moyenne,erreur_relative_ic_bas,erreur_relative_ic_haut
dem_black,Democratic,Black,Democrate,endogroupe,438,38.25570776255708,39.374224452160355,35.80114155251142,40.85633561643835,24.0,14.25570776255708,1.5939878234398783,0.5939878234398781,0.4921946347031963,0.7005374809741248
dem_black,Democratic,Black,Independant,independant,180,42.15555555555556,40.71889238635777,37.88333333333333,46.700694444444444,24.0,18.15555555555556,1.7564814814814815,0.7564814814814814,0.5719849537037037,0.9433159722222221
dem_black,Democratic,Black,Republicain,exogroupe,336,47.401785714285715,46.38953907972913,44.37485119047619,50.41078869047619,24.0,23.401785714285715,1.9750744047619049,0.9750744047619048,0.8504464285714286,1.1016927083333332
dem_black,Democratic,Black,tous,tous,1000,41.805,41.93494192077453,40.063975,43.495524999999994,24.0,17.805,1.741875,0.741875,0.6661937499999999,0.8163427083333333
dem_union,Democratic,Union,Democrate,endogroupe,438,35.694063926940636,36.81815009499077,33.36506849315069,38.297602739726024,10.5,25.194063926940636,3.399434659708632,2.3994346597086325,2.171113285496847,2.6488530115242437
dem_union,Democratic,Union,Independant,independant,180,38.16111111111111,37.12212465280587,33.994305555555556,42.35027777777778,10.5,27.66111111111111,3.6343915343915345,2.6343915343915345,2.2464947089947094,3.0064153439153434
dem_union,Democratic,Union,Republicain,exogroupe,336,44.017857142857146,43.52596069460559,40.972767857142856,46.93214285714286,10.5,33.517857142857146,4.1921768707483,3.192176870748299,2.8990433673469385,3.480768140589569
dem_union,Democratic,Union,tous,tous,1000,38.783,39.331062691324696,36.9775,40.423175,10.5,28.283,3.693619047619048,2.693619047619048,2.521792857142857,2.864478571428571
dem_aa,Democratic,Atheist/Agnostic,Democrate,endogroupe,438,23.87214611872146,24.453238266924064,21.833333333333332,26.06398401826484,8.7,15.17214611872146,2.743924841232352,1.743924841232352,1.5035361885267415,2.001430220962578
dem_aa,Democratic,Atheist/Agnostic,Independant,independant,180,28.538888888888888,26.481274369725377,24.765555555555554,32.396249999999995,8.7,19.83888888888889,3.2803320561941254,2.2803320561941254,1.8307471264367816,2.7152139208173693
dem_aa,Democratic,Atheist/Agnostic,Republicain,exogroupe,336,35.535714285714285,35.65705895183001,32.341592261904765,38.70290178571428,8.7,26.835714285714285,4.08456486042693,3.0845648604269296,2.7407549945265464,3.4622417214012047
dem_aa,Democratic,Atheist/Agnostic,tous,tous,1000,28.528,28.69112456476653,26.933975,30.165074999999998,8.7,19.828,3.279080459770115,2.2790804597701153,2.0958505747126437,2.464617816091954
dem_lgb,Democratic,LGB,Democrate,endogroupe,438,29.356164383561644,29.032354698367264,26.937842465753427,31.89052511415525,6.3,23.056164383561644,4.659708632311372,3.6597086323113728,3.2414655359860842,4.064144379212872
dem_lgb,Democratic,LGB,Independant,independant,180,30.283333333333335,27.254800511255095,25.894305555555558,34.80069444444444,6.3,23.983333333333334,4.806878306878307,3.8068783068783065,3.14102733686067,4.513337742504409
dem_lgb,Democratic,LGB,Republicain,exogroupe,336,36.833333333333336,38.243521619743284,33.466517857142854,40.27559523809523,6.3,30.533333333333335,5.846560846560847,4.8465608465608465,4.339651832955405,5.374279572940288
dem_lgb,Democratic,LGB,tous,tous,1000,31.852,31.707186070951963,30.082099999999997,33.72805,6.3,25.552,5.055873015873016,4.055873015873017,3.7850476190476194,4.339857142857143
rep_evang,Republican,Evangelical,Democrate,exogroupe,438,43.93607305936073,43.67895939828693,41.042922374429224,46.730707762557074,34.3,9.636073059360733,1.280935074616931,0.280935074616931,0.2021845920364233,0.35663032336222167
rep_evang,Republican,Evangelical,Independant,independant,180,40.56111111111111,38.593708451770375,36.454861111111114,44.78444444444444,34.3,6.261111111111113,1.1825396825396826,0.18253968253968264,0.05504535147392299,0.3104024943310655
rep_evang,Republican,Evangelical,Republicain,endogroupe,336,45.24702380952381,43.23352962218471,42.74092261904762,48.098437499999996,34.3,10.947023809523813,1.3191552131056505,0.31915521310565054,0.24175690684437054,0.39647759614049705
rep_evang,Republican,Evangelical,tous,tous,1000,43.079,41.55604237551742,41.36665,44.898375,34.3,8.779000000000003,1.2559475218658893,0.2559475218658893,0.20431486880466485,0.30883454810495636
rep_rich,Republican,$250K+ Income,Democrate,exogroupe,438,43.91095890410959,44.06371036410655,40.87648401826485,46.91324200913242,2.2,41.71095890410959,19.95952677459527,18.959526774595265,17.548152760481525,20.322462640099623
