domaine,n_items,gs_gauche,gs_droite,gs_centre,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,ratio_entropie,ratio_centre_gauche,ratio_centre_droite,p_holm
personnalite,275,0.689565,0.680967,0.689735,0.987531,0.978142,0.996746,0.004998,0.987678,1.000248,1.012877,0.009995
cognitif,50,0.415471,0.465464,0.460358,1.120326,1.076786,1.163173,0.000500,1.116049,1.108038,0.989032,0.002999
economique,176,0.331277,0.347172,0.346357,1.047980,1.012965,1.080831,0.005497,1.044244,1.045521,0.997654,0.009995
prix,40,0.484062,0.496724,0.490833,1.026158,1.016100,1.035436,0.000500,1.018816,1.013987,0.988140,0.002999
heuristiques_biais,58,0.566188,0.592742,0.583902,1.046900,1.028055,1.061548,0.000500,1.062873,1.031287,0.985087,0.002999
attitudes,10,0.579225,0.747413,0.724016,1.290369,1.261953,1.318554,0.000500,1.356939,1.249974,0.968695,0.002999
