jeu_de_donnees,condition,quantite,valeur_gauche,valeur_droite,contraste,ic_bas,ic_haut,p,n_unites,unite,p_holm
GSS Stanford,P1 bloc3 vague1,Q1,-0.031698,-0.031394,0.000304,-0.012387,0.015974,0.971029,46,item,0.971029
GSS Stanford,P1 bloc3 vague2,Q1,-0.033153,-0.029224,0.003929,-0.012523,0.022722,0.693307,46,item,0.693307
GSS Stanford,P1 centre moins gauche vague1,Q1,-0.031698,-0.044853,-0.013155,-0.025104,-0.000231,0.032967,46,item,0.032967
GSS Stanford,P0 bloc3 vague1,Q1,-0.072998,-0.083675,-0.010677,-0.035577,0.008604,0.358641,32,item,0.358641
GSS Stanford,P0 bloc3 vague2,Q1,-0.072620,-0.088063,-0.015443,-0.039457,0.002719,0.168831,32,item,0.168831
GSS Stanford,P0 centre moins gauche vague1,Q1,-0.072998,-0.068753,0.004245,-0.006997,0.016415,0.512488,32,item,0.512488
GSS Stanford,P1 bloc3 vague1,Q2,-25.632750,-13.221000,12.411750,11.957494,12.864200,0.000999,4000,tirage,0.002997
GSS Stanford,P1 bloc3 vague1,Q3,0.423346,0.456508,0.033162,0.031024,0.035275,0.000999,200,tirage,0.002997
GSS Stanford,P1 centre moins gauche vague1,Q2,-25.632750,-14.883750,10.749000,10.325988,11.165575,0.000999,4000,tirage,0.002997
GSS Stanford,P1 centre moins gauche vague1,Q3,0.423346,0.510972,0.087626,0.085480,0.089745,0.000999,200,tirage,0.002997
GSS Stanford,P1 bloc3 vague2,Q2,-28.009500,-14.497750,13.511750,13.070500,13.968031,0.000999,4000,tirage,0.002997
GSS Stanford,P1 bloc3 vague2,Q3,0.402149,0.436523,0.034374,0.032471,0.036294,0.000999,200,tirage,0.002997
GSS Stanford,P1 centre moins gauche vague2,Q2,-28.009500,-15.679250,12.330250,11.895988,12.764794,0.000999,4000,tirage,0.001998
GSS Stanford,P1 centre moins gauche vague2,Q3,0.402149,0.493250,0.091101,0.089278,0.093016,0.000999,200,tirage,0.001998
GSS Stanford,P0 bloc3 vague1,Q2,-7.314750,-6.605250,0.709500,0.422244,0.972069,0.000999,4000,tirage,0.002997
GSS Stanford,P0 bloc3 vague1,Q3,0.641211,0.693824,0.052613,0.050707,0.054389,0.000999,200,tirage,0.002997
GSS Stanford,P0 centre moins gauche vague1,Q2,-7.314750,-5.637250,1.677500,1.433656,1.940044,0.000999,4000,tirage,0.002997
GSS Stanford,P0 centre moins gauche vague1,Q3,0.641211,0.646967,0.005756,0.004161,0.007132,0.000999,200,tirage,0.002997
GSS Stanford,P1 appariement demographique,Q1,-0.031511,-0.032545,-0.001034,-0.016340,0.014434,0.883117,46,item,0.883117
GSS Stanford,P1 appariement demographique,Q2,-22.221000,-11.181500,11.039500,10.477450,11.612525,0.000999,2000,tirage,0.002997
GSS Stanford,P1 appariement demographique,Q3,0.436566,0.458326,0.021760,0.021148,0.022358,0.000999,100,tirage,0.002997
GSS Stanford,P1 ancrage partisan,Q1,-0.033137,-0.035693,-0.002557,-0.015816,0.011119,0.725275,46,item,0.725275
GSS Stanford,P1 ancrage partisan,Q2,-29.221500,-16.479500,12.742000,11.954262,13.420187,0.000999,2000,tirage,0.002997
GSS Stanford,P1 ancrage partisan,Q3,0.420021,0.459408,0.039387,0.037327,0.041411,0.000999,100,tirage,0.002997
GSS Stanford,P1 n_egal 166,Q2,-14.097000,-5.057000,9.040000,8.466975,9.656100,0.000999,1000,tirage,0.001998
GSS Stanford,P1 n_egal 166,Q3,0.460759,0.502273,0.041514,0.031293,0.051166,0.000999,50,tirage,0.001998
GSS Stanford,P1 n_egal 249,Q2,-21.226000,-9.306000,11.920000,11.127700,12.694050,0.000999,1000,tirage,0.001998
GSS Stanford,P1 n_egal 249,Q3,0.430430,0.466431,0.036001,0.029462,0.042807,0.000999,50,tirage,0.001998
GSS Stanford,P1 n_egal 332,Q2,-27.754000,-14.221000,13.533000,12.537925,14.448125,0.000999,1000,tirage,0.001998
GSS Stanford,P1 n_egal 332,Q3,0.419706,0.453105,0.033400,0.031463,0.035368,0.000999,50,tirage,0.001998
Twin-2K-500,P1 bloc3 vagues 1-3,Q1,-0.001271,-0.015254,-0.013983,-0.026512,-0.000932,0.095904,10,item,0.095904
Twin-2K-500,P1 bloc3 vagues 1-3,Q2,-75.185500,-19.800000,55.385500,55.062438,55.706537,0.000999,2000,tirage,0.002997
Twin-2K-500,P1 bloc3 vagues 1-3,Q3,0.645086,0.474074,-0.171013,-0.173998,-0.167843,0.000999,100,tirage,0.002997
Twin-2K-500,P0 bloc3 vagues 1-3,Q1,-0.016484,-0.016775,-0.000290,-0.001967,0.001255,0.726274,261,item,0.726274
Twin-2K-500,P0 bloc3 vagues 1-3,Q2,-4.178000,-6.402500,-2.224500,-2.496513,-1.935912,0.000999,2000,tirage,0.002997
Twin-2K-500,P0 bloc3 vagues 1-3,Q3,0.179259,0.192442,0.013183,0.012221,0.014098,0.000999,100,tirage,0.002997
Twin-2K-500,plancher items reposes vagues 1-3,Q1,-0.028657,-0.023715,0.004942,-0.003204,0.013729,0.264735,43,item,0.264735
Twin-2K-500,plancher items reposes vague 4,Q1,-0.033814,-0.027985,0.005829,-0.002249,0.014672,0.218781,43,item,0.218781
panel 2006-2010,P1 bloc3 2006,Q1,-0.038302,-0.042881,-0.004578,-0.018106,0.007834,0.519481,43,item,0.519481
panel 2006-2010,P1 bloc3 2006,Q2,-7.100000,-2.790000,4.310000,3.059750,5.630000,0.000999,100,tirage,0.002997
panel 2006-2010,P1 bloc3 2006,Q3,0.472823,0.540404,0.067581,0.065363,0.069902,0.000999,50,tirage,0.002997
panel 2006-2010,P0 bloc3 2006,Q1,-0.058582,-0.053574,0.005008,-0.005497,0.019381,0.555445,30,item,0.555445
panel 2006-2010,P0 bloc3 2006,Q2,-0.800000,-1.450000,-0.650000,-1.160250,-0.150000,0.009990,100,tirage,0.019980
panel 2006-2010,P0 bloc3 2006,Q3,0.704113,0.721118,0.017005,0.013685,0.020438,0.000999,50,tirage,0.002997
panel 2006-2010,P1 plancher 2010,Q1,-0.050488,-0.057855,-0.007367,-0.025678,0.010996,0.458541,43,item,0.458541
panel 2008-2012,P1 bloc3 2008,Q1,-0.044809,-0.054586,-0.009777,-0.026987,0.009790,0.347652,43,item,0.347652
