perimetre,condition,score,metrique,rho_spearman,ic_items_bas,ic_items_haut,n_items,p_permutation
150,agents entretien (v3),S2 ampleur publiee,ratio_entropie,-0.099464,-0.322686,0.142352,60,
150,agents entretien (v3),S3 composite,distance,0.173058,-0.148667,0.472313,40,
150,agents entretien (v3),S3 composite,ratio_entropie,-0.103547,-0.391325,0.204356,40,
150,agents v7,S1 NORC ordinal,distance,0.144186,-0.056663,0.344261,90,0.173041
150,agents v7,S1 NORC ordinal,ratio_entropie,-0.097529,-0.292960,0.111257,90,
150,agents v7,S2 ampleur publiee,distance,0.220996,-0.051729,0.480967,60,
150,agents v7,S2 ampleur publiee,ratio_entropie,-0.266389,-0.510451,0.010204,60,
150,agents v7,S3 composite,distance,0.369977,0.055877,0.625920,40,
150,agents v7,S3 composite,ratio_entropie,-0.327240,-0.597454,-0.015148,40,
150,agents v8,S1 NORC ordinal,distance,0.097485,-0.124842,0.299821,90,0.358182
150,agents v8,S1 NORC ordinal,ratio_entropie,-0.174152,-0.380088,0.037656,90,
150,agents v8,S2 ampleur publiee,distance,0.157730,-0.113379,0.398595,60,
150,agents v8,S2 ampleur publiee,ratio_entropie,-0.082833,-0.310289,0.159017,60,
150,agents v8,S3 composite,distance,0.049984,-0.321677,0.419590,40,
150,agents v8,S3 composite,ratio_entropie,-0.008771,-0.305701,0.319622,40,
150,humains vague 2,S1 NORC ordinal,distance,-0.199363,-0.385214,-0.011726,90,0.058897
150,humains vague 2,S1 NORC ordinal,ratio_entropie,-0.035298,-0.233145,0.170981,90,
150,humains vague 2,S2 ampleur publiee,distance,-0.129040,-0.370201,0.126251,60,
150,humains vague 2,S2 ampleur publiee,ratio_entropie,0.159039,-0.100642,0.379990,60,
150,humains vague 2,S3 composite,distance,-0.231730,-0.545272,0.104860,40,
150,humains vague 2,S3 composite,ratio_entropie,0.063373,-0.254404,0.363707,40,
1052,B0 mode,S1 NORC ordinal,distance,0.047744,-0.160596,0.240159,90,0.652217
1052,B0 mode,S1 NORC ordinal,ratio_entropie,0.184612,-0.092277,0.420709,90,
1052,B0 mode,S2 ampleur publiee,distance,-0.031318,-0.304741,0.229989,60,
1052,B0 mode,S2 ampleur publiee,ratio_entropie,0.167870,-0.144972,0.392861,60,
1052,B0 mode,S3 composite,distance,0.157621,-0.156323,0.441027,40,
1052,B0 mode,S3 composite,ratio_entropie,0.308253,0.111364,0.493016,40,
1052,B0 tirage,S1 NORC ordinal,distance,-0.148868,-0.341572,0.052599,90,0.161442
1052,B0 tirage,S1 NORC ordinal,ratio_entropie,0.027686,-0.187892,0.236244,90,
1052,B0 tirage,S2 ampleur publiee,distance,-0.263970,-0.505365,-0.001041,60,
1052,B0 tirage,S2 ampleur publiee,ratio_entropie,-0.094631,-0.378031,0.189172,60,
1052,B0 tirage,S3 composite,distance,-0.209981,-0.514512,0.127582,40,
1052,B0 tirage,S3 composite,ratio_entropie,0.011977,-0.356653,0.342608,40,
1052,B1 argmax,S1 NORC ordinal,distance,-0.092566,-0.286475,0.105526,90,0.388031
1052,B1 argmax,S1 NORC ordinal,ratio_entropie,0.116187,-0.098547,0.312815,90,
1052,B1 argmax,S2 ampleur publiee,distance,-0.176539,-0.430582,0.085972,60,
1052,B1 argmax,S2 ampleur publiee,ratio_entropie,0.071985,-0.180029,0.317916,60,
1052,B1 argmax,S3 composite,distance,-0.087901,-0.400870,0.242610,40,
1052,B1 argmax,S3 composite,ratio_entropie,0.205397,-0.131268,0.506059,40,
1052,B2 argmax,S1 NORC ordinal,distance,-0.019848,-0.238030,0.193884,90,0.855157
1052,B2 argmax,S1 NORC ordinal,ratio_entropie,0.095902,-0.115367,0.314489,90,
1052,B2 argmax,S2 ampleur publiee,distance,-0.243595,-0.502153,0.027507,60,
1052,B2 argmax,S2 ampleur publiee,ratio_entropie,0.024783,-0.220802,0.281123,60,
1052,B2 argmax,S3 composite,distance,-0.135948,-0.472294,0.194002,40,
1052,B2 argmax,S3 composite,ratio_entropie,0.161451,-0.184277,0.484593,40,
1052,B3 foret,S1 NORC ordinal,distance,-0.018482,-0.227250,0.190724,90,0.861757
1052,B3 foret,S1 NORC ordinal,ratio_entropie,0.096886,-0.111470,0.302399,90,
1052,B3 foret,S2 ampleur publiee,distance,-0.196534,-0.450335,0.095132,60,
1052,B3 foret,S2 ampleur publiee,ratio_entropie,0.103617,-0.144728,0.353493,60,
1052,B3 foret,S3 composite,distance,0.004055,-0.324481,0.329430,40,
1052,B3 foret,S3 composite,ratio_entropie,0.164311,-0.178544,0.464730,40,
1052,agents composite,S1 NORC ordinal,distance,0.064854,-0.181345,0.284000,90,0.537223
1052,agents composite,S1 NORC ordinal,ratio_entropie,-0.012890,-0.221219,0.202306,90,
1052,agents composite,S2 ampleur publiee,distance,0.176169,-0.076290,0.412892,60,
1052,agents composite,S2 ampleur publiee,ratio_entropie,-0.078307,-0.323423,0.163876,60,
1052,agents composite,S3 composite,distance,0.044229,-0.297337,0.350143,40,
1052,agents composite,S3 composite,ratio_entropie,0.043663,-0.295946,0.383975,40,
1052,agents demographiques (v6),S1 NORC ordinal,distance,0.053758,-0.161946,0.263160,90,0.612669
1052,agents demographiques (v6),S1 NORC ordinal,ratio_entropie,-0.081387,-0.284869,0.136228,90,
1052,agents demographiques (v6),S2 ampleur publiee,distance,0.244558,-0.032350,0.503434,60,
1052,agents demographiques (v6),S2 ampleur publiee,ratio_entropie,-0.248267,-0.495800,0.016387,60,
1052,agents demographiques (v6),S3 composite,distance,0.302249,-0.045374,0.570889,40,
1052,agents demographiques (v6),S3 composite,ratio_entropie,-0.219637,-0.529554,0.125325,40,
1052,agents enquete,S1 NORC ordinal,distance,0.150249,-0.064037,0.346737,90,0.158942
1052,agents enquete,S1 NORC ordinal,ratio_entropie,-0.225348,-0.408434,-0.036313,90,
1052,agents enquete,S2 ampleur publiee,distance,0.194770,-0.069401,0.433395,60,
1052,agents enquete,S2 ampleur publiee,ratio_entropie,-0.139334,-0.388290,0.126949,60,
1052,agents enquete,S3 composite,distance,0.247363,-0.094814,0.558721,40,
1052,agents enquete,S3 composite,ratio_entropie,-0.220863,-0.509462,0.116686,40,
1052,agents entretien (v3),S1 NORC ordinal,distance,0.093465,-0.121015,0.304453,90,0.377281
1052,agents entretien (v3),S1 NORC ordinal,ratio_entropie,-0.212531,-0.404130,-0.001687,90,
1052,agents entretien (v3),S2 ampleur publiee,distance,0.082915,-0.188943,0.350905,60,
1052,agents entretien (v3),S2 ampleur publiee,ratio_entropie,-0.137030,-0.373374,0.103921,60,
1052,agents entretien (v3),S3 composite,distance,0.062996,-0.280074,0.376370,40,
1052,agents entretien (v3),S3 composite,ratio_entropie,-0.165223,-0.461192,0.133326,40,
1052,agents v7,S1 NORC ordinal,distance,0.063671,-0.153639,0.284857,90,0.554122
1052,agents v7,S1 NORC ordinal,ratio_entropie,-0.077790,-0.284339,0.143377,90,
1052,agents v7,S2 ampleur publiee,distance,0.247919,-0.054092,0.514851,60,
1052,agents v7,S2 ampleur publiee,ratio_entropie,-0.341156,-0.577010,-0.074437,60,
1052,agents v7,S3 composite,distance,0.365828,0.035384,0.652250,40,
1052,agents v7,S3 composite,ratio_entropie,-0.306398,-0.585307,0.009497,40,
1052,agents v8,S1 NORC ordinal,distance,-0.030523,-0.249609,0.194754,90,0.781061
1052,agents v8,S1 NORC ordinal,ratio_entropie,-0.181778,-0.362223,0.023802,90,
1052,agents v8,S2 ampleur publiee,distance,0.081931,-0.175276,0.325663,60,
1052,agents v8,S2 ampleur publiee,ratio_entropie,-0.119188,-0.342219,0.128590,60,
1052,agents v8,S3 composite,distance,-0.124483,-0.451538,0.226698,40,
1052,agents v8,S3 composite,ratio_entropie,-0.027537,-0.358834,0.320443,40,
1052,humains vague 2,S1 NORC ordinal,distance,-0.005251,-0.193737,0.191816,90,0.958802
1052,humains vague 2,S1 NORC ordinal,ratio_entropie,-0.012660,-0.235736,0.218889,90,
1052,humains vague 2,S2 ampleur publiee,distance,-0.083872,-0.359976,0.191040,60,
1052,humains vague 2,S2 ampleur publiee,ratio_entropie,0.084516,-0.164488,0.315697,60,
1052,humains vague 2,S3 composite,distance,-0.035649,-0.385984,0.288135,40,
1052,humains vague 2,S3 composite,ratio_entropie,0.004149,-0.321116,0.327389,40,
