perimetre,condition,exactitude,cellules_rares_stables,raretes_osees,rappel_stables,rappel_ic_bas,rappel_ic_haut,precision_stables,exces_segment,exces_ic_bas,exces_ic_haut
105 personnes communes C3F et C3 gpt-oss,C3F gpt-oss-20b,0.543514,87,277,0.252874,0.150920,0.346535,0.079422,0.082465,-0.007452,0.168227
105 personnes communes C3F et C3 gpt-oss,C3 gpt-oss-20b,0.606240,87,190,0.482759,0.362500,0.577473,0.221053,0.349132,0.231516,0.467123
