axe,condition,item,n_cellules,gs_intra_humain,gs_total_humain,part_expliquee_humaine,nmi_humaine,gs_intra_methode,ratio_intra,item_retenu,perimetre
gender,agents enquete,racdif4,149,0.381548,0.393736,0.030954,0.026573,0.444914,1.166075,True,150
gender,agents enquete,wlthwhts,149,0.603344,0.601342,-0.003328,0.002652,0.458534,0.759988,True,150
gender,agents enquete,wlthblks,146,0.601394,0.612975,0.018894,0.037551,0.363159,0.603862,True,150
gender,agents enquete,wlthhsps,150,0.628550,0.627651,-0.001432,0.007373,0.602780,0.959002,True,150
gender,agents enquete,racwork,150,0.745065,0.748725,0.004888,0.007262,0.670581,0.900031,True,150
gender,agents enquete,letin1a,150,0.732026,0.743535,0.015478,0.009828,0.743357,1.015480,True,150
gender,agents enquete,getahead,150,0.551597,0.558300,0.012005,0.006609,0.402753,0.730158,True,150
gender,agents enquete,aged,150,0.507964,0.506219,-0.003447,-0.005430,0.448944,0.883811,True,150
gender,agents enquete,parsol,150,0.786756,0.786130,-0.000796,0.002520,0.667391,0.848282,True,150
gender,agents enquete,kidssol,150,0.782725,0.791409,0.010974,0.010741,0.492906,0.629731,True,150
gender,agents enquete,spanking,150,0.739944,0.745324,0.007218,0.007881,0.672104,0.908317,True,150
gender,agents enquete,divlaw,150,0.602071,0.600716,-0.002256,-0.001567,0.613615,1.019174,True,150
gender,agents enquete,sexeduc,150,0.249767,0.251991,0.008826,0.010837,0.352010,1.409353,True,150
gender,agents enquete,pillok,150,0.699173,0.707204,0.011355,0.008293,0.679787,0.972273,True,150
gender,agents enquete,xmarsex,150,0.623862,0.621387,-0.003982,0.004374,0.473616,0.759169,True,150
gender,agents enquete,homosex,150,0.606922,0.606085,-0.001382,-0.004621,0.516733,0.851398,True,150
gender,agents enquete,marhomo,150,0.680942,0.683400,0.003598,0.001083,0.701244,1.029816,True,150
gender,agents enquete,discaff,150,0.574838,0.577092,0.003905,0.003979,0.590285,1.026871,True,150
gender,agents enquete,abdefect,150,0.295718,0.297181,0.004923,0.005419,0.382853,1.294655,True,150
gender,agents enquete,abnomore,150,0.452505,0.451812,-0.001535,-0.001096,0.395710,0.874486,True,150
gender,agents enquete,abhlth,150,0.168685,0.170380,0.009953,0.016674,0.253099,1.500425,True,150
gender,agents enquete,abpoor,150,0.435638,0.438121,0.005667,0.004576,0.395710,0.908345,True,150
gender,agents enquete,abrape,150,0.192850,0.191857,-0.005178,-0.007195,0.345651,1.792329,True,150
gender,agents enquete,absingle,150,0.465221,0.463893,-0.002863,-0.002091,0.458249,0.985014,True,150
gender,agents enquete,abany,150,0.465221,0.463893,-0.002863,-0.002091,0.460505,0.989864,True,150
gender,agents enquete,letdie1,150,0.332305,0.330112,-0.006644,-0.006361,0.375624,1.130359,True,150
gender,agents enquete,suicide1,150,0.375624,0.374139,-0.003971,-0.003386,0.324305,0.863376,True,150
gender,agents enquete,suicide2,150,0.395428,0.393736,-0.004297,-0.003681,0.038769,0.098044,True,150
gender,agents enquete,suicide3,150,0.383219,0.380850,-0.006220,-0.005420,0.464220,1.211370,True,150
gender,agents enquete,suicide4,150,0.457782,0.456018,-0.003868,-0.002961,0.489614,1.069535,True,150
gender,agents enquete,pornlaw,150,0.494011,0.501924,0.015766,0.022172,0.313945,0.635503,True,150
gender,agents enquete,fair,150,0.653492,0.661208,0.011670,0.010549,0.611776,0.936166,True,150
gender,agents enquete,helpful,150,0.663095,0.666040,0.004421,0.003334,0.653719,0.985859,True,150
gender,agents enquete,trust,150,0.618993,0.619329,0.000542,0.002229,0.668809,1.080480,True,150
gender,agents enquete,tax,150,0.493032,0.489933,-0.006325,-0.006265,0.526764,1.068418,True,150
gender,agents enquete,vote16,150,0.507154,0.527159,0.037949,0.031615,0.477232,0.941001,True,150
gender,agents enquete,pres16,149,0.687708,0.697271,0.013714,0.011093,0.677684,0.985423,True,150
