modele,cle_modele,camp,n_items,vers_le_pole_du_camp,ic_bas,ic_haut,part_items_vers_le_pole,p,p_holm
gpt-oss-20b,oss20,gauche,79,-0.018111814345991562,-0.04470701476793249,0.00852320675105485,0.22784810126582278,0.19754012299385032,0.9877006149692515
gpt-oss-20b,oss20,droite,79,0.021782700421940922,-0.013461497890295371,0.05887579113924048,0.379746835443038,0.2634368281585921,1.0
Qwen3-30B-A3B-Instruct-2507,q30,gauche,79,0.003307548054383499,-0.021360407876230662,0.025800046882325345,0.4936708860759494,0.7896105194740263,1.0
Qwen3-30B-A3B-Instruct-2507,q30,droite,79,0.020253164556962022,-0.0018185654008438896,0.038608649789029524,0.5189873417721519,0.04759762011899405,0.2855857207139643
Qwen3-4B-Instruct-2507,q4,gauche,79,0.0016666666666666707,-0.01481012658227848,0.019327004219409277,0.27848101265822783,0.8452577371131443,1.0
Qwen3-4B-Instruct-2507,q4,droite,79,-0.007447257383966248,-0.024620780590717307,0.01040137130801687,0.3924050632911392,0.40037998100094996,1.0
