condition,etiquette,n,segmentation,gain_hongrois_absolu,plancher_B0_tirage,au_dessus_du_plancher,chute,rapport_publie
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_parti,0.1729818073487897,0.14780919987042418,True,0.15312665440325784,1.1296649040162758
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_ideo,0.1823347621361469,0.14228405699014296,True,0.16498955874866955,1.1051290973745769
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_fin,0.17160522959183672,0.11532061872367988,True,0.16362967542459156,1.048741489870648
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_gra,0.18285908160349074,0.11463130551174755,True,0.17522030027997593,1.0435952986686428
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_parti,0.1896553447059095,0.14780919987042418,True,0.16984241953584156,1.1166547510581528
B0 mode,B0 mode,2058,S_ideo,0.004486673666065144,0.14228405699014296,False,-0.00026510799898182835,-16.923946781299044
B0 mode,B0 mode,2058,S_fin,0.004436740767735592,0.11532061872367988,False,-0.00026847465176538243,-16.525734323748445
B0 mode,B0 mode,2058,S_gra,0.004368049830687504,0.11463130551174755,False,-0.0002506782474893665,-17.424925674385815
B0 mode,B0 mode,2058,S_parti,0.004465150515988614,0.14780919987042418,False,-0.00026927726873060553,-16.581980859497307
B0 tirage,B0 tirage,2058,S_ideo,0.14228405699014296,0.14228405699014296,False,-0.00043136251099085143,-329.84798948641276
B0 tirage,B0 tirage,2058,S_fin,0.11532061872367988,0.11532061872367988,False,-0.00041096302466570034,-280.610691965507
B0 tirage,B0 tirage,2058,S_gra,0.11463130551174755,0.11463130551174755,False,-0.00028272652598460013,-405.44941834708294
B0 tirage,B0 tirage,2058,S_parti,0.14780919987042418,0.14780919987042418,False,-0.0002208454810495586,-669.2878621195568
B1 argmax,B1 argmax,2058,S_ideo,0.14398633092692859,0.14228405699014296,True,0.019692055393585983,7.311899547765198
B1 argmax,B1 argmax,2058,S_fin,0.11981210519922247,0.11532061872367988,True,0.01624761817992504,7.374133480515804
B1 argmax,B1 argmax,2058,S_gra,0.12265420952352374,0.11463130551174755,True,0.023989440163820597,5.112841678919348
B1 argmax,B1 argmax,2058,S_parti,0.1543854238974502,0.14780919987042418,True,0.02675168332639183,5.77105455435552
B2 argmax,B2 argmax,2058,S_ideo,0.13091863199361387,0.14228405699014296,False,0.028235143632282966,4.636726262087316
B2 argmax,B2 argmax,2058,S_fin,0.10885228087833776,0.11532061872367988,False,0.027419197440881282,3.96992950333557
B2 argmax,B2 argmax,2058,S_gra,0.10775274004229773,0.11463130551174755,False,0.028171935015502858,3.824825663661442
B2 argmax,B2 argmax,2058,S_parti,0.13572710155490775,0.14780919987042418,False,0.029711378939330957,4.5681858735690195
PMM k=10,PMM k=10,2058,S_ideo,0.15610324546485266,0.14228405699014296,True,0.027305637986487108,5.716886949944342
PMM k=10,PMM k=10,2058,S_fin,0.12749398109583981,0.11532061872367988,True,0.025656783631820057,4.969211376040106
PMM k=10,PMM k=10,2058,S_gra,0.12843595968915478,0.11463130551174755,True,0.030537707089638544,4.205815430482439
PMM k=10,PMM k=10,2058,S_parti,0.16245152916608813,0.14780919987042418,True,0.03062827265259843,5.303972934050074
