mois_de_participation,menages,part
1,1662,0.15144887916894478
2,913,0.08319664661928194
3,688,0.06269363951157281
4,530,0.04829597229815929
5,485,0.04419537087661746
6,360,0.03280481137233461
7,395,0.03599416803353381
8,337,0.030708948423546566
9,408,0.037178786221979225
10,565,0.051485328959358485
11,829,0.07554219063240386
12,3119,0.2842172407508657
13,614,0.05595042828503736
14,69,0.0062875888463641335
