source,taux,tirage,n_remplacees,polarisation,A,B,C,C_exces,C5,C5_exces,patrons,patrons_nul,q5,q5_nul,q4,conc_nul,n_lignes_patrons,n_paires,patrons_nul_et,q5_nul_et,conc_nul_et,replis_segment
tous,0.0,-1,0,0.45045309673791467,-0.06856176129303881,0.042216062158601894,0.02723384030418251,0.004887832699619777,0.10361216730038023,0.008841254752851718,725.65,779.064,0.06697316667282195,0.024757104514220057,0.09255847543739329,0.022346007604562734,1052.0,11026,,,,
agents v8,0.05,0,53,0.48638299112970795,-0.08245208995947628,0.046122436207643794,0.030538225511240403,0.007535961328711437,0.1082531076255286,0.010703756968738806,710.4,774.2375,0.0709382326080323,0.0248157964003885,0.1026620293198771,0.023002264182528966,1051.05,11026,3.1419361579307807,0.00018406100645592267,0.0005116345430198929,0.0
agents v8,0.05,1,53,0.4827534158287682,-0.08052297560439137,0.045783975498455344,0.031183391046342667,0.00836758288576218,0.1079669733333816,0.01130312476258355,710.65,772.885,0.07060796717751647,0.024823991679061123,0.10131146963146671,0.022815808160580486,1050.3,11026,3.7281018749148394,0.00019817932472894365,0.0006263213362963175,0.0
agents v8,0.05,2,53,0.48819919369780895,-0.08314327785491349,0.045928351957311625,0.03162326484715399,0.008600574211568995,0.10884030418250949,0.012050855513307979,709.05,773.34875,0.07071327884580669,0.024784926888495068,0.10265700590419584,0.023022690635584996,1051.4,11026,3.5430590777187407,0.00015591007111789108,0.0005586143918930898,0.0
agents v8,0.05,3,53,0.48665369593230784,-0.08190810357611922,0.046666666150777525,0.031164738593658363,0.008211100425160624,0.10787842829389356,0.010727219097871665,710.4,773.7787500000001,0.0714406177668872,0.02477395161610968,0.10306912983117697,0.02295363816849774,1050.8,11026,3.735208220262683,0.00019621404165768972,0.0006310526224213705,0.0
agents v8,0.05,4,53,0.48872802996657044,-0.08126252311339899,0.04574788604550388,0.030817746795553453,0.007854890615228535,0.10743127132226052,0.011025461673293213,713.0,776.0649999999999,0.07052547080556172,0.02477758476005784,0.10285289144054198,0.02296285618032492,1051.25,11026,3.448953761835917,0.0001778339155660007,0.000705607264256001,0.0
agents v8,0.05,5,53,0.4860884921008971,-0.0792843827922628,0.04519773463579882,0.03152995328074466,0.008276255255894684,0.10800984396537064,0.010612016710502006,713.1,774.50625,0.06999504607446373,0.024797311438664916,0.1013702871135471,0.02325369802484998,1051.35,11026,3.341276193696665,0.00014571788196629369,0.0005260130455547895,0.0
agents v8,0.05,6,53,0.4846150283812845,-0.08076169711007353,0.045770940262473976,0.031151722586267992,0.008217163395767512,0.10775922261253992,0.010365582932061787,710.4,772.81375,0.07055757725782123,0.024786636995347257,0.10188045784171389,0.02293455919050048,1051.3,11026,2.7779578253614914,0.00017689576560086143,0.0004725068233492815,0.0
agents v8,0.05,7,53,0.4795976258213124,-0.08003942317667823,0.045762989421889305,0.030323813654994407,0.0072908444395150575,0.10705550745040511,0.00981878474925893,709.4,771.1200000000001,0.0705164393349155,0.024753449913026193,0.1011347561302524,0.02303296921547935,1050.25,11026,3.160651507002616,0.00018340778406991816,0.0006419481892379146,0.0
agents v8,0.05,8,53,0.4846369229680979,-0.08288411441541355,0.04616754376779855,0.030667655955813528,0.007854672991484617,0.10805624192783987,0.011447016104524754,711.15,775.42,0.07096011389484604,0.024792570127047487,0.10219204948940215,0.02281298296432891,1051.55,11026,3.7798182021131153,0.0001737664971066458,0.0007206884585518465,0.0
