jeu,attaque,n,n_pool,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,strategie
Twin,naif (Hamming),2058,2058,0.20694849368318755,0.19071853741496597,0.2245651117589893,0.42728377065111756,0.4065354713313897,0.44805879494655,0.14922873217036364,0.00928862973760933,0.030408163265306123,
Twin,A-MI (poids information),2058,2058,0.20845481049562684,0.18997813411078718,0.22691933916423712,0.4358600583090379,0.413022351797862,0.45724003887269193,0.1521806626301777,0.011661807580174927,0.033119533527696796,
Twin,"A-LLR (vraisemblance, hors pli)",2058,2058,0.23226433430515064,0.2152575315840622,0.250242954324587,0.46598639455782315,0.44508017492711366,0.4873663751214772,0.1769042755238983,0.010112730806608359,0.042759961127308066,
Park GSS,naif (Hamming),1052,1052,0.6551330798479088,0.6266611216730038,0.6827958650190113,0.9014733840304182,0.8832200570342206,0.9192015209125475,0.5529016792204601,0.08473764258555133,0.20391001267427122,
Park GSS,A-MI (poids information),1052,1052,0.9325095057034221,0.9173003802281369,0.9467680608365019,0.9914448669201521,0.9857414448669202,0.9961977186311787,0.889795735806503,0.48069581749049434,0.646958174904943,
Park GSS,"A-LLR (vraisemblance, hors pli)",1052,1052,0.9039923954372624,0.8859315589353612,0.9220532319391636,0.9781368821292775,0.9686311787072244,0.9866920152091255,0.8479272687186457,0.44372243346007606,0.6017110266159695,
Twin,D4 / naif (Hamming),2058,2058,0.001239067055393586,0.00012147716229348882,0.0027210884353741495,0.01129737609329446,0.007410106899902819,0.01603680758017492,0.0005940457538006178,0.0,0.0,
Twin,D4 / A-MI,2058,2058,0.00048590864917395527,0.0,0.0014577259475218659,0.013605442176870748,0.008746355685131196,0.018950437317784258,3.2110581286519884e-05,0.0,0.0,
Twin,D4 / A-LLR (recalibre sur D4),2058,2058,0.0024295432458697765,0.00048590864917395527,0.004859086491739553,0.011175898931000973,0.006802721088435374,0.016034985422740525,0.0013054367936262384,0.0,0.0,
Twin,D4 / S1 : 20 items intacts,2058,2058,0.0029154518950437317,0.0009718172983479105,0.005344995140913508,0.012147716229348883,0.007774538386783284,0.017006802721088437,0.001391970088049103,0.0,0.0002559118885649499,S1 items non touches
Twin,D4 / S3 : invariants de segment,2058,2058,0.0005344995140913509,0.00031584062196307096,0.0007774538386783285,0.0052478134110787176,0.004591836734693879,0.005928692905733719,0.0,0.0,0.0,S3 invariants seuls
Twin,D4 / S1+S3 combinees,2058,2058,0.0029154518950437317,0.0009718172983479105,0.005344995140913508,0.012147716229348883,0.007774538386783284,0.017006802721088437,0.0013891368014649981,0.0,0.0003838678328474252,S1+S3 combinees
