perimetre,methode,cellules_rares_stables,raretes_osees,exactitude,diversite_conservee,ratio_intra,ratio_inter,rappel_stables,rappel_ic_bas,rappel_ic_haut,precision_stables,precision_ic_bas,precision_ic_haut,exces_segment,exces_ic_bas,exces_ic_haut
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,C3F gpt-oss-20b,31,151,0.547989,0.433984,0.445602,0.393321,0.161290,0.047565,0.304431,0.033113,0.007143,0.061455,0.041216,-0.090945,0.217635
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,C3F Qwen3-4B,31,110,0.557184,0.589760,0.640714,0.303760,0.258065,0.107143,0.464345,0.072727,0.027273,0.125000,0.124549,-0.049366,0.373611
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,E1 famille retiree (argmax),31,16,0.691667,0.802749,0.753654,1.614088,0.096774,0.000000,0.181818,0.187500,0.000000,0.333333,-0.042117,-0.146209,0.064577
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,E2 famille retiree (tirage),31,52,0.621552,0.994562,1.051509,0.523058,0.225806,0.100000,0.368470,0.134615,0.052632,0.216685,0.041216,-0.094625,0.194025
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,PMM k=10 famille retiree,31,44,0.655460,0.980275,0.971641,1.338112,0.129032,0.000000,0.229167,0.090909,0.000000,0.189189,-0.000451,-0.145261,0.106434
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,"IM m=10 mode, famille retiree",31,26,0.668103,0.854373,0.845732,1.161692,0.096774,0.000000,0.222222,0.115385,0.000000,0.250000,-0.083784,-0.170306,0.054805
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,B2 famille retiree (argmax),31,5,0.682184,0.617042,0.531299,1.842541,0.032258,0.000000,0.105263,0.200000,0.000000,0.500000,-0.125451,-0.176595,-0.063064
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,B2 famille retiree (tirage),31,51,0.600862,0.936985,0.965859,0.633976,0.129032,0.034483,0.236873,0.078431,0.017857,0.155172,-0.000451,-0.120757,0.141812
60 personnes communes C3F gpt-oss et C3F Qwen3-4B,humains vague 2,31,31,0.777299,0.977101,0.991983,0.970508,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.874549,0.823405,0.936936
