perimetre,seuil,partition,tercile,condition,cellules_minoritaires,raretes_osees,rappel,precision,f1,plancher_item,exces_item,plancher_segment,exces_segment,plancher_humains vague 2,exces_humains vague 2,rappel_ic_bas,rappel_ic_haut,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents enquete,1956,2032,0.168200,0.161909,0.164995,0.038907,0.129294,0.051547,0.110569,0.505112,-0.336912,0.149388,0.186640,0.091676,0.129305,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,agents enquete,2112,2138,0.244318,0.241347,0.242824,0.069160,0.175158,0.103552,0.132878,0.558239,-0.313920,0.221959,0.266765,0.110108,0.155547,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,agents enquete,1641,1470,0.287020,0.320408,0.302797,0.081222,0.205798,0.128550,0.140894,0.586837,-0.299817,0.258609,0.316177,0.112314,0.170248,0.000250
1052,0.100000,P_C partition aleatoire,ensemble,agents enquete,5709,5640,0.230513,0.233333,0.231915,0.062262,0.168251,0.092714,0.127466,0.548257,-0.317744,0.214220,0.247207,0.111351,0.143832,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,agents demographiques (v6),1904,881,0.221113,0.477866,0.302334,0.040197,0.180917,0.056979,0.166910,0.500000,-0.278887,0.201888,0.240990,0.145863,0.188780,0.000250
1052,0.100000,P_B division de recensement,T2 intermediaire,agents demographiques (v6),1937,836,0.136809,0.316986,0.191129,0.067497,0.069313,0.096547,0.042276,0.570470,-0.433660,0.121911,0.151659,0.024583,0.059545,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,agents demographiques (v6),1868,864,0.129015,0.278935,0.176428,0.079324,0.049691,0.125677,0.005792,0.574411,-0.445396,0.112244,0.147013,-0.013789,0.026374,0.578000
1052,0.100000,P_B division de recensement,ensemble,agents demographiques (v6),5709,2581,0.162375,0.359163,0.223643,0.062262,0.100113,0.092714,0.072519,0.548257,-0.385882,0.152100,0.173048,0.060418,0.084695,0.000250
1052,0.100000,P_C partition aleatoire,T1 non deductible,agents demographiques (v6),1956,822,0.213701,0.508516,0.300936,0.038907,0.174795,0.051547,0.167452,0.505112,-0.291411,0.194588,0.233211,0.147096,0.188544,0.000250
1052,0.100000,P_C partition aleatoire,T2 intermediaire,agents demographiques (v6),2112,1040,0.158144,0.321154,0.211929,0.069160,0.088984,0.103552,0.055633,0.558239,-0.400095,0.142120,0.174490,0.036894,0.074405,0.000250
1052,0.100000,P_C partition aleatoire,T3 deductible,agents demographiques (v6),1641,719,0.106642,0.243394,0.148305,0.081222,0.025420,0.128550,-0.020911,0.586837,-0.480195,0.091247,0.123117,-0.040020,-0.000335,0.047000
1052,0.100000,P_C partition aleatoire,ensemble,agents demographiques (v6),5709,2581,0.162375,0.359163,0.223643,0.062262,0.100113,0.092714,0.072519,0.548257,-0.385882,0.152100,0.173048,0.060418,0.084695,0.000250
1052,0.100000,P_B division de recensement,T1 non deductible,agents v7,1904,1078,0.050945,0.089981,0.065057,0.040197,0.010749,0.056979,-0.006200,0.500000,-0.449055,0.040275,0.062148,-0.017986,0.005930,0.309000
1052,0.100000,P_B division de recensement,T2 intermediaire,agents v7,1937,920,0.059370,0.125000,0.080504,0.067497,-0.008127,0.096547,-0.041842,0.570470,-0.511100,0.046042,0.072548,-0.054364,-0.029463,0.000250
1052,0.100000,P_B division de recensement,T3 deductible,agents v7,1868,941,0.092077,0.182784,0.122464,0.079324,0.012753,0.125677,-0.035850,0.574411,-0.482334,0.076319,0.108334,-0.052084,-0.019312,0.000250
1052,0.100000,P_B division de recensement,ensemble,agents v7,5709,2939,0.067262,0.130657,0.088807,0.062262,0.005000,0.092714,-0.027794,0.548257,-0.480995,0.058009,0.076677,-0.036812,-0.019146,0.000250
