famille,n_items,c_2sem,c_2ans,c_4ans,delta_2ans,delta_4ans,hasard_st,hasard_panel
confiance dans les institutions (con*),13,0.7208979233694062,0.6142790275273993,0.5815035562284421,0.10661889584200698,0.13939436714096423,0.4153514190994854,0.4286886558187178
roles de genre (fe*),5,0.6885931558935361,0.5857960753547433,0.5749476681180232,0.10279708053879277,0.11364548777551284,0.38044897280573664,0.40311339852633504
depenses publiques (nat*),17,0.746812793558488,0.6498725251288162,0.6222091664444489,0.09694026842967174,0.12460362711403912,0.45985907916926405,0.44152733762243057
hors famille,79,0.7912475333301247,0.717622753069048,0.6946409716675024,0.07362478026107662,0.09175586643535931,0.4459657240173628,0.46581918928881016
avortement (ab*),7,0.9171645844649647,0.8477921922538767,0.8420131402104427,0.06937239221108805,0.07515144425452201,0.6485022192022437,0.5894807077817619
libertes civiles (spk/col/lib),11,0.8379709643968198,0.78507326237933,0.7771950221360168,0.05289770201748996,0.06077594226080319,0.6544351515852477,0.6025708213261829
fin de vie (suicide/letdie),5,0.8832699619771862,0.8525689526047511,0.8436605506977269,0.030701009372435206,0.039609411279459314,0.6097706342436642,0.6814714658336785
