perimetre,condition,ecart_max_ratio_contre_a39_commun,a39_ratio_moyen,a43_ratio_moyen,ecart
150,agents composite,0.000000,,,
150,agents entretien (v3),0.000000,,,
150,agents enquete,0.000000,,,
150,agents demographiques (v6),0.000000,,,
150,agents v7,0.000000,,,
150,agents v8,0.000000,,,
150,C2,0.000000,,,
150,C3,0.000000,,,
150,PMM k=5,0.000000,,,
150,PMM k=10,0.000000,,,
150,IM m=10 mode des m,0.000000,,,
150,B0 mode,0.000000,,,
150,B1 argmax,0.000000,,,
150,B2 argmax,0.000000,,,
150,B3 foret,0.000000,,,
150,humains vague 2,0.000000,,,
1052,agents composite,0.000000,,,
1052,agents entretien (v3),0.000000,,,
1052,agents enquete,0.000000,,,
1052,agents demographiques (v6),0.000000,,,
1052,agents v7,0.000000,,,
1052,agents v8,0.000000,,,
1052,PMM k=5,0.000000,,,
1052,PMM k=10,0.000000,,,
1052,IM m=10 mode des m,0.000000,,,
1052,B0 mode,0.000001,,,
1052,B1 argmax,0.000000,,,
1052,B2 argmax,0.000000,,,
1052,B3 foret,0.000000,,,
1052,humains vague 2,0.000000,,,
150,agents composite,,0.915209,0.915209,0.000000
150,agents entretien (v3),,0.942336,0.942336,0.000000
150,agents enquete,,0.902124,0.902124,0.000000
150,agents demographiques (v6),,0.660234,0.660234,-0.000000
150,agents v7,,0.699039,0.699039,0.000000
150,agents v8,,0.890082,0.890082,0.000000
150,C2,,0.771048,0.771048,-0.000000
150,C3,,0.780458,0.780458,-0.000000
150,B0 mode,,0.044090,0.044090,-0.000000
150,B1 argmax,,0.806043,0.806043,0.000000
150,B2 argmax,,0.691698,0.691698,0.000000
150,B3 foret,,0.602317,0.602317,-0.000000
150,humains vague 2,,0.987624,0.987624,0.000000
1052,agents composite,,0.923913,0.923913,0.000000
1052,agents entretien (v3),,0.946232,0.946232,-0.000000
1052,agents enquete,,0.907071,0.907071,-0.000000
1052,agents demographiques (v6),,0.654275,0.654275,-0.000000
1052,agents v7,,0.688810,0.688810,-0.000000
1052,agents v8,,0.913730,0.913730,-0.000000
1052,B0 mode,,0.042317,0.042317,0.000000
1052,B1 argmax,,0.806820,0.806820,-0.000000
1052,B2 argmax,,0.685261,0.685261,-0.000000
1052,B3 foret,,0.597506,0.597506,-0.000000
1052,humains vague 2,,0.999363,0.999363,-0.000000
