contraste,avec,sans,mesure,sens_predit,personnes,items,valeur_avec,valeur_sans,valeur_humains vague 2,effet,ic_bas,ic_haut,p_bootstrap,tirages,"p_holm (famille de reparation, non preenregistree)",p_bh
H1,C3E,C3,cellules (ensemble),aucun,94,58,158.0,158.0,158.0,0.0,0.0,0.0,1.0,2000,,
H1,C3E,C3,cellules (stable),aucun,94,58,71.0,71.0,71.0,0.0,0.0,0.0,1.0,2000,,
H1,C3E,C3,exces_item (ensemble),aucun,94,58,0.3653060978694191,0.31467318647701403,0.37163521179346976,0.050632911392405056,0.0,0.09615641711229944,0.073,2000,,
H1,C3E,C3,exces_item (stable),aucun,94,58,0.5520429905790596,0.45345144128328485,0.9182401736776511,0.09859154929577474,0.027388004442798965,0.17334782608695645,0.012,2000,,
H1,C3E,C3,exces_segment (ensemble),aucun,94,58,0.3608484396508994,0.30741332514708253,0.3455812640783803,0.05343511450381688,-0.00971111745669141,0.10687022900763354,0.11,2000,,
H1,C3E,C3,exces_segment (stable),aucun,94,58,0.5273873525969874,0.4290266968592825,0.838862762433053,0.09836065573770492,0.018181818181818188,0.1746130952380953,0.03,2000,,
H1,C3E,C3,fausses raretes,aucun,94,58,222.0,205.0,75.0,17.0,-8.0,43.0,0.209,2000,,
H1,C3E,C3,groupe sur personne,hausse,94,58,3.2325796262561743,1.1931901590935685,0.5675154446690577,2.039389467162606,0.6073487115832021,6.041638108995591,0.012518778167250876,1997,0.03755633450175263,0.02503755633450175
H1,C3E,C3,lift personne,aucun,94,58,0.22507258190077573,0.20032146684129026,0.797070053345609,0.024751115059485462,-0.07592185919088092,0.13300149050708282,0.645,2000,0.645,0.645
H1,C3E,C3,lift segment,hausse,94,58,0.7275650426813218,0.23902160289021612,0.45234956575682284,0.4885434397911057,0.32407950267844776,0.6673033049156741,0.0005,2000,0.002,0.002
H1,C3E,C3,precision (ensemble),aucun,94,58,0.23972602739726026,0.23220973782771537,0.4863013698630137,0.007516289569544893,-0.01974635109283828,0.03585513190214269,0.557,2000,,
H1,C3E,C3,precision (stable),aucun,94,58,0.21739130434782608,0.19289340101522842,1.0,0.02449790333259766,-0.0002055044133870447,0.05148597134621344,0.056,2000,,
H1,C3E,C3,rappel (ensemble),aucun,94,58,0.4430379746835443,0.3924050632911392,0.44936708860759494,0.050632911392405056,0.0,0.0961564171122995,0.073,2000,,
H1,C3E,C3,rappel (stable),aucun,94,58,0.6338028169014085,0.5352112676056338,1.0,0.09859154929577474,0.027388004442798965,0.17334782608695645,0.012,2000,,
H1,C3E,C3,rappel des rares,aucun,94,58,0.1402805611222445,0.12424849699398798,0.14228456913827656,0.016032064128256515,0.0,0.03185932026100383,0.073,2000,0.146,0.09733333333333333
H1,C3E,C3,raretes osees,aucun,94,58,292.0,267.0,146.0,25.0,-1.0,53.0,0.074,2000,,
H2,C2,C2S,cellules (ensemble),aucun,130,58,181.0,181.0,181.0,0.0,0.0,0.0,1.0,2000,,
H2,C2,C2S,cellules (stable),aucun,130,58,88.0,88.0,88.0,0.0,0.0,0.0,1.0,2000,,
H2,C2,C2S,exces_item (ensemble),aucun,130,58,0.11285226908337757,-0.07499303478402575,0.4056699486413886,0.18784530386740333,0.10414870689655172,0.2715323343607898,0.0005,2000,,
H2,C2,C2S,exces_item (stable),aucun,130,58,0.15383617334140645,-0.07343655393132083,0.9151998097050428,0.2272727272727273,0.1046468240194377,0.34615384615384615,0.0005,2000,,
H2,C2,C2S,exces_segment (ensemble),aucun,130,58,0.044436386194746935,-0.11345835064735835,0.3865416493526416,0.15789473684210528,0.06617300221975583,0.25,0.0005,2000,,
H2,C2,C2S,exces_segment (stable),aucun,130,58,0.046906335059422405,-0.1478988597457724,0.8391141272672146,0.19480519480519481,0.07500000000000001,0.3158029001074113,0.0005,2000,,
H2,C2,C2S,fausses raretes,aucun,130,58,219.0,19.0,97.0,200.0,130.975,275.0,0.0005,2000,,
H2,C2,C2S,groupe sur personne,hausse,130,58,4.884870327280316,,0.4512918083137776,,-35.02742117129484,26.049680752162025,0.19978046103183314,911,0.254,0.19978046103183314
H2,C2,C2S,lift personne,aucun,130,58,0.2875463818620465,-0.015472312703582847,0.6535433070866141,0.30301869456562935,-0.10729923437861735,0.7115921294539672,0.127,2000,0.254,0.16933333333333334
H2,C2,C2S,lift segment,hausse,130,58,1.4046267884747259,0.1616740156987837,0.29493874086648453,1.2429527727759422,0.796963762756065,1.7065587187312319,0.0005,2000,0.002,0.001
H2,C2,C2S,precision (ensemble),aucun,130,58,0.1377952755905512,0.05,0.4756756756756757,0.08779527559055118,-0.05071634360383818,0.19070801033591728,0.162,2000,,
H2,C2,C2S,precision (stable),aucun,130,58,0.11351351351351352,0.058823529411764705,1.0,0.054689984101748815,-0.10683415653495441,0.16765887867122897,0.379,2000,,
H2,C2,C2S,rappel (ensemble),aucun,130,58,0.19337016574585636,0.0055248618784530384,0.4861878453038674,0.18784530386740333,0.10414870689655172,0.2715323343607898,0.0005,2000,,
H2,C2,C2S,rappel (stable),aucun,130,58,0.23863636363636365,0.011363636363636364,1.0,0.2272727272727273,0.10464682401943769,0.34615384615384615,0.0005,2000,,
H2,C2,C2S,rappel des rares,aucun,130,58,0.05343511450381679,0.0015267175572519084,0.13435114503816795,0.051908396946564885,0.026820549952761293,0.07981825826055379,0.0005,2000,0.002,0.001
H2,C2,C2S,raretes osees,aucun,130,58,254.0,20.0,185.0,234.0,151.975,321.0,0.0005,2000,,
