perimetre,etendue,identite,condition_a,condition_b,famille,n_items,facteur_a,facteur_b,difference_de_facteurs,ic_bas,ic_haut,p,p_holm
79 items orientes,perimetre par paire,journaliste,q4nogab,q4,"F3, format seul, poids fixes",79,0.727104001617492,0.24461877977591442,0.48248522184157755,0.2882975166915415,0.6751817709056176,4.999750012499375e-05,9.99950002499875e-05
79 items orientes,perimetre par paire,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",79,0.5661002089418946,0.727104001617492,-0.16100379267559736,-0.33626557078092195,0.00974353404034929,0.06844657767111645,0.06844657767111645
79 items orientes,perimetre par paire,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",79,0.2617334829373304,0.24461877977591442,0.017114703161415973,-0.1528484325270374,0.17357211121445146,0.8376581170941453,
79 items orientes,perimetre par paire,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",79,0.2617334829373304,0.727104001617492,-0.46537051868016155,-0.6543145027971753,-0.28922533985560966,4.999750012499375e-05,
79 items orientes,perimetre par paire,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",79,0.5661002089418946,0.24461877977591442,0.32148142916598016,0.13363487327134446,0.5176987705213059,0.002199890005499725,
79 items orientes,perimetre par paire,adversaire,q4nogab,q4,"F3, format seul, poids fixes",79,0.8585553552235492,0.22059098065112476,0.6379643745724244,0.39287229243051275,0.8898348315258455,4.999750012499375e-05,
79 items orientes,perimetre par paire,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",79,0.4403488806756602,0.8585553552235492,-0.41820647454788895,-0.6882856714524961,-0.15785376420273076,0.0020998950052497373,
79 items orientes,perimetre par paire,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",77,0.20245738312688633,0.23047178218256895,-0.028014399055682607,-0.17609916201491052,0.12867323045467527,0.7262636868156592,
79 items orientes,perimetre par paire,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",77,0.20245738312688633,0.8853821419543134,-0.6829247588274271,-0.964210793221919,-0.42193630357712475,4.999750012499375e-05,
79 items orientes,perimetre par paire,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",79,0.4403488806756602,0.22059098065112476,0.21975790002453544,0.01512006496663317,0.45689181058676887,0.0631468426578671,
items retenus stricts,perimetre par paire,journaliste,q4nogab,q4,"F3, format seul, poids fixes",65,0.8100920067907396,0.3043113573896535,0.505780649401086,0.3008089561997855,0.7199571636294692,4.999750012499375e-05,
items retenus stricts,perimetre par paire,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",65,0.5735651736884668,0.8100920067907396,-0.23652683310227268,-0.41450222037693907,-0.07219972542614257,0.010449477526123694,
items retenus stricts,perimetre par paire,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",65,0.2754686505733013,0.3043113573896535,-0.028842706816352176,-0.20392206034306945,0.13241593094609308,0.7559122043897805,
items retenus stricts,perimetre par paire,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",65,0.2754686505733013,0.8100920067907396,-0.5346233562174382,-0.7495546841367464,-0.3292447841428384,4.999750012499375e-05,
items retenus stricts,perimetre par paire,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",65,0.5735651736884668,0.3043113573896535,0.2692538162988134,0.0614458015816457,0.47993849736760186,0.015499225038748062,
items retenus stricts,perimetre par paire,adversaire,q4nogab,q4,"F3, format seul, poids fixes",65,0.9816607368816963,0.2702951294005216,0.7113656074811747,0.4666778486532713,0.993878698755204,4.999750012499375e-05,
items retenus stricts,perimetre par paire,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",65,0.4759792601569633,0.9816607368816963,-0.5056814767247332,-0.8043572107913409,-0.2523535875974549,0.0007499625018749063,
items retenus stricts,perimetre par paire,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",63,0.2331266028588608,0.2835281720098028,-0.05040156915094196,-0.2111288382091909,0.13055569582483156,0.5785710714464277,
items retenus stricts,perimetre par paire,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",63,0.2331266028588608,1.0171108877993582,-0.7839842849404975,-1.0812900736238735,-0.49830029924698,4.999750012499375e-05,
items retenus stricts,perimetre par paire,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",65,0.4759792601569633,0.2702951294005216,0.2056841307564417,-0.03128426578955389,0.4518312628550047,0.0935953202339883,
