contraste,avec,sans,classe_PA,mesure,valeur_avec,valeur_sans,effet,cellules,personnes
PLACEBO,C3 bis,C3,stable,rappel,0.46226415094339623,0.46226415094339623,0.0,106,150
PLACEBO,C3 bis,C3,stable,precision,0.1975806451612903,0.1975806451612903,0.0,106,150
PLACEBO,C3 bis,C3,stable,exces_segment,0.33042947953038393,0.33042947953038393,0.0,106,150
PLACEBO,C3 bis,C3,stable,exces_item,0.380446295531659,0.380446295531659,0.0,106,150
PLACEBO,C3 bis,C3,stable,exces_humains vague 2,-0.5377358490566038,-0.5377358490566038,0.0,106,150
PLACEBO,C3 bis,C3,ensemble,rappel,0.34347826086956523,0.34347826086956523,0.0,230,150
PLACEBO,C3 bis,C3,ensemble,precision,0.23511904761904762,0.23511904761904762,0.0,230,150
PLACEBO,C3 bis,C3,ensemble,exces_segment,0.24218077713258487,0.24218077713258487,0.0,230,150
PLACEBO,C3 bis,C3,ensemble,exces_item,0.26513051751954664,0.26513051751954664,0.0,230,150
PLACEBO,C3 bis,C3,ensemble,exces_humains vague 2,-0.11739130434782608,-0.11739130434782608,0.0,230,150
REFERENCE,C2,C3,stable,rappel,0.20754716981132076,0.46226415094339623,-0.25471698113207547,106,150
REFERENCE,C2,C3,stable,precision,0.10837438423645321,0.1975806451612903,-0.0892062609248371,106,150
REFERENCE,C2,C3,stable,exces_segment,0.021151129014919973,0.33042947953038393,-0.30927835051546393,106,150
REFERENCE,C2,C3,stable,exces_item,0.1257293143995835,0.380446295531659,-0.25471698113207547,106,150
REFERENCE,C2,C3,stable,exces_humains vague 2,-0.7924528301886793,-0.5377358490566038,-0.2547169811320755,106,150
REFERENCE,C2,C3,ensemble,rappel,0.18695652173913044,0.34347826086956523,-0.1565217391304348,230,150
REFERENCE,C2,C3,ensemble,precision,0.14878892733564014,0.23511904761904762,-0.08633012028340747,230,150
REFERENCE,C2,C3,ensemble,exces_segment,0.03913509185339706,0.24218077713258487,-0.20304568527918782,230,150
REFERENCE,C2,C3,ensemble,exces_item,0.10860877838911184,0.26513051751954664,-0.1565217391304348,230,150
REFERENCE,C2,C3,ensemble,exces_humains vague 2,-0.27391304347826084,-0.11739130434782608,-0.15652173913043477,230,150
