camp,taille,statistique,valeur,ic_bas,ic_haut,facteur_population_finie,variance_du_nul_interieur,s0_naif,s0,n_tirages
gauche,167,A,-0.040683429021141936,-0.05311393478349487,-0.027282946117789805,1.2915107432770352,4.840422934155531e-06,0.0087002602023323,0.008512410062272104,200
gauche,250,A,-0.052193023014679686,-0.06118041404483755,-0.04303016233515977,1.5801917567257313,4.5926997311506855e-06,0.007748029322583053,0.007290861360969515,200
gauche,334,A,-0.059960770330039014,-0.06774707955969016,-0.052814050248249374,2.2414496169983766,4.113668136786958e-06,0.008452853784647787,0.007409246926919767,200
gauche,417,A,-0.06641698872465052,,,,,,0.006870305986010267,0
gauche,167,B,0.03669529662991365,0.030560999949127105,0.043704127114128945,1.2915107432770352,5.648445396446034e-08,0.004657209293109663,0.004653156647328644,200
gauche,250,B,0.04044070401367923,0.03587562999692143,0.04496322453392824,1.5801917567257313,2.301500415486699e-08,0.003760981292308194,0.0037563980995174062,200
gauche,334,B,0.04276109049289731,0.039531220558967066,0.04535113252660233,2.2414496169983766,1.254546346839267e-08,0.003472081558376759,0.003464803918524376,200
gauche,417,B,0.04486270517831272,,,,,,0.003097012554661067,0
gauche,167,C,0.04732035928143713,0.04341317365269461,0.05120508982035929,1.2915107432770352,0.0,0.0026527144446709004,0.0026527144446709004,200
gauche,250,C,0.0408,0.038200000000000005,0.043605,1.5801917567257313,0.0,0.0021891194243349407,0.0021891194243349407,200
gauche,334,C,0.03709056886227545,0.035475299401197605,0.038633982035928154,2.2414496169983766,0.0,0.0020785365262691005,0.0020785365262691005,200
gauche,417,C,0.03477218225419664,,,,,,0.0018824072242574841,0
droite,133,A,-0.021383988513824975,-0.030336345077916854,-0.01362248162800363,1.2916430267464434,2.0709795438258247e-06,0.005644868713809131,0.0055209076055901885,200
droite,199,A,-0.02948039750762205,-0.035940003514711064,-0.02350116408365878,1.5799495566326665,1.979545404429603e-06,0.005463627666923601,0.005185494294293003,200
droite,266,A,-0.03673073168345655,-0.04121535041640449,-0.031487532782455405,2.242833705450101,1.903160497449504e-06,0.006042782598210896,0.005370745572936468,200
droite,332,A,-0.04240789140881873,,,,,,0.005220668890779636,0
droite,133,B,0.0298163428628986,0.026012725394014457,0.033711961709669676,1.2916430267464434,7.014172520146147e-08,0.002511544492503981,0.00250219445634543,200
droite,199,B,0.03239680328807805,0.029664966424353546,0.03506517747703442,1.5799495566326665,4.129276190954132e-08,0.002188867681150938,0.002174708674436602,200
droite,266,B,0.03446338454053973,0.032814841057330055,0.03610234612634656,2.242833705450101,2.559915520181986e-08,0.0019761617524250564,0.0019498827962122693,200
droite,332,B,0.03606690150542229,,,,,,0.001803978879310672,0
droite,133,C,0.040281954887218044,0.03720864661654135,0.04360902255639097,1.2916430267464434,0.0,0.00214674874027266,0.00214674874027266,200
droite,199,C,0.032753768844221105,0.030150753768844223,0.035175879396984924,1.5799495566326665,0.0,0.0018906808997678334,0.0018906808997678334,200
droite,266,C,0.028735902255639097,0.02744360902255639,0.030451127819548875,2.242833705450101,0.0,0.0015591682839157315,0.0015591682839157315,200
droite,332,C,0.025753012048192775,,,,,,0.0014427410880173514,0
