t,mois,variable,cohorte,n,n_cohortes,moyenne,mediane,variance_totale,variance_intra,variance_inter,variance_inter_brute,part_inter,ecart_type,iqr_total,iqr_intra_median,iqr_medianes,mad_total,perimetre
48,2017-01,infl1,age x edu x rev,1317,28,3.792352279073811,2.978480100631714,24.259492750587132,23.647141018415436,0.6123517321716965,1.1978746093900567,0.025241736851932994,4.925392649382091,3.467621088027954,3.6423797607421875,0.6803016066551208,1.733233094215393,descriptif 2017-2019
48,2017-01,infl3,age x edu x rev,1325,28,3.7089717660238786,2.9808437824249268,27.036304193423266,26.88125666296418,0.15504753045908515,0.8141522262556395,0.005734790130701419,5.199644621839387,3.991302490234375,4.188314318656921,0.9972516298294067,1.9369115829467773,descriptif 2017-2019
48,2017-01,revenu,age x edu x rev,1357,28,5.1614591009316415,3.0,172.3369223093309,168.02574100641735,4.3111813029135515,8.122420422696337,0.02501600495786578,13.127715806998982,4.0,5.0,1.0,2.0,descriptif 2017-2019
48,2017-01,depense,age x edu x rev,1357,28,3.877671333824613,3.0,143.00839778276367,140.75778761152867,2.2506101712350017,5.017018206111478,0.015737608463062304,11.958611866883366,7.0,7.5,2.5,3.0,descriptif 2017-2019
48,2017-01,logement,age x edu x rev,1357,28,6.034782608730791,5.0,70.57720540046243,68.40410066961302,2.1731047308494227,3.8428949675742343,0.03079046157352079,8.40102406855631,8.0,5.75,0.75,3.0,descriptif 2017-2019
48,2017-01,perte_emploi,age x edu x rev,781,25,15.049935979513444,7.0,456.4537419249489,456.643336795813,-0.1895948708641626,17.23007666986465,-0.000415364917515204,21.36477806870338,19.0,16.75,5.0,6.0,descriptif 2017-2019
48,2017-01,chomage,age x edu x rev,1358,28,38.38438880706922,40.0,576.3676966122998,565.4566592463516,10.911037365948216,22.390274112711552,0.01893068856925833,24.00765912396083,30.0,30.0,13.0,20.0,descriptif 2017-2019
48,2017-01,infl1_var,age x edu x rev,1317,28,15.331484271865408,2.546703577041626,806.6998066872133,729.3969669023286,77.30283978488471,95.73361626242057,0.09582602988630419,28.40246127868522,12.42467999458313,13.652785301208496,3.6350985169410706,2.19271519780159,descriptif 2017-2019
48,2017-01,infl1_point,age x edu x rev,1354,28,5.157680945110506,3.0,107.30219382119157,105.52672481721986,1.7754690039717014,4.512236345142845,0.016546437129983976,10.35867722352577,3.0,4.25,1.0,2.0,descriptif 2017-2019
49,2017-02,infl1,age x edu x rev,1308,27,3.7259737710580048,2.96994686126709,22.00271518028717,21.313851483151772,0.6888636971353943,1.1097237214284759,0.031308122269953574,4.69070519008466,3.5985117852687836,3.9161025074207885,0.6305608153343201,1.733581781387329,descriptif 2017-2019
49,2017-02,infl3,age x edu x rev,1312,27,3.8559534093711165,3.0,23.75668356744394,23.52148235770067,0.2352012097432704,0.7282576925554382,0.009900422720012535,4.874082843719825,4.054961085319519,3.931894153356552,0.40151113271713257,1.927844524383545,descriptif 2017-2019
49,2017-02,revenu,age x edu x rev,1340,27,5.189253731238753,3.0,163.9056925487569,156.9894598069241,6.9162327418327925,9.885152632792172,0.04219641572104292,12.802565858012873,4.0,4.375,1.0,2.0,descriptif 2017-2019
49,2017-02,depense,age x edu x rev,1339,27,3.612023898364894,3.0,122.02557091732926,120.72726512366961,1.2983057936596523,3.5753880307210526,0.010639620727849228,11.046518497577834,6.0,6.125,1.75,3.0,descriptif 2017-2019
49,2017-02,logement,age x edu x rev,1336,27,5.796407185461439,5.0,61.316053347247696,60.24772719350609,1.0683261537416113,2.4393472002772363,0.0174232700152996,7.830456777688496,5.5,4.75,1.0,3.0,descriptif 2017-2019
49,2017-02,perte_emploi,age x edu x rev,781,25,14.880921895006402,8.0,430.7352746024732,423.7794334715767,6.955841130896552,23.18908326725178,0.016148761295011457,20.754162825863954,19.0,17.75,5.0,7.0,descriptif 2017-2019
49,2017-02,chomage,age x edu x rev,1341,27,37.28635346756152,39.0,540.0800315455949,523.2231114120178,16.85692013357714,26.780665080585333,0.031211892958412476,23.23962201813091,30.0,30.0,10.5,17.0,descriptif 2017-2019
