condition,reference,decalage_applique,exactitude_condition,exactitude_reference,difference,ic_bas,ic_haut,avantage_survit,est_le_decalage_de_a8,decalage_de_bascule_point_estime,decalage_de_bascule_borne_basse
agents entretien (v3),B2 famille retiree (argmax),0.020000,0.613572,0.662105,-0.048433,-0.054319,-0.042435,False,False,-0.028433,-0.034319
agents entretien (v3),B2 famille retiree (argmax),0.039280,0.594292,0.662105,-0.067713,-0.073599,-0.061715,False,True,-0.028433,-0.034319
agents entretien (v3),B2 famille retiree (argmax),0.050000,0.583572,0.662105,-0.078433,-0.084319,-0.072435,False,False,-0.028433,-0.034319
agents entretien (v3),"IM m=10 mode, famille retiree",0.000000,0.633572,0.650108,-0.016444,-0.021929,-0.010963,False,False,-0.016444,-0.021929
agents entretien (v3),"IM m=10 mode, famille retiree",0.010000,0.623572,0.650108,-0.026444,-0.031929,-0.020963,False,False,-0.016444,-0.021929
agents entretien (v3),"IM m=10 mode, famille retiree",0.020000,0.613572,0.650108,-0.036444,-0.041929,-0.030963,False,False,-0.016444,-0.021929
agents entretien (v3),"IM m=10 mode, famille retiree",0.039280,0.594292,0.650108,-0.055723,-0.061209,-0.050243,False,True,-0.016444,-0.021929
agents entretien (v3),"IM m=10 mode, famille retiree",0.050000,0.583572,0.650108,-0.066444,-0.071929,-0.060963,False,False,-0.016444,-0.021929
agents entretien (v3),PMM k=10 famille retiree,0.000000,0.633572,0.627950,0.005754,-0.000050,0.011342,False,False,0.005754,-0.000050
agents entretien (v3),PMM k=10 famille retiree,0.010000,0.623572,0.627950,-0.004246,-0.010050,0.001342,False,False,0.005754,-0.000050
agents entretien (v3),PMM k=10 famille retiree,0.020000,0.613572,0.627950,-0.014246,-0.020050,-0.008658,False,False,0.005754,-0.000050
agents entretien (v3),PMM k=10 famille retiree,0.039280,0.594292,0.627950,-0.033526,-0.039329,-0.027938,False,True,0.005754,-0.000050
agents entretien (v3),PMM k=10 famille retiree,0.050000,0.583572,0.627950,-0.044246,-0.050050,-0.038658,False,False,0.005754,-0.000050
