condition,bloc,cle,valeur
C2,resume,n_cellules,22147
C2,resume,exactitude_esperee,0.526651
C2,resume,entropie_moyenne_bits,0.116545
C2,resume,entropie_maximale_moyenne_bits,1.594204
C2,resume,part_entropie_maximale,0.073105
C2,resume,part_cellules_quasi_certaines,0.793290
C2,resume,ecart_de_calibration_attendu,0.440130
C2,entropie_individuelle_percentile,q0,0.000000
C2,entropie_individuelle_percentile,q10,0.000000
C2,entropie_individuelle_percentile,q25,0.000005
C2,entropie_individuelle_percentile,q50,0.000493
C2,entropie_individuelle_percentile,q75,0.036365
C2,entropie_individuelle_percentile,q90,0.486666
C2,entropie_individuelle_percentile,q100,2.525895
C2,calibration,0.2-0.3,n=1;conf=0.2842;exact=0.0000;ecart=-0.2842
C2,calibration,0.3-0.4,n=14;conf=0.3654;exact=0.2143;ecart=-0.1512
C2,calibration,0.4-0.5,n=58;conf=0.4524;exact=0.2069;ecart=-0.2455
C2,calibration,0.5-0.6,n=405;conf=0.5484;exact=0.3778;ecart=-0.1706
C2,calibration,0.6-0.7,n=441;conf=0.6530;exact=0.3492;ecart=-0.3037
C2,calibration,0.7-0.8,n=544;conf=0.7511;exact=0.3713;ecart=-0.3798
C2,calibration,0.8-0.9,n=764;conf=0.8569;exact=0.3665;ecart=-0.4904
C2,calibration,0.9-1.0,n=19920;conf=0.9950;exact=0.5458;ecart=-0.4491
C3,resume,n_cellules,22147
C3,resume,exactitude_esperee,0.582097
C3,resume,entropie_moyenne_bits,0.139613
C3,resume,entropie_maximale_moyenne_bits,1.594204
C3,resume,part_entropie_maximale,0.087575
C3,resume,part_cellules_quasi_certaines,0.768501
C3,resume,ecart_de_calibration_attendu,0.378354
C3,entropie_individuelle_percentile,q0,0.000000
C3,entropie_individuelle_percentile,q10,0.000000
C3,entropie_individuelle_percentile,q25,0.000004
C3,entropie_individuelle_percentile,q50,0.000393
C3,entropie_individuelle_percentile,q75,0.059970
C3,entropie_individuelle_percentile,q90,0.612163
C3,entropie_individuelle_percentile,q100,2.950252
C3,calibration,0.1-0.2,n=1;conf=0.1995;exact=0.0000;ecart=-0.1995
C3,calibration,0.2-0.3,n=5;conf=0.2622;exact=0.0000;ecart=-0.2622
C3,calibration,0.3-0.4,n=27;conf=0.3534;exact=0.0000;ecart=-0.3534
C3,calibration,0.4-0.5,n=84;conf=0.4545;exact=0.1905;ecart=-0.2640
C3,calibration,0.5-0.6,n=496;conf=0.5492;exact=0.3246;ecart=-0.2246
C3,calibration,0.6-0.7,n=552;conf=0.6510;exact=0.3696;ecart=-0.2815
C3,calibration,0.7-0.8,n=585;conf=0.7525;exact=0.3487;ecart=-0.4038
C3,calibration,0.8-0.9,n=884;conf=0.8539;exact=0.3812;ecart=-0.4727
C3,calibration,0.9-1.0,n=19513;conf=0.9943;exact=0.6138;ecart=-0.3805
