partage,configuration,fidelite_A,fuite_B
0,Demographics Only - GPT4.1-mini,0.07953838678328468,0.01182377712989958
0,JSON Persona - GPT4.1,0.156578798185941,0.068837058632977
0,JSON Persona - GPT4.1-mini,0.13422833333333328,0.038
0,Text Persona (Default Temperature) - GPT4.1-mini,0.11550129575639789,0.017168772270813086
0,Text Persona (Reasoning) - GPT4.1-mini,0.1261329770003239,0.028506640751538713
0,Text Persona (Repeating Questions) - GPT4.1-mini,0.12366213151927447,0.02089407191448008
0,Text Persona - GPT4.1-mini,0.11964245221898279,0.01959831551668286
0,Text Persona - Gemini-Flash2.5,0.14225178166504715,0.05118237771298995
0,B0 tirage,-0.00012795594428249846,0.0
0,B1 argmax,0.04024335924846123,0.0014577259475218656
0,B2 argmax,0.03760366051182373,0.0009718172983479105
0,PMM k=10,0.04016844833171357,0.0016196954972465176
0,humains vagues 1-3 (retest),0.30698777129899585,0.510689990281827
1,Demographics Only - GPT4.1-mini,0.07628644314868804,0.006640751538710722
1,JSON Persona - GPT4.1,0.15064261418853253,0.0644638807904114
1,JSON Persona - GPT4.1-mini,0.1237858333333332,0.035666666666666666
1,Text Persona (Default Temperature) - GPT4.1-mini,0.10210438937479749,0.02299967606090055
1,Text Persona (Reasoning) - GPT4.1-mini,0.11522351797862013,0.031098153547133134
1,Text Persona (Repeating Questions) - GPT4.1-mini,0.11270367670877868,0.02688694525429219
1,Text Persona - GPT4.1-mini,0.10638321995464861,0.021218011013929377
1,Text Persona - Gemini-Flash2.5,0.13370586329770007,0.051344347262714606
1,B0 tirage,0.0016690962099125684,0.0008098477486232588
1,B1 argmax,0.02523728539034653,0.0008098477486232588
1,B2 argmax,0.03110260770975054,0.00048590864917395527
1,PMM k=10,0.02901643990929692,0.0014577259475218659
1,humains vagues 1-3 (retest),0.29300089083252356,0.550210560414642
2,Demographics Only - GPT4.1-mini,0.08399011985746674,0.00826044703595724
2,JSON Persona - GPT4.1,0.16912941367023004,0.04616132167152575
2,JSON Persona - GPT4.1-mini,0.14335416666666656,0.03233333333333333
2,Text Persona (Default Temperature) - GPT4.1-mini,0.12066245545837379,0.01295756397797214
2,Text Persona (Reasoning) - GPT4.1-mini,0.13547619047619047,0.022351797862001945
2,Text Persona (Repeating Questions) - GPT4.1-mini,0.1326461775186265,0.019274376417233563
2,Text Persona - GPT4.1-mini,0.12814220926465836,0.016034985422740525
2,Text Persona - Gemini-Flash2.5,0.1562103174603175,0.03433754454162617
2,B0 tirage,6.640751538705691e-05,0.00048590864917395527
2,B1 argmax,0.04003927761580828,0.0014577259475218659
2,B2 argmax,0.0340885163589244,0.00032393909944930353
2,PMM k=10,0.041379575639779786,0.0021056041464204726
2,humains vagues 1-3 (retest),0.3180158730158731,0.4807256235827664
3,Demographics Only - GPT4.1-mini,0.07890913508260444,0.007450599287333981
3,JSON Persona - GPT4.1,0.1598234531908001,0.05830903790087463
3,JSON Persona - GPT4.1-mini,0.1335508333333334,0.034
3,Text Persona (Default Temperature) - GPT4.1-mini,0.11623906705539339,0.013767411726595399
3,Text Persona (Reasoning) - GPT4.1-mini,0.12572643343051487,0.02964042759961127
3,Text Persona (Repeating Questions) - GPT4.1-mini,0.1259535957240039,0.0231616456106252
3,Text Persona - GPT4.1-mini,0.12126700680272096,0.017978620019436346
3,Text Persona - Gemini-Flash2.5,0.14695254292193072,0.040006478781988986
3,B0 tirage,0.001037010042112152,0.0
3,B1 argmax,0.03520732102364754,0.00032393909944930353
3,B2 argmax,0.03795351473922903,0.0009718172983479105
3,PMM k=10,0.03592282150955617,0.0014577259475218659
3,humains vagues 1-3 (retest),0.30887998056365407,0.5046971169420148
4,Demographics Only - GPT4.1-mini,0.08088516358924519,0.012795594428247488
4,JSON Persona - GPT4.1,0.15648445092322644,0.06802721088435375
4,JSON Persona - GPT4.1-mini,0.13457083333333347,0.040333333333333325
4,Text Persona (Default Temperature) - GPT4.1-mini,0.11546687722708132,0.020084224165856816
4,Text Persona (Reasoning) - GPT4.1-mini,0.1274445254292192,0.03304178814382896
4,Text Persona (Repeating Questions) - GPT4.1-mini,0.12412941367023012,0.029316488500161966
4,Text Persona - GPT4.1-mini,0.1211216391318432,0.02478134110787172
4,Text Persona - Gemini-Flash2.5,0.14475178166504693,0.04664723032069971
4,B0 tirage,0.0006490929705215698,0.0006478781988986071
4,B1 argmax,0.036064139941691,0.0006478781988986071
4,B2 argmax,0.037248542274052554,0.00048590864917395527
4,PMM k=10,0.032461937155814635,0.0014577259475218659
4,humains vagues 1-3 (retest),0.3079689018464529,0.5168448331713639
5,Demographics Only - GPT4.1-mini,0.07716674765144155,0.0076125688370586335
5,JSON Persona - GPT4.1,0.15433713961775192,0.0654356980887593
5,JSON Persona - GPT4.1-mini,0.1324433333333333,0.033666666666666664
5,Text Persona (Default Temperature) - GPT4.1-mini,0.10991253644314869,0.01862649821833495
5,Text Persona (Reasoning) - GPT4.1-mini,0.12372246517654695,0.02964042759961127
5,Text Persona (Repeating Questions) - GPT4.1-mini,0.12057944606413995,0.02105604146420473
5,Text Persona - GPT4.1-mini,0.11451611597019756,0.020246193715581468
5,Text Persona - Gemini-Flash2.5,0.14169501133786844,0.04405571752510527
5,B0 tirage,0.002661159701976057,0.0006478781988986071
5,B1 argmax,0.03128117913832207,0.0016196954972465178
5,B2 argmax,0.03252874959507601,0.0016196954972465178
5,PMM k=10,0.03438775510204084,0.0012957563977972141
5,humains vagues 1-3 (retest),0.3019322967282152,0.5170068027210885
6,Demographics Only - GPT4.1-mini,0.08767816650469695,0.00647878198898607
6,JSON Persona - GPT4.1,0.16667557499190133,0.05798509880142532
6,JSON Persona - GPT4.1-mini,0.14053083333333338,0.029
6,Text Persona (Default Temperature) - GPT4.1-mini,0.12403992549400711,0.014577259475218658
6,Text Persona (Reasoning) - GPT4.1-mini,0.13451247165532865,0.020084224165856816
6,Text Persona (Repeating Questions) - GPT4.1-mini,0.133674684159378,0.02218982831227729
6,Text Persona - GPT4.1-mini,0.1292755911888565,0.016034985422740525
6,Text Persona - Gemini-Flash2.5,0.15165978296080335,0.03806284418529316
6,B0 tirage,-0.001184402332361556,0.00032393909944930353
6,B1 argmax,0.03936993845157122,0.0006478781988986071
6,B2 argmax,0.03754049238743118,0.00048590864917395527
6,PMM k=10,0.039943310657596376,0.001943634596695821
6,humains vagues 1-3 (retest),0.3132159054097829,0.4915775834143181
7,Demographics Only - GPT4.1-mini,0.07361394557823125,0.011337868480725622
7,JSON Persona - GPT4.1,0.14897473275024292,0.07402008422416585
7,JSON Persona - GPT4.1-mini,0.12496916666666669,0.037
7,Text Persona (Default Temperature) - GPT4.1-mini,0.10599408811143507,0.017978620019436346
7,Text Persona (Reasoning) - GPT4.1-mini,0.11633705863297705,0.04033041788143829
7,Text Persona (Repeating Questions) - GPT4.1-mini,0.11704041140265631,0.02769679300291545
7,Text Persona - GPT4.1-mini,0.11149457402008417,0.025429219306770327
7,Text Persona - Gemini-Flash2.5,0.1364492225461612,0.050210560414642044
7,B0 tirage,0.001223679948169798,0.0009718172983479104
7,B1 argmax,0.030245788791707084,0.0009718172983479105
7,B2 argmax,0.03304502753482352,0.0011337868480725622
7,PMM k=10,0.03242792355037255,0.001943634596695821
7,humains vagues 1-3 (retest),0.2979814544865566,0.539034661483641
8,Demographics Only - GPT4.1-mini,0.08170229996760608,0.008098477486232587
8,JSON Persona - GPT4.1,0.1572890346614837,0.05782312925170068
8,JSON Persona - GPT4.1-mini,0.1284333333333334,0.034666666666666665
8,Text Persona (Default Temperature) - GPT4.1-mini,0.11267938127631993,0.015549076773566567
