volet,jeu,condition,attaque,mesure,valeur,ic_bas,ic_haut,n_attaques,n_pool,n_items,hasard,fpr_cible,n_permutations,temoin_min,temoin_max,note,ecart_points,ecart_bas,ecart_haut,cible_top1,cible_ic_bas,cible_ic_haut,comparateur_top1,comparateur_ic_bas,comparateur_ic_haut,controle_interpretabilite_passe,cible_tpr,comparateur_tpr,k_items,n_tirages_items,n_axes_demographiques,modalites_par_axe,n_personnes,taille_cellule_min,taille_cellule_max,p_value,temoin_groupes_aleatoires_meme_taille,n_axes,axes,modalites,plafond_bloc_complet,n_cellules,plafond,attribut_retire,chute_points,temoin_aleatoire,n_modalites
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),top1_ferme_uniforme_PUBLIE,0.6559727503168569,0.6269645120405577,0.6834640367553866,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),top1_ferme_borne_en_faveur,0.6758555133079848,0.6473384030418251,0.7043726235741445,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),top1_ferme_borne_contre,0.6387832699619772,0.6102661596958175,0.6682509505703422,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),top1_ferme_mc20_raccordement,0.6554182509505704,0.6269391634980988,0.6826627851711027,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),classe_tete_taille_mediane,1.0,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),classe_tete_part_singletons,0.9182509505703422,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),auc_monde_ouvert,0.5527218660093395,,,1052.0,1052,177.0,0.0009505703422053232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_np_interp,0.08473764258555133,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_tpr_escalier,0.08365019011406843,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_fpr_atteint,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_fp_absolus,1.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_vraies_detections_absolues,88.0,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_0_1pct_granularite_un_fp,0.0009505703422053232,,,1052.0,1052,177.0,0.0009505703422053232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_np_interp,0.20391001267427122,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 armement egal,Park GSS,cible : meilleur agent (composite),naif (Hamming),tpr_a_fpr_1pct_tpr_escalier,0.20152091254752852,,,1052.0,1052,177.0,0.0009505703422053232,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
