condition,axe,mu_median,ratio_inter_avant,ratio_inter_apres,ratio_intra_avant,ratio_intra_apres,ratio_total_avant,ratio_total_apres,exactitude_avant,exactitude_apres,delta_exactitude,delta_ic_bas,delta_ic_haut,part_changee,n_change,n_reparation,n_casse
agents composite,political_ideology,0.8,2.1295,1.1410,0.8331,1.0281,0.8933,1.0334,0.6840,0.6533,-0.0307,-0.0324,-0.0290,0.0714,11198,2149,6954
agents composite,profil croise,0.8,1.8945,0.9798,0.8342,1.0290,0.8933,1.0262,0.6840,0.6543,-0.0297,-0.0315,-0.0280,0.0674,10560,1956,6612
agents enquete,political_ideology,0.8,2.5207,1.3487,0.7773,0.9902,0.8583,1.0068,0.6510,0.6259,-0.0251,-0.0266,-0.0236,0.0748,11732,2692,6629
agents enquete,profil croise,0.8,2.0614,1.0739,0.7873,0.9947,0.8583,0.9991,0.6510,0.6270,-0.0240,-0.0257,-0.0224,0.0695,10897,2464,6227
agents entretien (v3),political_ideology,0.8,2.7840,1.5047,0.7714,0.9952,0.8649,1.0188,0.6565,0.6244,-0.0321,-0.0340,-0.0304,0.0774,12126,2415,7452
agents entretien (v3),profil croise,0.8,2.4378,1.3079,0.7721,0.9933,0.8649,1.0108,0.6565,0.6258,-0.0307,-0.0326,-0.0289,0.0731,11466,2272,7089
agents demographiques (v8),political_ideology,0.6,8.3190,2.2815,0.4360,0.9825,0.8022,1.0428,0.5592,0.4888,-0.0704,-0.0737,-0.0669,0.1977,30989,6536,17567
agents demographiques (v8),profil croise,0.6,6.2563,1.7948,0.4803,0.9968,0.8022,1.0412,0.5592,0.4933,-0.0658,-0.0691,-0.0624,0.1887,29579,6272,16592
