perimetre,condition,famille_condition,ratio_moyen,ic_bas,ic_haut,ratio_median,items_sous_1,n_items
150,agents composite,riche,0.915209,0.896042,0.938537,0.925820,49,71
150,agents entretien (v3),riche,0.942336,0.915535,0.972429,0.933777,45,71
150,agents enquete,riche,0.902124,0.880630,0.926321,0.871780,48,71
150,agents demographiques (v6),etiquette,0.660234,0.632890,0.686099,0.662087,66,71
150,agents v7,riche,0.699039,0.649109,0.751990,0.669715,67,71
150,agents v8,etiquette,0.890082,0.845418,0.936417,0.926321,40,71
150,C2,etiquette,0.771048,0.718865,0.822986,0.778969,56,71
150,C3,riche,0.780458,0.751458,0.807380,0.770281,57,71
150,B0 uniforme,aveugle,1.279315,1.250002,1.319402,1.245094,6,71
150,B0 mode,aveugle,0.044090,0.040830,0.047510,0.000000,71,71
150,B0 tirage,aveugle,1.005390,0.982669,1.035462,1.002466,34,71
150,B1 argmax,statistique,0.806043,0.777980,0.835355,0.810268,64,71
150,B2 argmax,statistique,0.691698,0.670728,0.711687,0.724505,67,71
150,B3 foret,statistique,0.602317,0.572063,0.626461,0.675768,69,71
150,humains vague 2,plancher,0.987624,0.974296,1.004834,0.983018,42,71
1052,agents composite,riche,0.923913,0.916113,0.931970,0.919677,46,71
1052,agents entretien (v3),riche,0.946232,0.937036,0.955478,0.935125,42,71
1052,agents enquete,riche,0.907071,0.898529,0.916171,0.889699,46,71
1052,agents demographiques (v6),etiquette,0.654275,0.645167,0.663151,0.661330,65,71
1052,agents v7,riche,0.688810,0.671686,0.705957,0.642966,68,71
1052,agents v8,etiquette,0.913730,0.898648,0.928649,0.954354,38,71
1052,B0 uniforme,aveugle,1.268232,1.256152,1.281668,1.219781,6,71
1052,B0 mode,aveugle,0.042317,0.041124,0.043420,0.000000,71,71
1052,B0 tirage,aveugle,1.000519,0.990526,1.011216,1.000137,35,71
1052,B1 argmax,statistique,0.806820,0.797072,0.816887,0.829944,66,71
1052,B2 argmax,statistique,0.685261,0.677091,0.693202,0.731033,70,71
1052,B3 foret,statistique,0.597506,0.587540,0.605906,0.654291,69,71
1052,humains vague 2,plancher,0.999363,0.993701,1.005343,1.000652,35,71
