perimetre,camp,item,desirabilite_humaine,n_personnes,pole_endogroupe
150,droite,natfare/y,0.690476,42,droite_bas
150,droite,natroad,0.702381,42,droite_bas
150,droite,natsoc,0.750000,42,droite_bas
150,droite,natmass,0.523810,42,droite_bas
150,droite,natpark,0.535714,42,droite_bas
150,droite,natchld,0.642857,42,droite_bas
150,droite,natsci,0.523810,42,droite_bas
150,droite,natenrgy,0.440476,42,droite_bas
150,droite,fechld,0.650794,42,droite_bas
150,droite,fepresch,0.476190,42,droite_bas
150,droite,fefam,0.507937,42,droite_bas
150,droite,fepol,0.619048,42,droite_bas
150,droite,incom16,0.410714,42,
150,droite,divorced,0.619048,42,
150,droite,conarmy,0.750000,42,
150,droite,conbus,0.464286,42,
150,droite,conclerg,0.392857,42,
150,droite,coneduc,0.464286,42,
150,droite,confed,0.238095,42,
150,droite,confinan,0.464286,42,
150,droite,conjudge,0.559524,42,
150,droite,conlabor,0.321429,42,
150,droite,conlegis,0.273810,42,
150,droite,conmedic,0.607143,42,
150,droite,conpress,0.190476,42,
150,droite,consci,0.488095,42,
150,droite,contv,0.309524,42,
150,droite,happy,0.452381,42,
150,droite,hapmar,0.566667,42,
150,droite,satjob,0.600000,42,
150,droite,unemp,0.523810,42,
150,droite,spkath/y,0.690476,42,
150,droite,colath,0.690476,42,
150,droite,spkcom/y,0.666667,42,
150,droite,colcom/y,0.761905,42,
150,droite,libcom/y,0.738095,42,
150,droite,spkhomo/y,0.880952,42,droite_bas
150,droite,colhomo,0.928571,42,droite_bas
150,droite,libhomo/y,0.738095,42,droite_bas
150,droite,polhitok/y,0.238095,42,
150,droite,polabuse/y,0.904762,42,
150,droite,satfin,0.488095,42,
150,droite,finalter,0.428571,42,
150,droite,finrela,0.410714,42,
150,droite,racdif1,0.190476,42,droite_bas
150,droite,racdif2,0.952381,42,droite_bas
150,droite,racdif3,0.190476,42,droite_bas
150,droite,racdif4,0.547619,42,droite_bas
150,droite,letin1a,0.172619,42,droite_bas
150,droite,parsol,0.470238,42,
150,droite,spanking,0.357143,42,
150,droite,sexeduc,0.690476,42,
150,droite,xmarsex,0.833333,42,
150,droite,homosex,0.547619,42,droite_bas
150,droite,marhomo,0.541667,42,droite_bas
150,droite,pornlaw,0.630952,42,
150,droite,vote16,0.714286,42,
150,droite,news,0.339286,42,
150,droite,attend,0.395833,42,
150,droite,pray,0.604762,42,
150,droite,reborn,0.583333,42,
150,droite,savesoul,0.500000,42,
150,droite,income,0.820346,42,
150,droite,health,0.579365,42,
150,droite,xmovie,0.738095,42,
150,droite,life,0.595238,42,
150,droite,richwork,0.547619,42,
150,tous,natspac/y,0.480000,150,droite_bas
150,tous,natenvir/y,0.773333,150,droite_bas
150,tous,natheal/y,0.813333,150,droite_bas
150,tous,natcity/y,0.503333,150,droite_bas
150,tous,natdrug/y,0.740000,150,droite_bas
150,tous,nateduc/y,0.806667,150,droite_bas
150,tous,natrace/y,0.576667,150,droite_bas
150,tous,natarms/y,0.376667,150,
150,tous,nataid/y,0.186667,150,
150,tous,natfare/y,0.816667,150,droite_bas
150,tous,natroad,0.743333,150,droite_bas
150,tous,natsoc,0.816667,150,droite_bas
150,tous,natmass,0.693333,150,droite_bas
150,tous,natpark,0.616667,150,droite_bas
150,tous,natchld,0.746667,150,droite_bas
150,tous,natsci,0.586667,150,droite_bas
150,tous,natenrgy,0.656667,150,droite_bas
150,tous,fechld,0.711111,150,droite_bas
150,tous,fepresch,0.608889,150,droite_bas
150,tous,fefam,0.633333,150,droite_bas
150,tous,fepol,0.773333,150,droite_bas
150,tous,incom16,0.448333,150,
150,tous,divorced,0.700000,150,
150,tous,conarmy,0.700000,150,
150,tous,conbus,0.446667,150,
150,tous,conclerg,0.300000,150,
150,tous,coneduc,0.556667,150,
150,tous,confed,0.403333,150,
150,tous,confinan,0.436667,150,
150,tous,conjudge,0.450000,150,
150,tous,conlabor,0.510000,150,
150,tous,conlegis,0.300000,150,
150,tous,conmedic,0.696667,150,
150,tous,conpress,0.346667,150,
150,tous,consci,0.710000,150,
150,tous,contv,0.333333,150,
150,tous,happy,0.466667,150,
150,tous,hapmar,0.586538,150,
150,tous,satjob,0.645390,150,
150,tous,unemp,0.580000,150,
150,tous,spkath/y,0.773333,150,
150,tous,colath,0.733333,150,
150,tous,spkcom/y,0.706667,150,
150,tous,colcom/y,0.733333,150,
150,tous,libcom/y,0.780000,150,
150,tous,spkhomo/y,0.920000,150,droite_bas
150,tous,colhomo,0.933333,150,droite_bas
150,tous,libhomo/y,0.860000,150,droite_bas
150,tous,polhitok/y,0.366667,150,
150,tous,polabuse/y,0.940000,150,
150,tous,satfin,0.463333,150,
150,tous,finalter,0.483333,150,
150,tous,finrela,0.413333,150,
150,tous,racdif1,0.560000,150,droite_bas
150,tous,racdif2,0.940000,150,droite_bas
150,tous,racdif3,0.506667,150,droite_bas
150,tous,racdif4,0.733333,150,droite_bas
150,tous,letin1a,0.396667,150,droite_bas
150,tous,parsol,0.475000,150,
150,tous,spanking,0.531111,150,
150,tous,sexeduc,0.853333,150,
150,tous,xmarsex,0.764444,150,
150,tous,homosex,0.691111,150,droite_bas
