perimetre,condition,support_minimal,cellules_minoritaires,rappel,plancher_segment,exces_segment,avantage_sur_B1,avantage_ic_bas,avantage_ic_haut,avantage_p,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p
1052,agents v7,0,3130,0.086262,0.109429,-0.026635,0.006070,-0.009253,0.022001,0.485000,-0.040242,-0.012875,0.000500
1052,agents v7,5,3122,0.086483,0.109745,-0.026712,0.006086,-0.009274,0.022055,0.485000,-0.040301,-0.012890,0.000500
1052,agents v7,10,3109,0.086201,0.110222,-0.027554,0.005468,-0.010063,0.021467,0.536000,-0.041318,-0.013767,0.000500
1052,agents v7,20,3058,0.086985,0.111932,-0.028567,0.004905,-0.010926,0.020943,0.593000,-0.042245,-0.014691,0.000500
1052,agents v8,0,3130,0.207668,0.109429,0.075597,0.127476,0.106505,0.148824,0.000250,0.057692,0.094731,0.000250
1052,agents v8,5,3122,0.208200,0.109745,0.075815,0.127803,0.106792,0.149306,0.000250,0.057890,0.094973,0.000250
1052,agents v8,10,3109,0.209070,0.110222,0.076145,0.128337,0.107154,0.149739,0.000250,0.058090,0.095417,0.000250
1052,agents v8,20,3058,0.212557,0.111932,0.077666,0.130477,0.109040,0.152401,0.000250,0.059136,0.097300,0.000250
1052,PMM k=5,0,3130,0.267732,0.109429,0.150471,0.187540,0.167061,0.208242,0.000250,0.131032,0.170608,0.000250
1052,PMM k=5,5,3122,0.268418,0.109745,0.150905,0.188020,0.167482,0.208867,0.000250,0.131418,0.171199,0.000250
1052,PMM k=5,10,3109,0.269540,0.110222,0.151562,0.188807,0.168186,0.209682,0.000250,0.131960,0.172064,0.000250
1052,PMM k=5,20,3058,0.274035,0.111932,0.154391,0.191956,0.170965,0.213336,0.000250,0.134380,0.175116,0.000250
1052,PMM k=10,0,3130,0.266773,0.109429,0.149391,0.186581,0.166932,0.206941,0.000250,0.130817,0.169293,0.000250
1052,PMM k=10,5,3122,0.267136,0.109745,0.149461,0.186739,0.166985,0.207193,0.000250,0.130799,0.169505,0.000250
1052,PMM k=10,10,3109,0.268253,0.110222,0.150111,0.187520,0.167886,0.208028,0.000250,0.131408,0.170177,0.000250
1052,PMM k=10,20,3058,0.272727,0.111932,0.152915,0.190647,0.170567,0.211428,0.000250,0.133814,0.173210,0.000250
1052,IM m=10 mode des m,0,3130,0.170927,0.109429,0.051839,0.090735,0.074706,0.107885,0.000250,0.036779,0.067571,0.000250
1052,IM m=10 mode des m,5,3122,0.171365,0.109745,0.051988,0.090967,0.074896,0.108248,0.000250,0.036883,0.067760,0.000250
1052,IM m=10 mode des m,10,3109,0.172081,0.110222,0.052214,0.091348,0.075156,0.108600,0.000250,0.037036,0.068049,0.000250
1052,IM m=10 mode des m,20,3058,0.174951,0.111932,0.053321,0.092871,0.076375,0.110337,0.000250,0.037901,0.069443,0.000250
1052,B2 argmax,0,3130,0.051757,0.109429,-0.059033,-0.028435,-0.041639,-0.014999,0.000250,-0.070211,-0.047526,0.000250
1052,B2 argmax,5,3122,0.051890,0.109745,-0.059203,-0.028507,-0.041761,-0.015035,0.000250,-0.070352,-0.047661,0.000250
1052,B2 argmax,10,3109,0.052107,0.110222,-0.059461,-0.028627,-0.041938,-0.015095,0.000250,-0.070643,-0.047870,0.000250
1052,B2 argmax,20,3058,0.052976,0.111932,-0.060290,-0.029104,-0.042615,-0.015353,0.000250,-0.071700,-0.048495,0.000250
1052,B1 argmax,0,3130,0.080192,0.109429,-0.035275,0.000000,0.000000,0.000000,1.000000,-0.044650,-0.026103,0.000250
1052,B1 argmax,5,3122,0.080397,0.109745,-0.035376,0.000000,0.000000,0.000000,1.000000,-0.044752,-0.026167,0.000250
1052,B1 argmax,10,3109,0.080733,0.110222,-0.035530,0.000000,0.000000,0.000000,1.000000,-0.044916,-0.026325,0.000250
1052,B1 argmax,20,3058,0.082080,0.111932,-0.035945,0.000000,0.000000,0.000000,1.000000,-0.045560,-0.026497,0.000250
1052,B3 foret,0,3130,0.022364,0.109429,-0.087830,-0.057827,-0.067692,-0.047923,0.000250,-0.094207,-0.081329,0.000250
1052,B3 foret,5,3122,0.022422,0.109745,-0.088084,-0.057976,-0.067829,-0.048002,0.000250,-0.094539,-0.081558,0.000250
1052,B3 foret,10,3109,0.022515,0.110222,-0.088467,-0.058218,-0.068111,-0.048311,0.000250,-0.094944,-0.081936,0.000250
1052,B3 foret,20,3058,0.022891,0.111932,-0.089800,-0.059189,-0.069248,-0.049158,0.000250,-0.096363,-0.083122,0.000250
1052,B0 tirage,0,3130,0.060383,0.109429,-0.048233,-0.019808,-0.033773,-0.005882,0.006000,-0.059253,-0.037044,0.000250
1052,B0 tirage,5,3122,0.060538,0.109745,-0.048373,-0.019859,-0.033850,-0.005890,0.006000,-0.059391,-0.037146,0.000250
1052,B0 tirage,10,3109,0.060791,0.110222,-0.048583,-0.019942,-0.034020,-0.005913,0.006000,-0.059652,-0.037359,0.000250
1052,B0 tirage,20,3058,0.061805,0.111932,-0.049224,-0.020275,-0.034620,-0.006017,0.006000,-0.060440,-0.037800,0.000250
1052,B0 mode,0,3130,0.000000,0.109429,-0.109429,-0.080192,-0.090966,-0.069617,0.000250,-0.116409,-0.102762,0.000250
1052,B0 mode,5,3122,0.000000,0.109745,-0.109745,-0.080397,-0.091169,-0.069751,0.000250,-0.116728,-0.103037,0.000250
1052,B0 mode,10,3109,0.000000,0.110222,-0.110222,-0.080733,-0.091618,-0.070035,0.000250,-0.117200,-0.103497,0.000250
1052,B0 mode,20,3058,0.000000,0.111932,-0.111932,-0.082080,-0.093077,-0.071244,0.000250,-0.118916,-0.105174,0.000250
150,humains vague 2,0,354,1.000000,0.099378,0.900622,0.929379,0.892437,0.962061,0.000250,0.874824,0.924817,0.000250
150,humains vague 2,5,320,1.000000,0.107580,0.892420,0.921875,0.881248,0.957795,0.000250,0.865158,0.918655,0.000250
