perimetre,seuil,partition,tercile,condition,rappel,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
1052,0.100000,D_logit regression,T1 non deductible,humains vague 2,0.464004,0.038846,0.049497,0.459942,0.421097
1052,0.100000,D_logit regression,T2 intermediaire,humains vague 2,0.529164,0.075884,0.064260,0.527473,0.451588
1052,0.100000,D_logit regression,T3 deductible,humains vague 2,0.651603,0.166992,0.073029,0.647273,0.480280
1052,0.100000,D_logit regression,ensemble,humains vague 2,0.548257,0.092714,0.062262,0.543215,0.450501
1052,0.200000,D_seg segment,T1 non deductible,agents composite,0.278905,0.025439,0.096124,0.278905,0.253466
1052,0.200000,D_seg segment,T2 intermediaire,agents composite,0.341640,0.142424,0.132788,0.341640,0.199216
1052,0.200000,D_seg segment,T3 deductible,agents composite,0.438386,0.334445,0.152986,0.438386,0.103940
1052,0.200000,D_seg segment,ensemble,agents composite,0.355440,0.162376,0.126562,0.350426,0.188050
1052,0.200000,D_logit regression,T1 non deductible,agents composite,0.253707,0.081391,0.095269,0.253985,0.172594
1052,0.200000,D_logit regression,T2 intermediaire,agents composite,0.343979,0.159325,0.136034,0.342852,0.183527
1052,0.200000,D_logit regression,T3 deductible,agents composite,0.468633,0.250066,0.148384,0.458980,0.208913
1052,0.200000,D_logit regression,ensemble,agents composite,0.355440,0.162376,0.126562,0.350426,0.188050
1052,0.200000,D_seg segment,T1 non deductible,agents entretien (v3),0.254078,0.025439,0.096124,0.254078,0.228639
1052,0.200000,D_seg segment,T2 intermediaire,agents entretien (v3),0.336252,0.142424,0.132788,0.336252,0.193828
1052,0.200000,D_seg segment,T3 deductible,agents entretien (v3),0.457283,0.334445,0.152986,0.457283,0.122838
1052,0.200000,D_seg segment,ensemble,agents entretien (v3),0.353213,0.162376,0.126562,0.346012,0.183636
1052,0.200000,D_logit regression,T1 non deductible,agents entretien (v3),0.233339,0.081391,0.095269,0.232850,0.151458
1052,0.200000,D_logit regression,T2 intermediaire,agents entretien (v3),0.337298,0.159325,0.136034,0.335535,0.176209
1052,0.200000,D_logit regression,T3 deductible,agents entretien (v3),0.489001,0.250066,0.148384,0.475051,0.224985
1052,0.200000,D_logit regression,ensemble,agents entretien (v3),0.353213,0.162376,0.126562,0.346012,0.183636
1052,0.200000,D_seg segment,T1 non deductible,agents enquete,0.214752,0.025439,0.096124,0.214752,0.189313
1052,0.200000,D_seg segment,T2 intermediaire,agents enquete,0.272436,0.142424,0.132788,0.272436,0.130012
1052,0.200000,D_seg segment,T3 deductible,agents enquete,0.337402,0.334445,0.152986,0.337402,0.002956
1052,0.200000,D_seg segment,ensemble,agents enquete,0.280484,0.162376,0.126562,0.273145,0.110769
1052,0.200000,D_logit regression,T1 non deductible,agents enquete,0.200587,0.081391,0.095269,0.198280,0.116889
1052,0.200000,D_logit regression,T2 intermediaire,agents enquete,0.283037,0.159325,0.136034,0.279850,0.120525
1052,0.200000,D_logit regression,T3 deductible,agents enquete,0.357830,0.250066,0.148384,0.344235,0.094169
1052,0.200000,D_logit regression,ensemble,agents enquete,0.280484,0.162376,0.126562,0.273145,0.110769
1052,0.200000,D_seg segment,T1 non deductible,agents demographiques (v6),0.179957,0.025439,0.096124,0.179957,0.154518
1052,0.200000,D_seg segment,T2 intermediaire,agents demographiques (v6),0.185385,0.142424,0.132788,0.185385,0.042960
1052,0.200000,D_seg segment,T3 deductible,agents demographiques (v6),0.198031,0.334445,0.152986,0.198031,-0.136414
1052,0.200000,D_seg segment,ensemble,agents demographiques (v6),0.186519,0.162376,0.126562,0.187458,0.025082
1052,0.200000,D_logit regression,T1 non deductible,agents demographiques (v6),0.167997,0.081391,0.095269,0.166756,0.085365
1052,0.200000,D_logit regression,T2 intermediaire,agents demographiques (v6),0.181522,0.159325,0.136034,0.183652,0.024326
1052,0.200000,D_logit regression,T3 deductible,agents demographiques (v6),0.210037,0.250066,0.148384,0.213044,-0.037022
1052,0.200000,D_logit regression,ensemble,agents demographiques (v6),0.186519,0.162376,0.126562,0.187458,0.025082
