perimetre,seuil,partition,tercile,condition,rappel,plancher_segment,plancher_item,rappel_sur_cellules_a_plancher,exces_sur_plancher
150,0.100000,D_logit regression,ensemble,C3,0.219545,0.081344,0.064179,0.221198,0.139854
150,0.100000,D_seg segment,T1 non deductible,B0 mode,0.000000,0.000000,0.052426,0.000000,0.000000
150,0.100000,D_seg segment,T2 intermediaire,B0 mode,0.000000,0.060854,0.064304,0.000000,-0.060854
150,0.100000,D_seg segment,T3 deductible,B0 mode,0.000000,0.202519,0.079338,0.000000,-0.202519
150,0.100000,D_seg segment,ensemble,B0 mode,0.000000,0.081344,0.064179,0.000000,-0.081344
150,0.100000,D_logit regression,T1 non deductible,B0 mode,0.000000,0.031699,0.046974,0.000000,-0.031699
150,0.100000,D_logit regression,T2 intermediaire,B0 mode,0.000000,0.064680,0.066301,0.000000,-0.064680
150,0.100000,D_logit regression,T3 deductible,B0 mode,0.000000,0.146896,0.079263,0.000000,-0.146896
150,0.100000,D_logit regression,ensemble,B0 mode,0.000000,0.081344,0.064179,0.000000,-0.081344
150,0.100000,D_seg segment,T1 non deductible,B0 tirage,0.055147,0.000000,0.052426,0.055147,0.055147
150,0.100000,D_seg segment,T2 intermediaire,B0 tirage,0.071429,0.060854,0.064304,0.071429,0.010575
150,0.100000,D_seg segment,T3 deductible,B0 tirage,0.109005,0.202519,0.079338,0.109005,-0.093515
150,0.100000,D_seg segment,ensemble,B0 tirage,0.081660,0.081344,0.064179,0.076805,-0.004539
150,0.100000,D_logit regression,T1 non deductible,B0 tirage,0.044177,0.031699,0.046974,0.036866,0.005168
150,0.100000,D_logit regression,T2 intermediaire,B0 tirage,0.108434,0.064680,0.066301,0.106977,0.042297
150,0.100000,D_logit regression,T3 deductible,B0 tirage,0.092369,0.146896,0.079263,0.086758,-0.060139
150,0.100000,D_logit regression,ensemble,B0 tirage,0.081660,0.081344,0.064179,0.076805,-0.004539
150,0.100000,D_seg segment,T1 non deductible,B1 argmax,0.011029,0.000000,0.052426,0.011029,0.011029
150,0.100000,D_seg segment,T2 intermediaire,B1 argmax,0.035714,0.060854,0.064304,0.035714,-0.025140
150,0.100000,D_seg segment,T3 deductible,B1 argmax,0.109005,0.202519,0.079338,0.109005,-0.093515
150,0.100000,D_seg segment,ensemble,B1 argmax,0.045515,0.081344,0.064179,0.049155,-0.032189
150,0.100000,D_logit regression,T1 non deductible,B1 argmax,0.000000,0.031699,0.046974,0.000000,-0.031699
150,0.100000,D_logit regression,T2 intermediaire,B1 argmax,0.000000,0.064680,0.066301,0.000000,-0.064680
150,0.100000,D_logit regression,T3 deductible,B1 argmax,0.136546,0.146896,0.079263,0.146119,-0.000778
150,0.100000,D_logit regression,ensemble,B1 argmax,0.045515,0.081344,0.064179,0.049155,-0.032189
150,0.100000,D_seg segment,T1 non deductible,B2 argmax,0.007353,0.000000,0.052426,0.007353,0.007353
150,0.100000,D_seg segment,T2 intermediaire,B2 argmax,0.011905,0.060854,0.064304,0.011905,-0.048949
150,0.100000,D_seg segment,T3 deductible,B2 argmax,0.066351,0.202519,0.079338,0.066351,-0.136169
150,0.100000,D_seg segment,ensemble,B2 argmax,0.026774,0.081344,0.064179,0.027650,-0.053694
150,0.100000,D_logit regression,T1 non deductible,B2 argmax,0.000000,0.031699,0.046974,0.000000,-0.031699
150,0.100000,D_logit regression,T2 intermediaire,B2 argmax,0.000000,0.064680,0.066301,0.000000,-0.064680
150,0.100000,D_logit regression,T3 deductible,B2 argmax,0.080321,0.146896,0.079263,0.082192,-0.064705
150,0.100000,D_logit regression,ensemble,B2 argmax,0.026774,0.081344,0.064179,0.027650,-0.053694
150,0.100000,D_seg segment,T1 non deductible,B3 foret,0.003676,0.000000,0.052426,0.003676,0.003676
150,0.100000,D_seg segment,T2 intermediaire,B3 foret,0.005952,0.060854,0.064304,0.005952,-0.054902
150,0.100000,D_seg segment,T3 deductible,B3 foret,0.014218,0.202519,0.079338,0.014218,-0.188301
150,0.100000,D_seg segment,ensemble,B3 foret,0.008032,0.081344,0.064179,0.007680,-0.073664
150,0.100000,D_logit regression,T1 non deductible,B3 foret,0.000000,0.031699,0.046974,0.000000,-0.031699
150,0.100000,D_logit regression,T2 intermediaire,B3 foret,0.000000,0.064680,0.066301,0.000000,-0.064680
150,0.100000,D_logit regression,T3 deductible,B3 foret,0.024096,0.146896,0.079263,0.022831,-0.124065
150,0.100000,D_logit regression,ensemble,B3 foret,0.008032,0.081344,0.064179,0.007680,-0.073664
150,0.100000,D_seg segment,T1 non deductible,humains vague 2,0.415441,0.000000,0.052426,0.415441,0.415441
150,0.100000,D_seg segment,T2 intermediaire,humains vague 2,0.547619,0.060854,0.064304,0.547619,0.486765
150,0.100000,D_seg segment,T3 deductible,humains vague 2,0.535545,0.202519,0.079338,0.535545,0.333026
150,0.100000,D_seg segment,ensemble,humains vague 2,0.473896,0.081344,0.064179,0.488479,0.407135
150,0.100000,D_logit regression,T1 non deductible,humains vague 2,0.385542,0.031699,0.046974,0.405530,0.373831
150,0.100000,D_logit regression,T2 intermediaire,humains vague 2,0.449799,0.064680,0.066301,0.465116,0.400437
150,0.100000,D_logit regression,T3 deductible,humains vague 2,0.586345,0.146896,0.079263,0.593607,0.446711
150,0.100000,D_logit regression,ensemble,humains vague 2,0.473896,0.081344,0.064179,0.488479,0.407135
150,0.200000,D_seg segment,T1 non deductible,agents composite,0.248313,0.023444,0.092343,0.248313,0.224869
150,0.200000,D_seg segment,T2 intermediaire,agents composite,0.360347,0.134594,0.129836,0.360347,0.225754
150,0.200000,D_seg segment,T3 deductible,agents composite,0.459270,0.333206,0.150234,0.459270,0.126064
150,0.200000,D_seg segment,ensemble,agents composite,0.352113,0.162136,0.123149,0.354478,0.192342
150,0.200000,D_logit regression,T1 non deductible,agents composite,0.232298,0.072715,0.091031,0.237027,0.164311
150,0.200000,D_logit regression,T2 intermediaire,agents composite,0.319652,0.153099,0.130554,0.320388,0.167289
150,0.200000,D_logit regression,T3 deductible,agents composite,0.504348,0.261111,0.147872,0.507042,0.245932
150,0.200000,D_logit regression,ensemble,agents composite,0.352113,0.162136,0.123149,0.354478,0.192342
150,0.200000,D_seg segment,T1 non deductible,agents entretien (v3),0.221323,0.023444,0.092343,0.221323,0.197878
150,0.200000,D_seg segment,T2 intermediaire,agents entretien (v3),0.329957,0.134594,0.129836,0.329957,0.195363
150,0.200000,D_seg segment,T3 deductible,agents entretien (v3),0.484551,0.333206,0.150234,0.484551,0.151345
150,0.200000,D_seg segment,ensemble,agents entretien (v3),0.345070,0.162136,0.123149,0.343750,0.181614
150,0.200000,D_logit regression,T1 non deductible,agents entretien (v3),0.191304,0.072715,0.091031,0.194951,0.122236
150,0.200000,D_logit regression,T2 intermediaire,agents entretien (v3),0.332090,0.153099,0.130554,0.323162,0.170063
150,0.200000,D_logit regression,T3 deductible,agents entretien (v3),0.511801,0.261111,0.147872,0.514085,0.252974
150,0.200000,D_logit regression,ensemble,agents entretien (v3),0.345070,0.162136,0.123149,0.343750,0.181614
150,0.200000,D_seg segment,T1 non deductible,agents enquete,0.183536,0.023444,0.092343,0.183536,0.160091
150,0.200000,D_seg segment,T2 intermediaire,agents enquete,0.261939,0.134594,0.129836,0.261939,0.127346
150,0.200000,D_seg segment,T3 deductible,agents enquete,0.332865,0.333206,0.150234,0.332865,-0.000340
150,0.200000,D_seg segment,ensemble,agents enquete,0.259321,0.162136,0.123149,0.258396,0.096260
150,0.200000,D_logit regression,T1 non deductible,agents enquete,0.180124,0.072715,0.091031,0.183731,0.111015
150,0.200000,D_logit regression,T2 intermediaire,agents enquete,0.257463,0.153099,0.130554,0.251040,0.097941
150,0.200000,D_logit regression,T3 deductible,agents enquete,0.340373,0.261111,0.147872,0.340845,0.079735
150,0.200000,D_logit regression,ensemble,agents enquete,0.259321,0.162136,0.123149,0.258396,0.096260
150,0.200000,D_seg segment,T1 non deductible,agents demographiques (v6),0.171390,0.023444,0.092343,0.171390,0.147946
150,0.200000,D_seg segment,T2 intermediaire,agents demographiques (v6),0.162084,0.134594,0.129836,0.162084,0.027490
150,0.200000,D_seg segment,T3 deductible,agents demographiques (v6),0.183989,0.333206,0.150234,0.183989,-0.149217
150,0.200000,D_seg segment,ensemble,agents demographiques (v6),0.172742,0.162136,0.123149,0.172575,0.010439
150,0.200000,D_logit regression,T1 non deductible,agents demographiques (v6),0.149068,0.072715,0.091031,0.157083,0.084367
150,0.200000,D_logit regression,T2 intermediaire,agents demographiques (v6),0.171642,0.153099,0.130554,0.171983,0.018884
150,0.200000,D_logit regression,T3 deductible,agents demographiques (v6),0.197516,0.261111,0.147872,0.188732,-0.072378
150,0.200000,D_logit regression,ensemble,agents demographiques (v6),0.172742,0.162136,0.123149,0.172575,0.010439
150,0.200000,D_seg segment,T1 non deductible,agents v7,0.074224,0.023444,0.092343,0.074224,0.050780
150,0.200000,D_seg segment,T2 intermediaire,agents v7,0.125904,0.134594,0.129836,0.125904,-0.008689
150,0.200000,D_seg segment,T3 deductible,agents v7,0.161517,0.333206,0.150234,0.161517,-0.171689
150,0.200000,D_seg segment,ensemble,agents v7,0.121375,0.162136,0.123149,0.119869,-0.042266
150,0.200000,D_logit regression,T1 non deductible,agents v7,0.068323,0.072715,0.091031,0.064516,-0.008199
150,0.200000,D_logit regression,T2 intermediaire,agents v7,0.106965,0.153099,0.130554,0.104022,-0.049077
150,0.200000,D_logit regression,T3 deductible,agents v7,0.188820,0.261111,0.147872,0.191549,-0.069561
150,0.200000,D_logit regression,ensemble,agents v7,0.121375,0.162136,0.123149,0.119869,-0.042266
150,0.200000,D_seg segment,T1 non deductible,agents v8,0.086370,0.023444,0.092343,0.086370,0.062925
150,0.200000,D_seg segment,T2 intermediaire,agents v8,0.127352,0.134594,0.129836,0.127352,-0.007242
150,0.200000,D_seg segment,T3 deductible,agents v8,0.346910,0.333206,0.150234,0.346910,0.013704
150,0.200000,D_seg segment,ensemble,agents v8,0.196769,0.162136,0.123149,0.186101,0.023965
150,0.200000,D_logit regression,T1 non deductible,agents v8,0.073292,0.072715,0.091031,0.070126,-0.002589
150,0.200000,D_logit regression,T2 intermediaire,agents v8,0.146766,0.153099,0.130554,0.137309,-0.015790
150,0.200000,D_logit regression,T3 deductible,agents v8,0.370186,0.261111,0.147872,0.352113,0.091002
150,0.200000,D_logit regression,ensemble,agents v8,0.196769,0.162136,0.123149,0.186101,0.023965
150,0.200000,D_seg segment,T1 non deductible,C2,0.120108,0.023444,0.092343,0.120108,0.096664
150,0.200000,D_seg segment,T2 intermediaire,C2,0.163531,0.134594,0.129836,0.163531,0.028937
150,0.200000,D_seg segment,T3 deductible,C2,0.321629,0.333206,0.150234,0.321629,-0.011576
150,0.200000,D_seg segment,ensemble,C2,0.203811,0.162136,0.123149,0.201026,0.038890
150,0.200000,D_logit regression,T1 non deductible,C2,0.089441,0.072715,0.091031,0.088359,0.015644
150,0.200000,D_logit regression,T2 intermediaire,C2,0.167910,0.153099,0.130554,0.167822,0.014724
150,0.200000,D_logit regression,T3 deductible,C2,0.354037,0.261111,0.147872,0.347887,0.086777
150,0.200000,D_logit regression,ensemble,C2,0.203811,0.162136,0.123149,0.201026,0.038890
150,0.200000,D_seg segment,T1 non deductible,C3,0.237517,0.023444,0.092343,0.237517,0.214073
150,0.200000,D_seg segment,T2 intermediaire,C3,0.299566,0.134594,0.129836,0.299566,0.164972
150,0.200000,D_seg segment,T3 deductible,C3,0.314607,0.333206,0.150234,0.314607,-0.018599
150,0.200000,D_seg segment,ensemble,C3,0.277962,0.162136,0.123149,0.283116,0.120980
150,0.200000,D_logit regression,T1 non deductible,C3,0.222360,0.072715,0.091031,0.228612,0.155896
150,0.200000,D_logit regression,T2 intermediaire,C3,0.278607,0.153099,0.130554,0.278779,0.125681
150,0.200000,D_logit regression,T3 deductible,C3,0.332919,0.261111,0.147872,0.342254,0.081143
150,0.200000,D_logit regression,ensemble,C3,0.277962,0.162136,0.123149,0.283116,0.120980
150,0.200000,D_seg segment,T1 non deductible,B0 mode,0.000000,0.023444,0.092343,0.000000,-0.023444
150,0.200000,D_seg segment,T2 intermediaire,B0 mode,0.000000,0.134594,0.129836,0.000000,-0.134594
150,0.200000,D_seg segment,T3 deductible,B0 mode,0.000000,0.333206,0.150234,0.000000,-0.333206
150,0.200000,D_seg segment,ensemble,B0 mode,0.000000,0.162136,0.123149,0.000000,-0.162136
150,0.200000,D_logit regression,T1 non deductible,B0 mode,0.000000,0.072715,0.091031,0.000000,-0.072715
150,0.200000,D_logit regression,T2 intermediaire,B0 mode,0.000000,0.153099,0.130554,0.000000,-0.153099
150,0.200000,D_logit regression,T3 deductible,B0 mode,0.000000,0.261111,0.147872,0.000000,-0.261111
150,0.200000,D_logit regression,ensemble,B0 mode,0.000000,0.162136,0.123149,0.000000,-0.162136
150,0.200000,D_seg segment,T1 non deductible,B0 tirage,0.075574,0.023444,0.092343,0.075574,0.052129
150,0.200000,D_seg segment,T2 intermediaire,B0 tirage,0.134588,0.134594,0.129836,0.134588,-0.000006
150,0.200000,D_seg segment,T3 deductible,B0 tirage,0.134831,0.333206,0.150234,0.134831,-0.198374
150,0.200000,D_seg segment,ensemble,B0 tirage,0.114747,0.162136,0.123149,0.114272,-0.047863
150,0.200000,D_logit regression,T1 non deductible,B0 tirage,0.088199,0.072715,0.091031,0.086957,0.014241
150,0.200000,D_logit regression,T2 intermediaire,B0 tirage,0.136816,0.153099,0.130554,0.140083,-0.013016
150,0.200000,D_logit regression,T3 deductible,B0 tirage,0.119255,0.261111,0.147872,0.115493,-0.145618
150,0.200000,D_logit regression,ensemble,B0 tirage,0.114747,0.162136,0.123149,0.114272,-0.047863
150,0.200000,D_seg segment,T1 non deductible,B1 argmax,0.031039,0.023444,0.092343,0.031039,0.007595
150,0.200000,D_seg segment,T2 intermediaire,B1 argmax,0.081042,0.134594,0.129836,0.081042,-0.053552
150,0.200000,D_seg segment,T3 deductible,B1 argmax,0.278090,0.333206,0.150234,0.278090,-0.055116
150,0.200000,D_seg segment,ensemble,B1 argmax,0.131317,0.162136,0.123149,0.129198,-0.032938
150,0.200000,D_logit regression,T1 non deductible,B1 argmax,0.000000,0.072715,0.091031,0.000000,-0.072715
150,0.200000,D_logit regression,T2 intermediaire,B1 argmax,0.000000,0.153099,0.130554,0.000000,-0.153099
150,0.200000,D_logit regression,T3 deductible,B1 argmax,0.393789,0.261111,0.147872,0.390141,0.129030
150,0.200000,D_logit regression,ensemble,B1 argmax,0.131317,0.162136,0.123149,0.129198,-0.032938
150,0.200000,D_seg segment,T1 non deductible,B2 argmax,0.028340,0.023444,0.092343,0.028340,0.004896
150,0.200000,D_seg segment,T2 intermediaire,B2 argmax,0.073806,0.134594,0.129836,0.073806,-0.060788
150,0.200000,D_seg segment,T3 deductible,B2 argmax,0.185393,0.333206,0.150234,0.185393,-0.147812
150,0.200000,D_seg segment,ensemble,B2 argmax,0.100249,0.162136,0.123149,0.095149,-0.066986
150,0.200000,D_logit regression,T1 non deductible,B2 argmax,0.036025,0.072715,0.091031,0.040673,-0.032042
150,0.200000,D_logit regression,T2 intermediaire,B2 argmax,0.068408,0.153099,0.130554,0.066574,-0.086525
150,0.200000,D_logit regression,T3 deductible,B2 argmax,0.196273,0.261111,0.147872,0.178873,-0.082237
150,0.200000,D_logit regression,ensemble,B2 argmax,0.100249,0.162136,0.123149,0.095149,-0.066986
150,0.200000,D_seg segment,T1 non deductible,B3 foret,0.006748,0.023444,0.092343,0.006748,-0.016697
150,0.200000,D_seg segment,T2 intermediaire,B3 foret,0.020260,0.134594,0.129836,0.020260,-0.114333
150,0.200000,D_seg segment,T3 deductible,B3 foret,0.127809,0.333206,0.150234,0.127809,-0.205397
150,0.200000,D_seg segment,ensemble,B3 foret,0.054267,0.162136,0.123149,0.051306,-0.110830
150,0.200000,D_logit regression,T1 non deductible,B3 foret,0.000000,0.072715,0.091031,0.000000,-0.072715
150,0.200000,D_logit regression,T2 intermediaire,B3 foret,0.002488,0.153099,0.130554,0.002774,-0.150325
150,0.200000,D_logit regression,T3 deductible,B3 foret,0.160248,0.261111,0.147872,0.152113,-0.108998
150,0.200000,D_logit regression,ensemble,B3 foret,0.054267,0.162136,0.123149,0.051306,-0.110830
150,0.200000,D_seg segment,T1 non deductible,humains vague 2,0.502024,0.023444,0.092343,0.502024,0.478580
150,0.200000,D_seg segment,T2 intermediaire,humains vague 2,0.565847,0.134594,0.129836,0.565847,0.431253
150,0.200000,D_seg segment,T3 deductible,humains vague 2,0.688202,0.333206,0.150234,0.688202,0.354997
150,0.200000,D_seg segment,ensemble,humains vague 2,0.582436,0.162136,0.123149,0.584422,0.422286
150,0.200000,D_logit regression,T1 non deductible,humains vague 2,0.470807,0.072715,0.091031,0.490884,0.418168
150,0.200000,D_logit regression,T2 intermediaire,humains vague 2,0.580846,0.153099,0.130554,0.578363,0.425264
150,0.200000,D_logit regression,T3 deductible,humains vague 2,0.695652,0.261111,0.147872,0.684507,0.423396
150,0.200000,D_logit regression,ensemble,humains vague 2,0.582436,0.162136,0.123149,0.584422,0.422286
