perimetre,bande_part_reelle,n_modalites,part_reelle_moyenne,part_decrite_moyenne,rapport_decrit_sur_reel,ecart_en_points,part_decrite_mediane
tous modeles,[0.00 ; 0.01[,376,0.0034602387556783034,0.11906614775723366,34.40980700012227,11.560590900155535,0.1
tous modeles,[0.01 ; 0.02[,306,0.01625002809465205,0.13560857613580798,8.345128718912019,11.935854804115593,0.1
tous modeles,[0.02 ; 0.05[,802,0.034535953335408646,0.1363129158920111,3.9469857562105775,10.177696255660246,0.1
tous modeles,[0.05 ; 0.10[,769,0.07279092262880998,0.1867038944759527,2.564933754556602,11.391297184714272,0.15
tous modeles,[0.10 ; 0.20[,1470,0.1498399673997397,0.23002555558621346,1.5351415218381383,8.018558818647376,0.2
tous modeles,[0.20 ; 0.30[,1241,0.2519444853373861,0.30150021985231784,1.196693070890479,4.955573451493173,0.3
tous modeles,[0.30 ; 0.40[,1065,0.34954983635123743,0.34074267557662663,0.9748042772196834,-0.88071607746108,0.32
tous modeles,[0.40 ; 0.50[,796,0.44323849793051995,0.3505961936680934,0.7909876856478547,-9.264230426242653,0.35
tous modeles,[0.50 ; 0.60[,597,0.5463195583909095,0.4189808969388963,0.766915426152658,-12.733866145201322,0.4
tous modeles,[0.60 ; 0.75[,654,0.665455684660641,0.4664987707621274,0.701021542854541,-19.895691389851354,0.45
tous modeles,[0.75 ; 1.01[,642,0.8733260357925876,0.6563084112149533,0.7515044603237097,-21.70176245776343,0.72
Qwen3-30B-A3B-Instruct-2507,[0.00 ; 0.01[,128,0.0034857827384757764,0.12296875000000002,35.27722730469725,11.948296726152424,0.1
Qwen3-30B-A3B-Instruct-2507,[0.01 ; 0.02[,105,0.016332841942052742,0.0940952380952381,5.761106268528063,7.776239615318536,0.08
Qwen3-30B-A3B-Instruct-2507,[0.02 ; 0.05[,282,0.034622670263869074,0.10882978723404255,3.1433100452570595,7.420711697017348,0.1
Qwen3-30B-A3B-Instruct-2507,[0.05 ; 0.10[,261,0.07278445487634126,0.15731916869847906,2.161439128255613,8.45347138221378,0.13
Qwen3-30B-A3B-Instruct-2507,[0.10 ; 0.20[,492,0.14980227582160943,0.2096951219512195,1.3998126583933403,5.989284612961007,0.18
Qwen3-30B-A3B-Instruct-2507,[0.20 ; 0.30[,414,0.2519170113412837,0.2930115161274582,1.1631271527372236,4.109450478617449,0.3
Qwen3-30B-A3B-Instruct-2507,[0.30 ; 0.40[,356,0.34954674665708085,0.3445505617977528,0.9857066761252694,-0.4996184859328068,0.32
Qwen3-30B-A3B-Instruct-2507,[0.40 ; 0.50[,266,0.4432814992880975,0.36538695222905754,0.824277468867667,-7.789454705903998,0.38
Qwen3-30B-A3B-Instruct-2507,[0.50 ; 0.60[,201,0.5461171230483178,0.4346268656716419,0.7958491820319433,-11.149025737667595,0.4
Qwen3-30B-A3B-Instruct-2507,[0.60 ; 0.75[,218,0.6654556846606411,0.49330275229357795,0.7413006811192017,-17.215293236706312,0.48
Qwen3-30B-A3B-Instruct-2507,[0.75 ; 1.01[,214,0.8733260357925874,0.7308411214953273,0.8368479714818672,-14.248491429726007,0.81
Qwen3-4B-Instruct-2507,[0.00 ; 0.01[,120,0.0034057449257103604,0.15291379892037787,44.898781986288526,14.950805399466752,0.15
Qwen3-4B-Instruct-2507,[0.01 ; 0.02[,95,0.016086561051829665,0.1440655189216552,8.955644308158043,12.797895786982554,0.1
Qwen3-4B-Instruct-2507,[0.02 ; 0.05[,234,0.03434340162490742,0.17433055855664814,5.076100511552577,13.998715693174072,0.15
Qwen3-4B-Instruct-2507,[0.05 ; 0.10[,246,0.0728860823672348,0.214948555946671,2.9491028872104526,14.206247357943619,0.15
Qwen3-4B-Instruct-2507,[0.10 ; 0.20[,484,0.1500006608747899,0.2519517056513702,1.6796706373292711,10.195104477658031,0.2
Qwen3-4B-Instruct-2507,[0.20 ; 0.30[,413,0.25199956637557686,0.30669492774808405,1.2170454582885668,5.469536137250719,0.3
