perimetre,condition,groupe,metrique,moyenne,ic_bas,ic_haut
1052,humains vague 2,sensible,exactitude,0.769582,0.761008,0.778121
1052,humains vague 2,sensible,distance,0.016365,0.012153,0.020933
1052,humains vague 2,sensible,ecart_desirabilite,0.001720,-0.003446,0.006684
1052,humains vague 2,investiguer,exactitude,0.800820,0.792699,0.808862
1052,humains vague 2,investiguer,distance,0.014089,0.010255,0.018359
1052,humains vague 2,investiguer,ecart_desirabilite,0.000552,-0.005995,0.007216
1052,humains vague 2,temoin,exactitude,0.795234,0.789059,0.801155
1052,humains vague 2,temoin,distance,0.016728,0.014884,0.018434
1052,humains vague 2,temoin,ecart_desirabilite,-0.004829,-0.008003,-0.001560
1052,humains vague 2,sensible+investiguer,exactitude,0.785826,0.778589,0.792433
1052,humains vague 2,sensible+investiguer,distance,0.015181,0.012279,0.018479
1052,humains vague 2,sensible+investiguer,ecart_desirabilite,0.001239,-0.003024,0.005328
1052,humains vague 2,sensible moins temoin,exactitude,-0.025652,-0.032968,-0.018749
1052,humains vague 2,sensible+investiguer moins temoin,exactitude,-0.009408,-0.014699,-0.003770
1052,humains vague 2,sensible moins temoin,distance,-0.000363,-0.004896,0.004726
1052,humains vague 2,sensible+investiguer moins temoin,distance,-0.001547,-0.004606,0.001724
1052,humains vague 2,sensible moins temoin,ecart_desirabilite,0.006550,0.001114,0.012110
1052,humains vague 2,sensible+investiguer moins temoin,ecart_desirabilite,0.006068,0.001379,0.010924
1052,agents composite,sensible,exactitude,0.614349,0.605194,0.623338
1052,agents composite,sensible,distance,0.133712,0.127426,0.140201
1052,agents composite,sensible,ecart_desirabilite,-0.041375,-0.048229,-0.034761
1052,agents composite,investiguer,exactitude,0.679462,0.671687,0.687339
1052,agents composite,investiguer,distance,0.056208,0.051185,0.061249
1052,agents composite,investiguer,ecart_desirabilite,-0.033438,-0.043364,-0.023575
1052,agents composite,temoin,exactitude,0.690322,0.685813,0.695308
1052,agents composite,temoin,distance,0.075181,0.072469,0.077691
1052,agents composite,temoin,ecart_desirabilite,-0.024155,-0.028777,-0.019107
1052,agents composite,sensible+investiguer,exactitude,0.648208,0.641403,0.654866
1052,agents composite,sensible+investiguer,distance,0.093410,0.089511,0.097569
1052,agents composite,sensible+investiguer,ecart_desirabilite,-0.038107,-0.043730,-0.032975
1052,agents composite,sensible moins temoin,exactitude,-0.075973,-0.084603,-0.067187
1052,agents composite,sensible+investiguer moins temoin,exactitude,-0.042114,-0.048009,-0.036136
1052,agents composite,sensible moins temoin,distance,0.058531,0.052027,0.065715
1052,agents composite,sensible+investiguer moins temoin,distance,0.018228,0.013419,0.023268
1052,agents composite,sensible moins temoin,ecart_desirabilite,-0.017220,-0.023533,-0.010594
1052,agents composite,sensible+investiguer moins temoin,ecart_desirabilite,-0.013952,-0.020056,-0.007637
