condition,n_cellules,exactitude,ic_bas,ic_haut,normalise,part_diversite_humaine,accord_par_paires,famille,n_items,plafond_humain_famille
agents entretien (v3),1650,0.741212,0.710909,0.770924,0.892701,0.814629,0.731413,libertes civiles (spk/col/lib),11,0.830303
agents enquete,1650,0.787879,0.759985,0.814545,0.948905,0.969063,0.672963,libertes civiles (spk/col/lib),11,0.830303
agents demographiques (v6),1650,0.714545,0.682424,0.746667,0.860584,0.676096,0.792792,libertes civiles (spk/col/lib),11,0.830303
agents v7,1650,0.717576,0.684242,0.749697,0.864234,0.477954,0.867651,libertes civiles (spk/col/lib),11,0.830303
agents v8,1650,0.680606,0.641212,0.720606,0.819708,0.850176,0.717690,libertes civiles (spk/col/lib),11,0.830303
B0 mode,1650,0.755758,0.726667,0.784242,0.910219,0.000000,1.000000,libertes civiles (spk/col/lib),11,0.830303
B0 tirage,1650,0.660606,0.636348,0.686667,0.795620,0.977933,0.661070,libertes civiles (spk/col/lib),11,0.830303
B1 argmax,1650,0.744848,0.713939,0.774545,0.897080,0.518694,0.840293,libertes civiles (spk/col/lib),11,0.830303
B2 argmax,1650,0.792121,0.766667,0.816970,0.954015,0.451878,0.861053,libertes civiles (spk/col/lib),11,0.830303
C2,750,0.689333,0.658667,0.717333,0.779789,0.284000,0.913790,fin de vie (suicide/letdie),5,0.884000
C3,750,0.777333,0.749333,0.804000,0.879336,0.641748,0.763991,fin de vie (suicide/letdie),5,0.884000
C3F,300,0.686667,0.620000,0.750000,0.776772,0.635564,0.745311,fin de vie (suicide/letdie),5,0.884000
humains vague 2,750,0.884000,0.854667,0.912000,1.000000,0.963761,0.631946,fin de vie (suicide/letdie),5,0.884000
agents composite,750,0.786667,0.760000,0.812000,0.889894,0.913459,0.652116,fin de vie (suicide/letdie),5,0.884000
agents entretien (v3),750,0.744000,0.706667,0.778667,0.841629,0.572486,0.795635,fin de vie (suicide/letdie),5,0.884000
agents enquete,750,0.796000,0.761300,0.826667,0.900452,0.871616,0.661691,fin de vie (suicide/letdie),5,0.884000
agents demographiques (v6),750,0.710667,0.672000,0.748000,0.803922,0.789550,0.696054,fin de vie (suicide/letdie),5,0.884000
agents v7,750,0.742667,0.705300,0.778667,0.840121,0.426554,0.866255,fin de vie (suicide/letdie),5,0.884000
agents v8,750,0.696000,0.659967,0.730667,0.787330,0.798950,0.690394,fin de vie (suicide/letdie),5,0.884000
B0 mode,750,0.736000,0.696000,0.773333,0.832579,0.000000,1.000000,fin de vie (suicide/letdie),5,0.884000
B0 tirage,750,0.606667,0.568000,0.645333,0.686275,0.987797,0.619347,fin de vie (suicide/letdie),5,0.884000
B1 argmax,750,0.748000,0.709333,0.784000,0.846154,0.591061,0.803472,fin de vie (suicide/letdie),5,0.884000
B2 argmax,750,0.850667,0.818667,0.878667,0.962293,0.807220,0.707096,fin de vie (suicide/letdie),5,0.884000
C2,750,0.422667,0.386667,0.458700,0.630219,0.781320,0.507347,roles de genre (fe*),5,0.670667
C3,750,0.497333,0.462667,0.533367,0.741551,0.733579,0.497647,roles de genre (fe*),5,0.670667
C3F,300,0.453333,0.403333,0.510000,0.675944,0.579021,0.615141,roles de genre (fe*),5,0.670667
humains vague 2,750,0.670667,0.630667,0.710700,1.000000,1.011484,0.356779,roles de genre (fe*),5,0.670667
agents composite,750,0.521333,0.483967,0.557333,0.777336,0.943978,0.399177,roles de genre (fe*),5,0.670667
agents entretien (v3),750,0.461333,0.418667,0.505333,0.687873,0.929268,0.421136,roles de genre (fe*),5,0.670667
agents enquete,750,0.485333,0.444000,0.525333,0.723658,0.941278,0.397228,roles de genre (fe*),5,0.670667
agents demographiques (v6),750,0.457333,0.416000,0.500000,0.681909,0.660066,0.584268,roles de genre (fe*),5,0.670667
agents v7,750,0.445333,0.406667,0.485367,0.664016,0.656227,0.579060,roles de genre (fe*),5,0.670667
agents v8,750,0.465333,0.425333,0.504000,0.693837,0.965486,0.398676,roles de genre (fe*),5,0.670667
B0 mode,750,0.478667,0.437333,0.520000,0.713718,0.119296,0.903356,roles de genre (fe*),5,0.670667
B0 tirage,750,0.349333,0.316000,0.384000,0.520875,0.986978,0.381673,roles de genre (fe*),5,0.670667
B1 argmax,750,0.464000,0.426633,0.501333,0.691849,0.804925,0.493029,roles de genre (fe*),5,0.670667
B2 argmax,750,0.525333,0.484000,0.565333,0.783300,0.630620,0.580922,roles de genre (fe*),5,0.670667
