configuration,groupe,fidelite_plancher,exactitude,tau_etoile,fuite_top1,fuite_predite,residu,rho_spearman_fidelite_fuite,rho_ic_bas,rho_ic_haut,regression_pente,regression_r,regression_p,rho_style_8llm,rho_style_8llm_p
Demographics Only - GPT4.1-mini,demographie,0.5560455260191556,0.4995875561108797,0.02065,0.021258503401360544,0.025502322436898095,-0.0042438190355375514,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
JSON Persona - GPT4.1,LLM,0.7076865295873568,0.5738199361377204,0.0725,0.2068027210884354,0.12362388053151974,0.08317884055691566,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
JSON Persona - GPT4.1-mini,LLM,0.6754925865815253,0.5438595238095238,0.0877,0.12255,0.08402172392901008,0.03852827607098992,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
Text Persona (Default Temperature) - GPT4.1-mini,LLM,0.6135322940164373,0.5477558540422972,0.10245,0.05580660835762876,0.08917195612084694,-0.03336534776321818,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
Text Persona (Reasoning) - GPT4.1-mini,LLM,0.6554242375063742,0.5435061779813966,0.0936,0.09341593780369291,0.08355466571008263,0.009861272093610277,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
Text Persona (Repeating Questions) - GPT4.1-mini,LLM,0.6365415881019224,0.5488601392938127,0.12885,0.07354227405247814,0.09063161819042409,-0.017089344137945953,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
Text Persona - GPT4.1-mini,LLM,0.6234878347298128,0.5529706950807534,0.06125,0.055272108843537414,0.0960650171775459,-0.04079290833400848,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
Text Persona - Gemini-Flash2.5,LLM,0.6976434594998515,0.550473182470267,0.08435,0.13117103984450923,0.09276376469698033,0.038407275147528896,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
B0 tirage,statistique,-0.0013986341665557,0.4430448539960201,,0.0009475218658892129,-0.04923673386688765,0.050184255732776864,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
B1 argmax,statistique,0.1014412331519869,0.5183115252903883,,0.003061224489795918,0.05025196711951185,-0.04719074262971593,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
B2 argmax,statistique,0.1164003251034407,0.530454035355639,,0.0007774538386783285,0.0663021329144281,-0.06552467907574977,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
PMM k=10,statistique,0.1363163318506647,0.4909913114905826,,0.002186588921282799,0.014139667546928636,-0.011953078625645836,0.9580419580419581,0.9300699300699302,0.9930069930069931,1.3218161408692954,0.7241153353807571,0.007745188723911471,-0.11904761904761905,0.7788857260523796
