source,famille,statistique,taux,valeur_moyenne,ecart_a_la_reference,z,p_bilateral,puissance_empirique,n_tirages,taux_detectable_alpha5,taux_detectable_holm27,courbe_a,courbe_b,courbe_r2,p_holm
B0 segment,tirage dans le segment,A,0.05,-0.06376236552741948,0.00479939576561933,1.6440502399535357,0.10016582518822044,0.25,20,0.07780000000000001,0.11105000000000001,0.10795966090199353,-0.03584323537121253,0.9998578739830782,1.0
B0 segment,tirage dans le segment,A,0.1,-0.058317436278789644,0.01024432501424917,3.5092302907145196,0.0004494056002588404,1.0,20,0.07780000000000001,0.11105000000000001,0.10795966090199353,-0.03584323537121253,0.9998578739830782,
B0 segment,tirage dans le segment,A,0.25,-0.04350516218723002,0.02505659910580879,8.583227927861591,9.22473216927534e-18,1.0,20,0.07780000000000001,0.11105000000000001,0.10795966090199353,-0.03584323537121253,0.9998578739830782,
B0 segment,tirage dans le segment,A,0.5,-0.023606643066797932,0.04495511822624088,15.399537049317185,1.6484528838792622e-53,1.0,20,0.07780000000000001,0.11105000000000001,0.10795966090199353,-0.03584323537121253,0.9998578739830782,
B0 segment,tirage dans le segment,B,0.05,0.039491137235983256,-0.002724924922618638,-3.1634546118502396,0.0015590866051964922,1.0,20,0.0451,0.06375,-0.053687594907167756,0.00376059152861928,0.9999934466507527,0.03429990531432283
B0 segment,tirage dans le segment,B,0.1,0.03693950817282451,-0.005276553985777387,-6.125724383240322,9.027195393368438e-10,1.0,20,0.0451,0.06375,-0.053687594907167756,0.00376059152861928,0.9999934466507527,
B0 segment,tirage dans le segment,B,0.25,0.02901223746116006,-0.013203824697441833,-15.328752651667191,4.9133099172525205e-53,1.0,20,0.0451,0.06375,-0.053687594907167756,0.00376059152861928,0.9999934466507527,
B0 segment,tirage dans le segment,B,0.5,0.016314968805444675,-0.02590109335315722,-30.069427799598916,1.2167715126651092e-198,1.0,20,0.0451,0.06375,-0.053687594907167756,0.00376059152861928,0.9999934466507527,
B0 segment,tirage dans le segment,C,0.05,0.026920152091254756,-0.00031368821292775476,-0.49621951629290195,0.6197395430203427,0.0,20,0.29745,0.4274,-0.0061943388341833185,0.0008070254853929108,0.9998770442193761,1.0
B0 segment,tirage dans le segment,C,0.1,0.026653992395437264,-0.0005798479087452471,-0.9172542573899152,0.35900942108597356,0.05,20,0.29745,0.4274,-0.0061943388341833185,0.0008070254853929108,0.9998770442193761,
B0 segment,tirage dans le segment,C,0.25,0.025717680608365025,-0.0015161596958174865,-2.3983943287490344,0.016467127072437145,0.75,20,0.29745,0.4274,-0.0061943388341833185,0.0008070254853929108,0.9998770442193761,
B0 segment,tirage dans le segment,C,0.5,0.024341730038022813,-0.0028921102661596983,-4.574993570670196,4.762346111843765e-06,1.0,20,0.29745,0.4274,-0.0061943388341833185,0.0008070254853929108,0.9998770442193761,
C2,modele a etiquette,A,0.05,-0.0830495537444985,-0.014487792451459688,-4.962845287076608,6.946791708892281e-07,1.0,20,0.030350000000000002,0.04115,-0.23895396512725142,-1.0160376780388443,1.0,1.7366979272230705e-05
C2,modele a etiquette,A,0.1,-0.10261753458615241,-0.0340557732931136,-11.665927335151027,1.9031802301770653e-31,1.0,20,0.030350000000000002,0.04115,-0.23895396512725142,-1.0160376780388443,1.0,
C2,modele a etiquette,B,0.05,0.044334065309759994,0.0021180031511581,2.458859244461521,0.013937925149804865,0.85,20,0.0543,0.06705,0.017536435761317363,0.49647254523689227,1.0,0.2802555796762224
C2,modele a etiquette,B,0.1,0.048934431187102556,0.006718369028500662,7.799574700538161,6.21161614862698e-15,1.0,20,0.0543,0.06705,0.017536435761317363,0.49647254523689227,1.0,
C2,modele a etiquette,C,0.05,0.031720532319391634,0.004486692015209123,7.097442778492454,1.2708639652389396e-12,1.0,20,0.0292,0.0358,0.020104562737642453,1.3925855513307983,1.0,3.431332706145137e-11
C2,modele a etiquette,C,0.1,0.04317015209125475,0.01593631178707224,25.20945512318348,3.1551036707349507e-140,1.0,20,0.0292,0.0358,0.020104562737642453,1.3925855513307983,1.0,
C3,modele riche,A,0.05,-0.07578519681652654,-0.007223435523487726,-2.4744137565713777,0.013345503794105828,0.9,20,0.054650000000000004,0.0695,-0.0886655053813403,-1.1160641017682824,1.0,0.2802555796762224
C3,modele riche,A,0.1,-0.08858895284885568,-0.020027191555816864,-6.860386325878941,6.8674572287240684e-12,1.0,20,0.054650000000000004,0.0695,-0.0886655053813403,-1.1160641017682824,1.0,
C3,modele riche,B,0.05,0.044258238269436374,0.00204217611083448,2.37082914923813,0.01774823311240387,0.85,20,0.05505,0.06685,0.010784474362931697,0.6011809570751576,1.0,0.3372164291356735
C3,modele riche,B,0.1,0.04930631916564664,0.007090257007044749,8.231311637967758,1.8517452578665509e-16,1.0,20,0.05505,0.06685,0.010784474362931697,0.6011809570751576,1.0,
C3,modele riche,C,0.05,0.0269106463878327,-0.0003231939163498114,-0.5112564713320863,0.6091714805962503,0.0,20,0.11725000000000001,0.1301,-0.022504752851711062,0.32081749049429675,1.0,1.0
C3,modele riche,C,0.1,0.028191539923954373,0.0009576996197718617,1.5149732201972756,0.1297791860645592,0.3,20,0.11725000000000001,0.1301,-0.022504752851711062,0.32081749049429675,1.0,
E2 regression contexte tirage,imputation par tirage,A,0.05,-0.06769931855770482,0.0008624427353339931,0.29543285347068365,0.7676632392552291,0.0,20,0.281,0.39,0.02782803589110228,0.004549698734178687,0.998245004516312,1.0
E2 regression contexte tirage,imputation par tirage,A,0.1,-0.06600587857846327,0.002555882714575547,0.8755267944961364,0.38128733761785655,0.0,20,0.281,0.39,0.02782803589110228,0.004549698734178687,0.998245004516312,
E2 regression contexte tirage,imputation par tirage,A,0.25,-0.06095152872759577,0.007610232565443041,2.6069124711377714,0.009136271158081305,0.85,20,0.281,0.39,0.02782803589110228,0.004549698734178687,0.998245004516312,
E2 regression contexte tirage,imputation par tirage,A,0.5,-0.053586235471852706,0.014975525821186109,5.129920102884927,2.8986518223816934e-07,1.0,20,0.281,0.39,0.02782803589110228,0.004549698734178687,0.998245004516312,
E2 regression contexte tirage,imputation par tirage,B,0.05,0.04149194910001934,-0.0007241130585825539,-0.8406465718228354,0.4005459601580369,0.0,20,0.17475000000000002,0.2456,-0.013665644056659564,-0.0008403567779528828,0.9997157730894404,1.0
E2 regression contexte tirage,imputation par tirage,B,0.1,0.04095543230152294,-0.0012606298570789556,-1.463506499613992,0.14332883644225325,0.05,20,0.17475000000000002,0.2456,-0.013665644056659564,-0.0008403567779528828,0.9997157730894404,
E2 regression contexte tirage,imputation par tirage,B,0.25,0.03868789523831006,-0.003528166920291835,-4.095964561346085,4.204142451492576e-05,1.0,20,0.17475000000000002,0.2456,-0.013665644056659564,-0.0008403567779528828,0.9997157730894404,
E2 regression contexte tirage,imputation par tirage,B,0.5,0.0351837731126435,-0.007032289045958394,-8.16401473289855,3.2406935267044107e-16,1.0,20,0.17475000000000002,0.2456,-0.013665644056659564,-0.0008403567779528828,0.9997157730894404,
E2 regression contexte tirage,imputation par tirage,C,0.05,0.026996197718631182,-0.00023764258555132936,-0.3759238759794712,0.7069734897837876,0.0,20,0.5182,0.7383500000000001,-0.0034928488065927676,0.000144714741545911,0.9948268892966718,1.0
E2 regression contexte tirage,imputation par tirage,C,0.1,0.027000950570342207,-0.0002328897338403045,-0.36840539845988446,0.7125709727122438,0.0,20,0.5182,0.7383500000000001,-0.0034928488065927676,0.000144714741545911,0.9948268892966718,
E2 regression contexte tirage,imputation par tirage,C,0.25,0.02631891634980989,-0.0009149239543726206,-1.447306922520968,0.14781098115898736,0.3,20,0.5182,0.7383500000000001,-0.0034928488065927676,0.000144714741545911,0.9948268892966718,
E2 regression contexte tirage,imputation par tirage,C,0.5,0.025532319391634983,-0.0017015209125475286,-2.69161495201303,0.007110698865666913,0.75,20,0.5182,0.7383500000000001,-0.0034928488065927676,0.000144714741545911,0.9948268892966718,
IM m=10 mode des m,imputation par esperance,A,0.05,-0.0723757307838582,-0.0038139694908193855,-1.3064889337685048,0.19138633986951514,0.05,20,0.10595,0.15175,-0.07979149934742415,0.024382697100095864,0.9999292795289363,1.0
IM m=10 mode des m,imputation par esperance,A,0.1,-0.07657568756230691,-0.008013926269268098,-2.7451991978536023,0.006047417825642777,0.95,20,0.10595,0.15175,-0.07979149934742415,0.024382697100095864,0.9999292795289363,
IM m=10 mode des m,imputation par esperance,A,0.25,-0.08684868498977037,-0.018286923696731558,-6.264251326592542,3.746208576362557e-10,1.0,20,0.10595,0.15175,-0.07979149934742415,0.024382697100095864,0.9999292795289363,
