domaine,condition,n_attaques,n_pool,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top10_hasard,top1_segment,top1_segment_bas,top1_segment_haut,rang_segment_median,taille_segment_mediane
gss,"humains vague 2 (retest, reference humaine)",1052,1052,0.967538,0.956652,0.977186,0.984125,0.976616,0.991160,1.000000,0.000951,0.009506,0.980038,0.971483,0.988593,1.000000,45.000000
gss,composite,1052,1052,0.657224,0.627041,0.686027,0.901806,0.884221,0.919251,1.000000,0.000951,0.009506,0.866730,0.846768,0.887311,1.000000,45.000000
gss,enquete,1052,1052,0.205656,0.182223,0.230232,0.530513,0.500947,0.559268,8.900000,0.000951,0.009506,0.550760,0.521101,0.579990,1.000000,45.000000
gss,entretien,1052,1052,0.447148,0.418249,0.475006,0.801996,0.778230,0.825907,2.000000,0.000951,0.009506,0.746198,0.721008,0.771915,1.000000,45.000000
gss,demographique,1052,1052,0.022576,0.014447,0.031560,0.147243,0.126378,0.168253,96.225000,0.000951,0.009506,0.189163,0.166870,0.211977,6.000000,45.000000
gss,persona,1052,1052,0.020627,0.012738,0.029421,0.078327,0.062829,0.094442,268.700000,0.000951,0.009506,0.102519,0.085219,0.120487,11.000000,45.000000
gss,"v8 (exploratoire, non documente Figure 2)",1052,1052,0.004087,0.000951,0.008175,0.053327,0.040351,0.067159,174.850000,0.000951,0.009506,0.093536,0.076282,0.110700,8.550000,45.000000
jeux_economiques,"humains vague 2 (retest, reference humaine)",1052,1052,0.016445,0.010361,0.023859,0.087690,0.072952,0.103850,216.000000,0.000951,0.009506,0.166112,0.145435,0.187170,6.700000,45.000000
jeux_economiques,composite,1052,1052,0.001901,0.000000,0.004753,0.011359,0.005798,0.017728,495.775000,0.000951,0.009506,0.051473,0.038877,0.064925,16.000000,45.000000
jeux_economiques,enquete,1052,1052,0.002044,0.000000,0.004895,0.011502,0.005655,0.018061,497.050000,0.000951,0.009506,0.047529,0.035170,0.060030,15.950000,45.000000
jeux_economiques,demographique,1052,1052,0.000285,0.000000,0.000856,0.012690,0.006605,0.019439,529.150000,0.000951,0.009506,0.044534,0.032696,0.057034,17.650000,45.000000
jeux_economiques,persona,1052,1052,0.000998,0.000000,0.002947,0.012595,0.006749,0.019440,524.700000,0.000951,0.009506,0.043203,0.031414,0.055324,18.000000,45.000000
jeux_economiques,entretien,1052,1052,0.001949,0.000000,0.004800,0.015447,0.008983,0.022721,485.950000,0.000951,0.009506,0.054848,0.041871,0.068301,16.000000,45.000000
jeux_economiques,"v8 (exploratoire, non documente Figure 2)",1052,1052,0.000095,0.000000,0.000285,0.007034,0.003232,0.011787,519.700000,0.000951,0.009506,0.044534,0.032791,0.057273,17.000000,45.000000
big_five,"humains vague 2 (retest, reference humaine)",1052,1052,0.186454,0.162494,0.210602,0.525428,0.494992,0.556084,9.000000,0.000951,0.009506,0.593203,0.565589,0.623100,1.000000,45.000000
big_five,composite,1052,1052,0.006654,0.001901,0.012357,0.061787,0.046578,0.076046,178.000000,0.000951,0.009506,0.131179,0.111217,0.151164,7.000000,45.000000
big_five,enquete,1052,1052,0.004753,0.000951,0.009506,0.036740,0.025665,0.048718,258.000000,0.000951,0.009506,0.098954,0.081274,0.116065,9.000000,45.000000
big_five,demographique,1052,1052,0.000951,0.000000,0.002852,0.008555,0.003802,0.014259,487.000000,0.000951,0.009506,0.043726,0.032319,0.057034,16.000000,45.000000
big_five,persona,1052,1052,0.004087,0.000951,0.007897,0.038023,0.026616,0.050380,313.500000,0.000951,0.009506,0.084030,0.068441,0.100190,11.000000,45.000000
big_five,entretien,1052,1052,0.010456,0.004753,0.017110,0.051331,0.038023,0.064639,202.000000,0.000951,0.009506,0.122624,0.102662,0.142586,8.000000,45.000000
big_five,"v8 (exploratoire, non documente Figure 2)",1052,1052,0.000951,0.000000,0.002852,0.009506,0.003802,0.016160,453.000000,0.000951,0.009506,0.048004,0.035171,0.060837,16.000000,45.000000
