cohorte,observations,menages,part_observations
40 to 60|College|Over 100k,10146,1326,0.12292966620221724
Under 40|College|Over 100k,8247,1104,0.09992124553219846
Under 40|College|50k to 100k,6596,821,0.07991761071060761
40 to 60|College|50k to 100k,5983,761,0.07249045859332405
Over 60|Some College|Under 50k,4542,628,0.05503119888532138
Over 60|College|50k to 100k,3993,504,0.04837947537408372
40 to 60|Some College|Under 50k,3859,501,0.04675592173017508
Over 60|College|Over 100k,3655,469,0.044284243048403706
40 to 60|Some College|50k to 100k,3398,469,0.04117041255225056
40 to 60|Some College|Over 100k,3143,438,0.038080814200036346
Over 60|College|Under 50k,3034,397,0.03676016235536439
Over 60|Some College|50k to 100k,2974,388,0.03603319803719634
Under 40|College|Under 50k,2568,310,0.031114072817592535
Under 40|Some College|50k to 100k,2566,374,0.031089840673653602
Under 40|Some College|Under 50k,2533,366,0.030690010298661172
40 to 60|College|Under 50k,2497,314,0.030253831707760345
Over 60|High School|Under 50k,2222,316,0.026921911916156782
40 to 60|High School|Under 50k,1734,264,0.021009268795056643
Under 40|High School|Under 50k,1605,219,0.019446295510995335
Over 60|Some College|Over 100k,1237,173,0.014987581026231296
40 to 60|High School|50k to 100k,1200,171,0.014539286363360998
Under 40|Some College|Over 100k,1151,153,0.01394559883685709
Over 60|High School|50k to 100k,937,122,0.011352759435391047
40 to 60|High School|Over 100k,644,92,0.007802750348337069
Under 40|High School|50k to 100k,564,81,0.006833464590779669
Under 40|High School|Over 100k,197,32,0.0023868661779850972
Over 60|High School|Over 100k,180,31,0.0021808929545041496
Over 60|Some College|NR,165,19,0.0019991518749621373
Over 60|College|NR,140,17,0.0016962500757254498
40 to 60|NR|Under 50k,104,12,0.0012600714848246199
40 to 60|Some College|NR,103,11,0.0012479554128551524
Over 60|NR|Under 50k,103,15,0.0012479554128551524
Under 40|NR|Under 50k,92,13,0.00111467862119101
40 to 60|College|NR,92,14,0.00111467862119101
Over 60|NR|50k to 100k,60,6,0.0007269643181680499
Over 60|High School|NR,49,9,0.0005936875265039074
Under 40|College|NR,39,4,0.00047252680680923246
40 to 60|NR|50k to 100k,33,6,0.00039983037499242746
Over 60|NR|Over 100k,32,4,0.00038771430302295996
Under 40|NR|50k to 100k,32,4,0.00038771430302295996
Under 40|NR|Over 100k,28,3,0.00033925001514508997
40 to 60|NR|Over 100k,18,3,0.00021808929545041498
40 to 60|High School|NR,14,3,0.00016962500757254498
Over 60|NR|NR,10,2,0.00012116071969467499
NR|Some College|NR,7,1,8.481250378627249e-05
NR|NR|Over 100k,6,1,7.269643181680499e-05
NR|College|Under 50k,2,2,2.4232143938934998e-05
NR|Some College|Under 50k,1,1,1.2116071969467499e-05
